text,label,augmentation_type,original_text,language,translation_method
עברית: Bank of America: Suspicious charge of $1940. Revie...,phishing,,Bank of America: Suspicious charge of $1940. Review at tinyurl.com/abc,hebrew,google_translate_placeholder
עברית: Hai ragione però. Non posso darti lo spazio che de...,ham,,Hai ragione però. Non posso darti lo spazio che desideri e di cui hai bisogno. Questo sta diventando davvero un problema. Stavo per suggerire di fissare una data certa per trasferirmi - se sono ancora lì - dopo la Grecia. Ma forse sei pronto e dovresti farlo ora.,hebrew,google_translate_placeholder
"עברית: Bagi yang sudah diuji, segera serahkan dengan diji...",ham,,"Bagi yang sudah diuji, segera serahkan dengan dijilid. Bagi yang sedang menunggu diuji, bersabarlah untuk menyesuaikan waktu penguji.",hebrew,google_translate_placeholder
עברית: Invia denaro ora http//bit.ly/2428...,phishing,,Invia denaro ora http//bit.ly/2428,hebrew,google_translate_placeholder
עברית: Work from home: Earn $3912/hour! Start today: bit....,spam,,Work from home: Earn $3912/hour! Start today: bit.ly/123,hebrew,google_translate_placeholder
עברית: Debt relief program: Get out of debt fast! Call 74...,spam,,Debt relief program: Get out of debt fast! Call 7468,hebrew,google_translate_placeholder
עברית: Terpilih dapat cek 27jt. KODE TRIPLE CEK ANDA (025...,spam,,Terpilih dapat cek 27jt. KODE TRIPLE CEK ANDA (02599875) U/Info Klik Website www.undianbri.co.vu,hebrew,google_translate_placeholder
"עברית: Yo chad, quelle classe de gymnastique aimerais-tu ...",ham,,"Yo chad, quelle classe de gymnastique aimerais-tu prendre ? Le site indique que la classe de Christian est pleine.",hebrew,google_translate_placeholder
עברית: Your account balance is $1030...,ham,,Your account balance is $1030,hebrew,google_translate_placeholder
עברית: Package being held at the terminal: http://ffnst.c...,phishing,,Package being held at the terminal: http://ffnst.com/7DH414,hebrew,google_translate_placeholder
"עברית: Aiyar, tu es tellement pauvre chose... Je te donne...",ham,,"Aiyar, tu es tellement pauvre chose... Je te donne mon soutien, d'accord... Jia you ! Je penserai à toi...",hebrew,google_translate_placeholder
עברית: Paquete retenido en la terminal: http://ffnst.com/...,phishing,,Paquete retenido en la terminal: http://ffnst.com/7DH582,hebrew,google_translate_placeholder
עברית: L'India sta per pareggiare la serie dopo molti ann...,ham,,L'India sta per pareggiare la serie dopo molti anni su suolo sudafricano...,hebrew,google_translate_placeholder
עברית: Earn $4148 per week working from home!...,spam,,Earn $4148 per week working from home!,hebrew,google_translate_placeholder
עברית: Paket ditahan di terminal: http://ffnst.com/7DH376...,phishing,,Paket ditahan di terminal: http://ffnst.com/7DH376,hebrew,google_translate_placeholder
עברית: Valentines Day Special! Win over £1000 in our quiz...,spam,,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201,hebrew,google_translate_placeholder
עברית: Kirim Uang Sekarang http//bit.ly/1421...,phishing,,Kirim Uang Sekarang http//bit.ly/1421,hebrew,google_translate_placeholder
עברית: WhatsApp: New security code: 4709. Don't share it....,phishing,,WhatsApp: New security code: 4709. Don't share it.,hebrew,google_translate_placeholder
עברית: Debt relief program: Get out of debt fast! Call 56...,spam,,Debt relief program: Get out of debt fast! Call 5614,hebrew,google_translate_placeholder
עברית: Paquet retenu dans le terminal: http://ffnst.com/7...,phishing,,Paquet retenu dans le terminal: http://ffnst.com/7DH742,hebrew,google_translate_placeholder
עברית: URGENT: Your prize is waiting! Call 4020...,spam,,URGENT: Your prize is waiting! Call 4020,hebrew,google_translate_placeholder
עברית: No lo sé. Estoy sentado aquí en el estacionamiento...,ham,,No lo sé. Estoy sentado aquí en el estacionamiento de stop and shop ahora mismo sollozando porque siento que soy un fracaso en todo. Nadie me quiere y ahora siento que te estoy fallando.,hebrew,google_translate_placeholder
"עברית: Sì, a casa di Derek ora, ci vediamo domenica &lt;3...",ham,,"Sì, a casa di Derek ora, ci vediamo domenica &lt;3",hebrew,google_translate_placeholder
"עברית: Sorry, I cannot provide a translation for that tex...",spam,,"Sorry, I cannot provide a translation for that text as it does not seem to be in English. If you have any other text you would like translated to German, feel free to share!",hebrew,google_translate_placeholder
עברית: Enviar dinero ahora http//bit.ly/2546...,phishing,,Enviar dinero ahora http//bit.ly/2546,hebrew,google_translate_placeholder
עברית: Kostenlose Videokamera-Handys mit halbierten Grund...,spam,,Kostenlose Videokamera-Handys mit halbierten Grundgebühren für 12 Monate und 500 Minuten sowie 100 SMS in alle Netze. Rufen Sie MobileUpd8 unter 08001950382 an oder Call2OptOut/674&.,hebrew,google_translate_placeholder
"עברית: Schmerzhafte Worte - \Ich dachte, glücklich zu sei...",ham,,"Schmerzhafte Worte - \Ich dachte, glücklich zu sein sei das Schwierigste auf der Erde... Aber",hebrew,google_translate_placeholder
עברית: Sende jetzt Geld http//bit.ly/2851...,phishing,,Sende jetzt Geld http//bit.ly/2851,hebrew,google_translate_placeholder
עברית: 🎉 CONGRATS! You won $4825 Amazon gift card! Redeem...,spam,,🎉 CONGRATS! You won $4825 Amazon gift card! Redeem at goo.gl/xyz 🎉,hebrew,google_translate_placeholder
"עברית: Estimado Faik Grbovic,
Echa un vistazo a tu correo...",ham,,"Estimado Faik Grbovic,
Echa un vistazo a tu correo electrónico para ver nuestra oferta de Navidad para nuestros productos de salud. ¡No te la pierdas!
¡Feliz Navidad!
Atentamente, Suppline, central@csdep.net",hebrew,google_translate_placeholder
"עברית: Das größte Online-Casino, www.jayabet4.com, Regist...",spam,,"Das größte Online-Casino, www.jayabet4.com, Registrieren Sie sich + Holen Sie sich einen Empfehlungsbonus + 0,25% Cashback-Bonus für Sportwetten pro Woche. Spielen Sie auf Ihrem Smartphone und PC.",hebrew,google_translate_placeholder
עברית: 🎉 CONGRATS! You won $3294 Amazon gift card! Redeem...,spam,,🎉 CONGRATS! You won $3294 Amazon gift card! Redeem at bit.ly/123 🎉,hebrew,google_translate_placeholder
עברית: Debt relief program: Get out of debt fast! Call 23...,spam,,Debt relief program: Get out of debt fast! Call 2363,hebrew,google_translate_placeholder
עברית: Kirim Uang Sekarang http://bit.ly/2434...,phishing,,Kirim Uang Sekarang http://bit.ly/2434,hebrew,google_translate_placeholder
עברית: In qualsiasi momento......,ham,,In qualsiasi momento...,hebrew,google_translate_placeholder
עברית: (aytd2773838383 https://goo.gl/783243)...,spam,,(aytd2773838383 https://goo.gl/783243),hebrew,google_translate_placeholder
עברית: ZEPETO:6277. Si prega di inserire entro 10 minuti....,ham,,ZEPETO:6277. Si prega di inserire entro 10 minuti.,hebrew,google_translate_placeholder
עברית: Work from home: Earn $2459/hour! Start today: bit....,spam,,Work from home: Earn $2459/hour! Start today: bit.ly/123,hebrew,google_translate_placeholder
"עברית: Bonjour, votre solde de compte Voicespin ZohoDemo ...",ham,,"Bonjour, votre solde de compte Voicespin ZohoDemo est de -100,07. À moins que vous ne le rechargiez dès que possible, il atteindra la limite de crédit et sera automatiquement bloqué.",hebrew,google_translate_placeholder
עברית: Job offer: Earn $2168/month. Apply at tinyurl.com/...,phishing,,Job offer: Earn $2168/month. Apply at tinyurl.com/abc,hebrew,google_translate_placeholder
"עברית: Urgente, per favore chiamare il 09066612661 da tel...",spam,,"Urgente, per favore chiamare il 09066612661 da telefono fisso. £5000 in contanti o una lussuosa vacanza alle Canarie 4* vi aspettano per il ritiro. Condizioni e regolamento inviate per posta. 20M12AQ. 150 centesimi al minuto. 16+",hebrew,google_translate_placeholder
עברית: There bold 2  &lt;#&gt; . Is that yours...,ham,,There bold 2  &lt;#&gt; . Is that yours,hebrew,google_translate_placeholder
עברית: Necesitas enviar dinero al IRS AHORA en https://ti...,spam,,Necesitas enviar dinero al IRS AHORA en https://tinyurl.com/8980,hebrew,google_translate_placeholder
עברית: MESSAGE OFFICIEL de Tri No. XV/15 VOTRE CODE GAGNA...,spam,,"MESSAGE OFFICIEL de Tri No. XV/15 VOTRE CODE GAGNANT 67YTG44 CHOISI COMME LE DEUXIÈME GAGNANT DU PRIX EN ESPÈCES DE 45 JT INFO COMPLÈTE. TRI CLIQUEZ WWW.3-INFO.WEBNODE.COM À PARTIR DU NUMÉRO. 089655264130 ENSUITE, UN SMS EST ENVOYÉ. DÉSOLÉ, JE VEUX APPORTER UN APPEL DEPUIS LE N° 085104894998",hebrew,google_translate_placeholder
עברית: Kirim Uang Sekarang http://bit.ly/1237...,phishing,,Kirim Uang Sekarang http://bit.ly/1237,hebrew,google_translate_placeholder
עברית: Was macht mein Liebling? Schläft er/sie?...,ham,,Was macht mein Liebling? Schläft er/sie?,hebrew,google_translate_placeholder
עברית: Job offer: Earn $4514/month. Apply at bit.ly/123...,phishing,,Job offer: Earn $4514/month. Apply at bit.ly/123,hebrew,google_translate_placeholder
עברית: aytd2773838383 https://goo.gl/782930...,spam,,aytd2773838383 https://goo.gl/782930,hebrew,google_translate_placeholder
עברית: LOL ... Hast du schon Pläne für Silvester gemacht?...,ham,,LOL ... Hast du schon Pläne für Silvester gemacht?,hebrew,google_translate_placeholder
"עברית: Concernant la maison et le terrain d'hier, j'ai dé...",spam,,"Concernant la maison et le terrain d'hier, j'ai déjà fait une enquête, je me sens d'accord, pour négocier le prix, veuillez contacter ou envoyer un SMS à mon mari, M. haji. généreux; 085796022225.",hebrew,google_translate_placeholder
עברית: 🎉 CONGRATS! You won $2369 Amazon gift card! Redeem...,spam,,🎉 CONGRATS! You won $2369 Amazon gift card! Redeem at goo.gl/xyz 🎉,hebrew,google_translate_placeholder
"עברית: Estaba en Bugis justo ahora, ¿qué pasa? Pero ahora...",ham,,"Estaba en Bugis justo ahora, ¿qué pasa? Pero ahora estoy caminando a casa ya... ¿Tan tarde para responder... También vi una blusa que me gustó pero no la compré... ¿Dónde estás ahora?",hebrew,google_translate_placeholder
עברית: Pemberitahuan EmailDari: Jeri StewartUkuran: 2KBJu...,spam,,"Pemberitahuan EmailDari: Jeri StewartUkuran: 2KBJudul: Obat resep murahUntuk mendengarkan email, hubungi 123",hebrew,google_translate_placeholder
עברית: Pakai handphone XL Axiata mu langsung bisa interne...,spam,,Pakai handphone XL Axiata mu langsung bisa internetan pakai XL,hebrew,google_translate_placeholder
"עברית: Hola, ¿todavía estás en el gimnasio?...",ham,,"Hola, ¿todavía estás en el gimnasio?",hebrew,google_translate_placeholder
עברית: Eso debe ser un dolor de cabeza para atrapar...,ham,,Eso debe ser un dolor de cabeza para atrapar,hebrew,google_translate_placeholder
עברית: Votre colis n'a pas pu être livré en raison de fra...,phishing,,Votre colis n'a pas pu être livré en raison de frais de douane impayés. Payez maintenant sur www.postal-service.com/fees/4,hebrew,google_translate_placeholder
עברית: Envoyez de l'argent maintenant http//bit.ly/1441...,phishing,,Envoyez de l'argent maintenant http//bit.ly/1441,hebrew,google_translate_placeholder
עברית: Debt relief program: Get out of debt fast! Call 16...,spam,,Debt relief program: Get out of debt fast! Call 1610,hebrew,google_translate_placeholder
עברית: Sende jetzt Geld http//bit.ly/1253...,phishing,,Sende jetzt Geld http//bit.ly/1253,hebrew,google_translate_placeholder
עברית: Su paquete no pudo ser entregado debido a la tarif...,phishing,,Su paquete no pudo ser entregado debido a la tarifa de aduana impaga. Pague ahora en www.postal-service.com/fees/9,hebrew,google_translate_placeholder
עברית: Votre code de vérification Discord est: 579229...,ham,,Votre code de vérification Discord est: 579229,hebrew,google_translate_placeholder
עברית: ¡Venta de verano caliente! Compra uno y llévate ot...,spam,,¡Venta de verano caliente! Compra uno y llévate otro gratis en toda la ropa de playa en TrendyStyles. Compra ahora en www.trendystyles.com/sale49.,hebrew,google_translate_placeholder
עברית: Your verification code is 7162...,ham,,Your verification code is 7162,hebrew,google_translate_placeholder
עברית: Paque a été retenu dans le terminal: http://ffnst....,phishing,,Paque a été retenu dans le terminal: http://ffnst.com/7DH826,hebrew,google_translate_placeholder
עברית: Paket im Terminal festgehalten: http://ffnst.com/7...,phishing,,Paket im Terminal festgehalten: http://ffnst.com/7DH989,hebrew,google_translate_placeholder
"עברית: Hey elaine, is today's meeting still on?...",ham,,"Hey elaine, is today's meeting still on?",hebrew,google_translate_placeholder
עברית: Aku ingin mengucapkan selamat tahun baru dan aku i...,ham,,Aku ingin mengucapkan selamat tahun baru dan aku ingin membicarakan beberapa saran hukum terkait ketika aku dan Gary putus tetapi secara langsung. Aku akan pergi ke Ptbo untuk itu. Semoga semuanya baik-baik saja denganmu sayang dan aku mencintaimu :),hebrew,google_translate_placeholder
עברית: Pesan ini gratis. Selamat datang di klub Sex & Dog...,spam,,"Pesan ini gratis. Selamat datang di klub Sex & Dogging yang baru & ditingkatkan! Untuk berhenti berlangganan layanan ini, balas STOP. pesan@150p hanya untuk usia 18 tahun ke atas",hebrew,google_translate_placeholder
עברית: YA! Satu-satunya tempat di kota untuk bertemu deng...,spam,,YA! Satu-satunya tempat di kota untuk bertemu dengan lajang dewasa yang menarik sekarang ada di Inggris. Ketik CHAT ke 86688 sekarang! 150p/Pesan.,hebrew,google_translate_placeholder
עברית: WIN 1133 NOW! Click goo.gl/xyz to claim!...,spam,,WIN 1133 NOW! Click goo.gl/xyz to claim!,hebrew,google_translate_placeholder
עברית: Your tax refund of $835 is ready. Claim at tinyurl...,phishing,,Your tax refund of $835 is ready. Claim at tinyurl.com/abc,hebrew,google_translate_placeholder
"עברית: GRATIS Internetan hg 1000 MB, Nelpon 1000 Menit & ...",spam,,"GRATIS Internetan hg 1000 MB, Nelpon 1000 Menit & 1000 SMS ke Sesama Indosat dg IsiUlang mulai 10Rb.Utk daftar ketik GRATIS kirim ke 123 (GRATIS) lalu isi Ulang",hebrew,google_translate_placeholder
"עברית: INTERFLORA - Es ist noch nicht zu spät, um Interfl...",spam,,"INTERFLORA - Es ist noch nicht zu spät, um Interflora-Blumen für Weihnachten zu bestellen. Rufen Sie 0800 505060 an, um Ihre Bestellung vor Mitternacht morgen aufzugeben.",hebrew,google_translate_placeholder
עברית: BONUS Rp. 5.000 per te! Basta inviare SMS 2 volte ...,spam,,"BONUS Rp. 5.000 per te! Basta inviare SMS 2 volte oggi per ricevere il bonus, solo per oggi! T483",hebrew,google_translate_placeholder
עברית: Necesitas enviar dinero al IRS AHORA en https://ti...,spam,,Necesitas enviar dinero al IRS AHORA en https://tinyurl.com/8844,hebrew,google_translate_placeholder
עברית: Debt relief program: Get out of debt fast! Call 88...,spam,,Debt relief program: Get out of debt fast! Call 8872,hebrew,google_translate_placeholder
"עברית: Entschuldigung Chikku, mein Handy hatte ein Proble...",ham,,"Entschuldigung Chikku, mein Handy hatte ein Problem, deshalb konnte ich dir nicht antworten oder eine Nachricht senden.",hebrew,google_translate_placeholder
"עברית: Hallo, Ihr Voicespin Becerra_Ltd Kontostand beträg...",ham,,"Hallo, Ihr Voicespin Becerra_Ltd Kontostand beträgt 989,55. Wenn Sie es nicht umgehend aufladen, wird es das Kreditlimit erreichen und automatisch blockiert.",hebrew,google_translate_placeholder
עברית: Debt relief program: Get out of debt fast! Call 57...,spam,,Debt relief program: Get out of debt fast! Call 5759,hebrew,google_translate_placeholder
עברית: SHOPEE : Il y a une tentative de connexion à votre...,ham,,"SHOPEE : Il y a une tentative de connexion à votre compte. Si c'est vous, cliquez sur ce lien pour continuer : shopee.co.id/dlink/verify/link?q=7eoKeg8j&event_type=1",hebrew,google_translate_placeholder
עברית: Bank of America: Suspicious charge of $1029. Revie...,phishing,,Bank of America: Suspicious charge of $1029. Review at goo.gl/xyz,hebrew,google_translate_placeholder
עברית: Invia denaro ora http//bit.ly/2064...,phishing,,Invia denaro ora http//bit.ly/2064,hebrew,google_translate_placeholder
עברית: Tidak ada teka-teki manajemen....,ham,,Tidak ada teka-teki manajemen.,hebrew,google_translate_placeholder
עברית: Ein £400-WEIHNACHTSGESCHENK WARTET AUF SIE! Unser ...,spam,,"Ein £400-WEIHNACHTSGESCHENK WARTET AUF SIE! Unser Computer hat Sie zufällig aus unseren loyalen Handykunden ausgewählt, um eine Belohnung von £400 zu erhalten. Rufen Sie einfach die 09066380611 an.",hebrew,google_translate_placeholder
עברית: Invia denaro ora http//bit.ly/1539...,phishing,,Invia denaro ora http//bit.ly/1539,hebrew,google_translate_placeholder
עברית: WIN 3643 NOW! Click tinyurl.com/abc to claim!...,spam,,WIN 3643 NOW! Click tinyurl.com/abc to claim!,hebrew,google_translate_placeholder
עברית: Ricevi un potenziatore di dati mobile gratuito con...,phishing,,Ricevi un potenziatore di dati mobile gratuito con ogni nuovo piano telefonico su MobileNet. Chiamaci al 800-555-0199 o visita www.mobilenet.com/10,hebrew,google_translate_placeholder
עברית: Sende jetzt Geld http//bit.ly/2386...,phishing,,Sende jetzt Geld http//bit.ly/2386,hebrew,google_translate_placeholder
עברית: FREE iPhone 15! Enter code 7971 at tinyurl.com/abc...,spam,,FREE iPhone 15! Enter code 7971 at tinyurl.com/abc,hebrew,google_translate_placeholder
