text,label,original_text
הודעה: Terpilih dapat cek 27jt. KODE TRIPLE CEK ANDA (02599875) U/Info Klik Website www.undianbri.co.vu,spam,Terpilih dapat cek 27jt. KODE TRIPLE CEK ANDA (02599875) U/Info Klik Website www.undianbri.co.vu
your חשבון balance is $1030,ham,Your account balance is $1030
הודעה: Package being held at the terminal: http://ffnst.com/7DH414,phishing,Package being held at the terminal: http://ffnst.com/7DH414
debt relief program: get out of debt fast! התקשר 5614,spam,Debt relief program: Get out of debt fast! Call 5614
דחוף: your פרס is waiting! התקשר 4020,spam,URGENT: Your prize is waiting! Call 4020
"sorry, i cannot provide a translation for that שלח הודעה as it does not seem to be in english. if you have any other שלח הודעה you would like translated to german, feel חינם to share!",spam,"Sorry, I cannot provide a translation for that text as it does not seem to be in English. If you have any other text you would like translated to German, feel free to share!"
debt relief program: get out of debt fast! התקשר 2363,spam,Debt relief program: Get out of debt fast! Call 2363
הודעה: There bold 2  &lt;#&gt; . Is that yours,ham,There bold 2  &lt;#&gt; . Is that yours
הודעה: Pakai handphone XL Axiata mu langsung bisa internetan pakai XL,spam,Pakai handphone XL Axiata mu langsung bisa internetan pakai XL
debt relief program: get out of debt fast! התקשר 1610,spam,Debt relief program: Get out of debt fast! Call 1610
הודעה: Your verification code is 7162,ham,Your verification code is 7162
win 1133 עכשיו! לחץ goo.gl/xyz to claim!,spam,WIN 1133 NOW! Click goo.gl/xyz to claim!
הודעה: Your tax refund of $835 is ready. Claim at tinyurl.com/abc,phishing,Your tax refund of $835 is ready. Claim at tinyurl.com/abc
debt relief program: get out of debt fast! התקשר 8872,spam,Debt relief program: Get out of debt fast! Call 8872
"הודעה: Entschuldigung Chikku, mein Handy hatte ein Problem, deshalb konnte ich dir nicht antworten oder eine Nachricht senden.",ham,"Entschuldigung Chikku, mein Handy hatte ein Problem, deshalb konnte ich dir nicht antworten oder eine Nachricht senden."
debt relief program: get out of debt fast! התקשר 5759,spam,Debt relief program: Get out of debt fast! Call 5759
win 3643 עכשיו! לחץ tinyurl.com/abc to claim!,spam,WIN 3643 NOW! Click tinyurl.com/abc to claim!
חינם iphone 15! enter code 7971 at tinyurl.com/abc,spam,FREE iPhone 15! Enter code 7971 at tinyurl.com/abc
debt relief program: get out of debt fast! התקשר 4120,spam,Debt relief program: Get out of debt fast! Call 4120
debt relief program: get out of debt fast! התקשר 5375,spam,Debt relief program: Get out of debt fast! Call 5375
הודעה: The evo. I just had to download flash. Jealous?,ham,The evo. I just had to download flash. Jealous?
הודעה: Your order #1502 has been shipped.,ham,Your order #1502 has been shipped.
הודעה: Your order #1646 has been shipped.,ham,Your order #1646 has been shipped.
win 4374 עכשיו! לחץ goo.gl/xyz to claim!,spam,WIN 4374 NOW! Click goo.gl/xyz to claim!
הודעה: Anda perlu segera mengirim uang kepada IRS SEKARANG di https://tinyurl.com/8956,spam,Anda perlu segera mengirim uang kepada IRS SEKARANG di https://tinyurl.com/8956
your entry won! claim $3683 cash פרס at goo.gl/xyz,spam,Your entry won! Claim $3683 cash prize at goo.gl/xyz
דחוף: your פרס is waiting! התקשר 8548,spam,URGENT: Your prize is waiting! Call 8548
חינם iphone 15! enter code 5690 at bit.ly/123,spam,FREE iPhone 15! Enter code 5690 at bit.ly/123
הודעה: Esperando tu llamada.,ham,Esperando tu llamada.
debt relief program: get out of debt fast! התקשר 8510,spam,Debt relief program: Get out of debt fast! Call 8510
פרס winner! claim your $2797 gift card at goo.gl/xyz,phishing,Prize winner! Claim your $2797 gift card at goo.gl/xyz
win 4013 עכשיו! לחץ tinyurl.com/abc to claim!,spam,WIN 4013 NOW! Click tinyurl.com/abc to claim!
הודעה: Package detained at the terminal: http://ffnst.com/7DH265,phishing,Package detained at the terminal: http://ffnst.com/7DH265
הודעה: Your order #8179 has been shipped.,ham,Your order #8179 has been shipped.
חינם iphone 15! enter code 8063 at goo.gl/xyz,spam,FREE iPhone 15! Enter code 8063 at goo.gl/xyz
"הודעה: CIAO SPLENDIDA, COME STAI? IL MIO TELEFONO ERA IN CARICA LA SCORSA NOTTE QUANDO MI HAI MANDATO UN MESSAGGIO. SPERO TU ABBIA PASSATO UN BEL WEEKEND COME SONO SICURO CHE LO HAI FATTO. NON VEDO L'ORA DI VEDERTI DOMANI. AMORE JAZ.",ham,"CIAO SPLENDIDA, COME STAI? IL MIO TELEFONO ERA IN CARICA LA SCORSA NOTTE QUANDO MI HAI MANDATO UN MESSAGGIO. SPERO TU ABBIA PASSATO UN BEL WEEKEND COME SONO SICURO CHE LO HAI FATTO. NON VEDO L'ORA DI VEDERTI DOMANI. AMORE JAZ."
הודעה: Your tax refund of $3018 is ready. Claim at bit.ly/123,phishing,Your tax refund of $3018 is ready. Claim at bit.ly/123
הודעה: Halo! Apa pendapatmu tentang pertandingan tersebut?,ham,Halo! Apa pendapatmu tentang pertandingan tersebut?
debt relief program: get out of debt fast! התקשר 3550,spam,Debt relief program: Get out of debt fast! Call 3550
חינם iphone 15! enter code 7394 at tinyurl.com/abc,spam,FREE iPhone 15! Enter code 7394 at tinyurl.com/abc
חינם camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. התקשר 08001950382 or call2optout/j mf,spam,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF
your חשבון balance is $3383,ham,Your account balance is $3383
הודעה: Exclusive Offer: Get 50% off on your next purchase at SuperShoes. Visit www.supershoes.com/offers. Unsubscribe at bit.ly/com37393,spam,Exclusive Offer: Get 50% off on your next purchase at SuperShoes. Visit www.supershoes.com/offers. Unsubscribe at bit.ly/com37393
your entry won! claim $3586 cash פרס at tinyurl.com/abc,spam,Your entry won! Claim $3586 cash prize at tinyurl.com/abc
הודעה: I think the other two still need to get cash but we can def be ready by 9,ham,I think the other two still need to get cash but we can def be ready by 9
פרס winner! claim your $2193 gift card at goo.gl/xyz,phishing,Prize winner! Claim your $2193 gift card at goo.gl/xyz
"הודעה: Non lo so, suppongo che lo capiremo un'ora dopo quando dovremmo partire dato che come al solito nessuno ha interesse a risolvere le cose prima dell'ultimo secondo.",ham,"Non lo so, suppongo che lo capiremo un'ora dopo quando dovremmo partire dato che come al solito nessuno ha interesse a risolvere le cose prima dell'ultimo secondo."
debt relief program: get out of debt fast! התקשר 3760,spam,Debt relief program: Get out of debt fast! Call 3760
הודעה: Anda perlu segera mengirim uang kepada IRS di https://tinyurl.com/8942,spam,Anda perlu segera mengirim uang kepada IRS di https://tinyurl.com/8942
הודעה: Your tax refund of $2698 is ready. Claim at bit.ly/123,phishing,Your tax refund of $2698 is ready. Claim at bit.ly/123
פרס winner! claim your $2820 gift card at tinyurl.com/abc,phishing,Prize winner! Claim your $2820 gift card at tinyurl.com/abc
win 3768 עכשיו! לחץ goo.gl/xyz to claim!,spam,WIN 3768 NOW! Click goo.gl/xyz to claim!
ini rekeningnya. בנק mandiri. a/n: ali syamsudin. rek: 136-001-198-6939,spam,Ini Rekeningnya. bank MANDIRI. a/n: ALI SYAMSUDIN. rek: 136-001-198-6939
הודעה: Anda perlu mengirim uang ke IRS SEKARANG di https://tinyurl.com/8936,spam,Anda perlu mengirim uang ke IRS SEKARANG di https://tinyurl.com/8936
"had your mobile 10 mths? update to the latest camera/video phones for חינם. keep ur same number, get extra חינם mins/texts. שלח הודעה כן for a התקשר",spam,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call"
"הודעה: Abend * sehr gut, wenn auch etwas ereignisreich. Ich werde dich auf den neuesten Stand bringen, mach dir keine Sorgen ... Kopf * okay, aber Hals * fertig. Wir sehen uns dann um sechs!",ham,"Abend * sehr gut, wenn auch etwas ereignisreich. Ich werde dich auf den neuesten Stand bringen, mach dir keine Sorgen ... Kopf * okay, aber Hals * fertig. Wir sehen uns dann um sechs!"
פרס winner! claim your $2049 gift card at tinyurl.com/abc,phishing,Prize winner! Claim your $2049 gift card at tinyurl.com/abc
win 3730 עכשיו! לחץ goo.gl/xyz to claim!,spam,WIN 3730 NOW! Click goo.gl/xyz to claim!
הודעה: Paket Anda tidak dapat disampaikan karena biaya bea cukai belum terbayar. Harap bayar sekarang di www.postal-service.com/fees/21,phishing,Paket Anda tidak dapat disampaikan karena biaya bea cukai belum terbayar. Harap bayar sekarang di www.postal-service.com/fees/21
your entry won! claim $1358 cash פרס at goo.gl/xyz,spam,Your entry won! Claim $1358 cash prize at goo.gl/xyz
חינם iphone 15! enter code 6512 at bit.ly/123,spam,FREE iPhone 15! Enter code 6512 at bit.ly/123
דחוף: your פרס is waiting! התקשר 8082,spam,URGENT: Your prize is waiting! Call 8082
הודעה: Your order #5018 has been shipped.,ham,Your order #5018 has been shipped.
"הודעה: Halo, saldo akun Voicespin NRDX Anda adalah -190.0. Jika tidak segera diisi, saldo akan mencapai batas kredit dan akan diblokir secara otomatis. Mohon segera diisi. Terima kasih.",ham,"Halo, saldo akun Voicespin NRDX Anda adalah -190.0. Jika tidak segera diisi, saldo akan mencapai batas kredit dan akan diblokir secara otomatis. Mohon segera diisi. Terima kasih."
הודעה: Your tax refund of $4596 is ready. Claim at tinyurl.com/abc,phishing,Your tax refund of $4596 is ready. Claim at tinyurl.com/abc
הודעה: MI NOCHEVIEJA ESTUVO BIEN. FUI A UNA FIESTA CON MI NOVIO. WHO IS THIS SI THEN HEY,ham,MI NOCHEVIEJA ESTUVO BIEN. FUI A UNA FIESTA CON MI NOVIO. WHO IS THIS SI THEN HEY
הודעה: Detroit. The home of snow. Enjoy it.,ham,Detroit. The home of snow. Enjoy it.
"customer service announcement. we recently tried to make a delivery to you but were unable to do so, please התקשר 07090298926 to re-schedule. ref:9307622",spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
הודעה: Your tax refund of $4946 is ready. Claim at goo.gl/xyz,phishing,Your tax refund of $4946 is ready. Claim at goo.gl/xyz
win 3468 עכשיו! לחץ tinyurl.com/abc to claim!,spam,WIN 3468 NOW! Click tinyurl.com/abc to claim!
goldviking (29/m) is inviting you to be his friend. reply כן-762 or לא-762 see him: www.sms.ac/u/goldviking stop? send stop frnd to 62468,spam,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468
"הודעה: Transfer ke Mandiri aja, a/n Resti Amanda norek 9000007701999",spam,"Transfer ke Mandiri aja, a/n Resti Amanda norek 9000007701999"
פרס winner! claim your $848 gift card at bit.ly/123,phishing,Prize winner! Claim your $848 gift card at bit.ly/123
"הודעה: see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training."
your חשבון balance is $4106,ham,Your account balance is $4106
הודעה: Apa kabar? Semoga Anda memiliki semester yang hebat.,ham,Apa kabar? Semoga Anda memiliki semester yang hebat.
הודעה: Your payment of $2152 was processed,ham,Your payment of $2152 was processed
your חשבון balance is $3644,ham,Your account balance is $3644
הודעה: Anda perlu segera mengirim uang kepada IRS SEKARANG di https://tinyurl.com/9008,spam,Anda perlu segera mengirim uang kepada IRS SEKARANG di https://tinyurl.com/9008
"שלום, your voicespin cosmetics_group_company חשבון balance is -278.18. unless you fill it up asap it will reach the credit limit and it will be blocke",ham,"Hello, your Voicespin COSMETICS_GROUP_COMPANY account balance is -278.18. Unless you fill it up ASAP it will reach the credit limit and it will be blocke"
הודעה: Your tax refund of $1739 is ready. Claim at goo.gl/xyz,phishing,Your tax refund of $1739 is ready. Claim at goo.gl/xyz
הודעה: Your order #9188 has been shipped.,ham,Your order #9188 has been shipped.
דחוף: your פרס is waiting! התקשר 3339,spam,URGENT: Your prize is waiting! Call 3339
הודעה: Package is held at the terminal: http://ffnst.com/7DH279,phishing,Package is held at the terminal: http://ffnst.com/7DH279
הודעה: Your tax refund of $1225 is ready. Claim at goo.gl/xyz,phishing,Your tax refund of $1225 is ready. Claim at goo.gl/xyz
חינם iphone 15! enter code 1540 at goo.gl/xyz,spam,FREE iPhone 15! Enter code 1540 at goo.gl/xyz
הודעה: HQUARTERS Business Residence is a prime location in Asia-Africa Bandung. Special pre-launch price with 140% profit and 10% annual ROI. Payment can be on hold for 2 years and visit the showroom from December 21 to January 3. Visit www.hquarters.co.id or contact 085794074188.,spam,HQUARTERS Business Residence is a prime location in Asia-Africa Bandung. Special pre-launch price with 140% profit and 10% annual ROI. Payment can be on hold for 2 years and visit the showroom from December 21 to January 3. Visit www.hquarters.co.id or contact 085794074188.
"הודעה: Caro, stai attento. Sto appena arrivando a casa. Ti amo molto.",ham,"Caro, stai attento. Sto appena arrivando a casa. Ti amo molto."
your חשבון balance is $2749,ham,Your account balance is $2749
פרס winner! claim your $4366 gift card at tinyurl.com/abc,phishing,Prize winner! Claim your $4366 gift card at tinyurl.com/abc
פרס winner! claim your $2177 gift card at bit.ly/123,phishing,Prize winner! Claim your $2177 gift card at bit.ly/123
דחוף: your פרס is waiting! התקשר 7896,spam,URGENT: Your prize is waiting! Call 7896
הודעה: Your tax refund of $2438 is ready. Claim at tinyurl.com/abc,phishing,Your tax refund of $2438 is ready. Claim at tinyurl.com/abc
חינם iphone 15! enter code 5916 at tinyurl.com/abc,spam,FREE iPhone 15! Enter code 5916 at tinyurl.com/abc
"הודעה: Dear Nicola Van blommestein, 
Check-out your email for the special Christmas offer on our health products! 
Yours, Suppline central@csdep. net",ham,"Dear Nicola Van blommestein, 
Check-out your email for the special Christmas offer on our health products! 
Yours, Suppline central@csdep. net"
דחוף: your פרס is waiting! התקשר 5301,spam,URGENT: Your prize is waiting! Call 5301
debt relief program: get out of debt fast! התקשר 6219,spam,Debt relief program: Get out of debt fast! Call 6219
דחוף: your פרס is waiting! התקשר 9363,spam,URGENT: Your prize is waiting! Call 9363
הודעה: Your payment of $1153 was processed,ham,Your payment of $1153 was processed
חינם iphone 15! enter code 4696 at bit.ly/123,spam,FREE iPhone 15! Enter code 4696 at bit.ly/123
הודעה: Que penser personne ne dit clairement. Ok laissez tomber pas besoin de lui demander. Je partirai qu'elle vienne ou non,ham,Que penser personne ne dit clairement. Ok laissez tomber pas besoin de lui demander. Je partirai qu'elle vienne ou non
debt relief program: get out of debt fast! התקשר 1521,spam,Debt relief program: Get out of debt fast! Call 1521
הודעה: Your verification code is 1073,ham,Your verification code is 1073
חינם iphone 15! enter code 1732 at tinyurl.com/abc,spam,FREE iPhone 15! Enter code 1732 at tinyurl.com/abc
התקשר 7861 for customer support,ham,Call 7861 for customer support
הודעה: Package held at the terminal: http://ffnst.com/7DH385,phishing,Package held at the terminal: http://ffnst.com/7DH385
הודעה: Your verification code is 7309,ham,Your verification code is 7309
פרס winner! claim your $4163 gift card at tinyurl.com/abc,phishing,Prize winner! Claim your $4163 gift card at tinyurl.com/abc
דחוף: your פרס is waiting! התקשר 7201,spam,URGENT: Your prize is waiting! Call 7201
הודעה: Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
"hai avuto il tuo contratto mobile per 11 mesi? ultimi modelli di motorola, nokia ecc. tutti gratuiti! minuti e sms doppi sulle tariffe orange. manda si per essere richiamato, לא per essere rimosso dai registri",spam,"Hai avuto il tuo contratto mobile per 11 mesi? Ultimi modelli di Motorola, Nokia ecc. TUTTI GRATUITI! Minuti e SMS doppi sulle tariffe Orange. MANDA SI per essere richiamato, no per essere rimosso dai registri"
דחוף: your פרס is waiting! התקשר 2300,spam,URGENT: Your prize is waiting! Call 2300
הודעה: PT.BNI (persero) Tbk. Rekening Anda Terpilih dapat Rp.27jt Dari Rejeki Bni Taplus. Kode Cek 02599875 Silahkan Klik  www.bnitaplus46.tk,spam,PT.BNI (persero) Tbk. Rekening Anda Terpilih dapat Rp.27jt Dari Rejeki Bni Taplus. Kode Cek 02599875 Silahkan Klik  www.bnitaplus46.tk
your חשבון balance is $3284,ham,Your account balance is $3284
"plg yth, לא anda men-dpt hadiah dr: pengundiang pt. indosat pin anda:b89c7h9 u/melihat hadiah anda klik: www.pemenangindosat-poin.webs.com",spam,"Plg Yth, no Anda men-dpt hadiah dr: pengundiang PT. INDOSAT pin anda:b89c7h9 U/Melihat hadiah Anda klik: www.pemenangindosat-poin.webs.com"
הודעה: Please provide more context or clarify your request.,spam,Please provide more context or clarify your request.
הודעה: Grande vendita estiva! Acquista uno e ricevi uno gratis su tutti i costumi da bagno su TrendyStyles. Acquista ora su www.trendystyles.com/sale12,spam,Grande vendita estiva! Acquista uno e ricevi uno gratis su tutti i costumi da bagno su TrendyStyles. Acquista ora su www.trendystyles.com/sale12
הודעה: Your order #1918 has been shipped.,ham,Your order #1918 has been shipped.
חינם iphone 15! enter code 4328 at bit.ly/123,spam,FREE iPhone 15! Enter code 4328 at bit.ly/123
הודעה: Your payment of $525 was processed,ham,Your payment of $525 was processed
debt relief program: get out of debt fast! התקשר 5815,spam,Debt relief program: Get out of debt fast! Call 5815
הודעה: Aiyah then i wait lor. Then u entertain me. Hee...,ham,Aiyah then i wait lor. Then u entertain me. Hee...
your חשבון balance is $1823,ham,Your account balance is $1823
your entry won! claim $2099 cash פרס at tinyurl.com/abc,spam,Your entry won! Claim $2099 cash prize at tinyurl.com/abc
הודעה: Please contact my superior Mr. ARDIANSA at 085797136879 before making the payment/transfer because there have been changes in the payment. Thank you.,spam,Please contact my superior Mr. ARDIANSA at 085797136879 before making the payment/transfer because there have been changes in the payment. Thank you.
הודעה: Gunakan 555377 sebagai kode atur ulang kata sandi akun Microsoft,ham,Gunakan 555377 sebagai kode atur ulang kata sandi akun Microsoft
"הודעה: Oh itu sudah larut! Selamat malam dan saya akan menelepon Anda besok. Saya sekarang akan pergi tidur, selamat malam.",ham,"Oh itu sudah larut! Selamat malam dan saya akan menelepon Anda besok. Saya sekarang akan pergi tidur, selamat malam."
debt relief program: get out of debt fast! התקשר 9506,spam,Debt relief program: Get out of debt fast! Call 9506
חינם iphone 15! enter code 3682 at goo.gl/xyz,spam,FREE iPhone 15! Enter code 3682 at goo.gl/xyz
הודעה: Your tax refund of $2128 is ready. Claim at goo.gl/xyz,phishing,Your tax refund of $2128 is ready. Claim at goo.gl/xyz
פרס winner! claim your $624 gift card at goo.gl/xyz,phishing,Prize winner! Claim your $624 gift card at goo.gl/xyz
התקשר 5090 for customer support,ham,Call 5090 for customer support
הודעה: Your payment of $1847 was processed,ham,Your payment of $1847 was processed
הודעה: Apakah Anda ingin menghapus nada sambung pribadi Aliando dari ponsel Anda? Dapatkan NSP GRATIS dengan mengakses *600#  dan dapatkan promo gratis lainnya sesuai dengan hobi Anda!,spam,Apakah Anda ingin menghapus nada sambung pribadi Aliando dari ponsel Anda? Dapatkan NSP GRATIS dengan mengakses *600#  dan dapatkan promo gratis lainnya sesuai dengan hobi Anda!
התקשר 4116 for customer support,ham,Call 4116 for customer support
הודעה: Anda harus segera mengirimkan uang kepada IRS sekarang di https://tinyurl.com/9024,spam,Anda harus segera mengirimkan uang kepada IRS sekarang di https://tinyurl.com/9024
הודעה: Urgen! Hubungi 09066350750 dari telepon rumah Anda. Liburan 4* Ibiza gratis atau 10.000 uang tunai menunggu pengambilan. S&K berlaku. PO BOX 434 SK3 8WP. Biaya panggilan 150 ppm. 18+,spam,Urgen! Hubungi 09066350750 dari telepon rumah Anda. Liburan 4* Ibiza gratis atau 10.000 uang tunai menunggu pengambilan. S&K berlaku. PO BOX 434 SK3 8WP. Biaya panggilan 150 ppm. 18+
הודעה: Your order #8516 has been shipped.,ham,Your order #8516 has been shipped.
"הודעה: Gentile possessore del Voucher, Per richiedere l'offerta di questa settimana, ti preghiamo di andare al tuo PC su http://www.e-tlp.co.uk/reward. Si applicano Termini e Condizioni.",spam,"Gentile possessore del Voucher, Per richiedere l'offerta di questa settimana, ti preghiamo di andare al tuo PC su http://www.e-tlp.co.uk/reward. Si applicano Termini e Condizioni."
debt relief program: get out of debt fast! התקשר 2513,spam,Debt relief program: Get out of debt fast! Call 2513
win 838 עכשיו! לחץ goo.gl/xyz to claim!,spam,WIN 838 NOW! Click goo.gl/xyz to claim!
הודעה: Your tax refund of $4699 is ready. Claim at bit.ly/123,phishing,Your tax refund of $4699 is ready. Claim at bit.ly/123
כן! the only place in town to meet exciting adult singles is עכשיו in the uk. txt chat to 86688 עכשיו! 150p/msg.,spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
התקשר 4568 for customer support,ham,Call 4568 for customer support
הודעה: Your tax refund of $4881 is ready. Claim at bit.ly/123,phishing,Your tax refund of $4881 is ready. Claim at bit.ly/123
הודעה: Kami mencoba untuk menghubungi Anda terkait balasan Anda atas pesan singkat kami untuk ponsel video 750 menit GRATIS TEKS TANPA BATAS kamera. Balas atau hubungi sekarang 08000930705. Disampaikan pada Kamis.,spam,Kami mencoba untuk menghubungi Anda terkait balasan Anda atas pesan singkat kami untuk ponsel video 750 menit GRATIS TEKS TANPA BATAS kamera. Balas atau hubungi sekarang 08000930705. Disampaikan pada Kamis.
your entry won! claim $1907 cash פרס at tinyurl.com/abc,spam,Your entry won! Claim $1907 cash prize at tinyurl.com/abc
win 2794 עכשיו! לחץ tinyurl.com/abc to claim!,spam,WIN 2794 NOW! Click tinyurl.com/abc to claim!
"הודעה: Halo, saldo akun Voicespin Evest Anda saat ini adalah -5636,59. Jika Anda tidak segera mengisinya, maka saldo akan mencapai batas kredit dan akan diblokir secara otomatis.",ham,"Halo, saldo akun Voicespin Evest Anda saat ini adalah -5636,59. Jika Anda tidak segera mengisinya, maka saldo akan mencapai batas kredit dan akan diblokir secara otomatis."
הודעה: NOMOR 1 nada POLIFONIK untuk ponsel Anda setiap minggu! Cukup kirim SMS PT2 ke 87575. Nada Pertama GRATIS! jadi mulailah mengirim pesan sekarang dan beritahu teman-teman Anda. Biaya 150p/nada. Balas dengan 16 HL untuk informasi.,spam,NOMOR 1 nada POLIFONIK untuk ponsel Anda setiap minggu! Cukup kirim SMS PT2 ke 87575. Nada Pertama GRATIS! jadi mulailah mengirim pesan sekarang dan beritahu teman-teman Anda. Biaya 150p/nada. Balas dengan 16 HL untuk informasi.
"הודעה: The payment details for order #1338911 have been sent to you via email. Please check your email. Regards, Felix. Tel. +44 151 832 0580 Email sales@csdep.net.",ham,"The payment details for order #1338911 have been sent to you via email. Please check your email. Regards, Felix. Tel. +44 151 832 0580 Email sales@csdep.net."
חינם iphone 15! enter code 2966 at bit.ly/123,spam,FREE iPhone 15! Enter code 2966 at bit.ly/123
הודעה: Your payment of $4901 was processed,ham,Your payment of $4901 was processed
your entry won! claim $4845 cash פרס at goo.gl/xyz,spam,Your entry won! Claim $4845 cash prize at goo.gl/xyz
פרס winner! claim your $3738 gift card at goo.gl/xyz,phishing,Prize winner! Claim your $3738 gift card at goo.gl/xyz
"הודעה: Package held at the terminal: http://ffnst.com/7DH62

Packet am Terminal festgehalten: http://ffnst.com/7DH62",phishing,"Package held at the terminal: http://ffnst.com/7DH62

Packet am Terminal festgehalten: http://ffnst.com/7DH62"
הודעה: Netflix - Three more steps and we'll do the rest. Finish signing up here: m.netflix.com/eX4T8FsQqGr,ham,Netflix - Three more steps and we'll do the rest. Finish signing up here: m.netflix.com/eX4T8FsQqGr
הודעה: Your tax refund of $4993 is ready. Claim at tinyurl.com/abc,phishing,Your tax refund of $4993 is ready. Claim at tinyurl.com/abc
דחוף: your פרס is waiting! התקשר 1982,spam,URGENT: Your prize is waiting! Call 1982
הודעה: Your tax refund of $2275 is ready. Claim at tinyurl.com/abc,phishing,Your tax refund of $2275 is ready. Claim at tinyurl.com/abc
פרס winner! claim your $2652 gift card at tinyurl.com/abc,phishing,Prize winner! Claim your $2652 gift card at tinyurl.com/abc
הודעה: Your tax refund of $2460 is ready. Claim at tinyurl.com/abc,phishing,Your tax refund of $2460 is ready. Claim at tinyurl.com/abc
win 4995 עכשיו! לחץ goo.gl/xyz to claim!,spam,WIN 4995 NOW! Click goo.gl/xyz to claim!
הודעה: Your order #2277 has been shipped.,ham,Your order #2277 has been shipped.
חינם iphone 15! enter code 6854 at goo.gl/xyz,spam,FREE iPhone 15! Enter code 6854 at goo.gl/xyz
debt relief program: get out of debt fast! התקשר 4924,spam,Debt relief program: Get out of debt fast! Call 4924
חינם iphone 15! enter code 5841 at bit.ly/123,spam,FREE iPhone 15! Enter code 5841 at bit.ly/123
you need to send money the irs עכשיו at https://tinyurl.com/8886,spam,You need to send money the IRS NOW at https://tinyurl.com/8886
הודעה: Your tax refund of $2861 is ready. Claim at goo.gl/xyz,phishing,Your tax refund of $2861 is ready. Claim at goo.gl/xyz
הודעה: The evo. Saya baru saja harus mengunduh flash. Iri?,ham,The evo. Saya baru saja harus mengunduh flash. Iri?
הודעה: Anda perlu segera mengirim uang ke IRS sekarang di https://tinyurl.com/8838,spam,Anda perlu segera mengirim uang ke IRS sekarang di https://tinyurl.com/8838
"הודעה: Package held at the terminal: http://ffnst.com/7DH913

(Paket im Terminal festgehalten: http://ffnst.com/7DH913)",phishing,"Package held at the terminal: http://ffnst.com/7DH913

(Paket im Terminal festgehalten: http://ffnst.com/7DH913)"
הודעה: Your verification code is 4801,ham,Your verification code is 4801
הודעה: At what time are you coming.,ham,At what time are you coming.
