text,label,original_text,language,translation_method,source_index
עברית : Tienes un admirador secreto que está buscando cont . . .,spam,עברית: Tienes un admirador secreto que está buscando cont...,hebrew,rule_based,56
עברית : I think its far more than that but find out . Check . . .,ham,עברית: I think its far more than that but find out. Check...,hebrew,rule_based,57
"עברית : Nein Mann , mein Auto ist dafür gedacht , randvoll m . . .",ham,"עברית: Nein Mann, mein Auto ist dafür gedacht, randvoll m...",hebrew,rule_based,58
עברית : בנק of America : חשוד charge of $ 1688 . Revie . . .,phishing,עברית: Bank of America: Suspicious charge of $1688. Revie...,hebrew,rule_based,59
עברית : הודע BANNEDUK au 89555 pour voir ! coût 150p textop . . .,spam,עברית: Text BANNEDUK au 89555 pour voir! coût 150p textop...,hebrew,rule_based,60
עברית : בנק שלי of America : מוזר charge of $ 1940 . Revie . . .,phishing,עברית: Bank of America: Suspicious charge of $1940. Revie...,hebrew,rule_based,61
עברית : Hai ragione però . Non posso darti lo spazio che de . . .,ham,עברית: Hai ragione però. Non posso darti lo spazio che de...,hebrew,rule_based,62
"עברית : Bagi yang sudah diuji , segera serahkan dengan diji . . .",ham,"עברית: Bagi yang sudah diuji, segera serahkan dengan diji...",hebrew,rule_based,63
עברית : Invia denaro ora http / / bit . ly / 2428 . . .,phishing,עברית: Invia denaro ora http//bit.ly/2428...,hebrew,rule_based,64
עברית : Work from home : Earn $ 3912 / hour ! Start היום : bit . . . .,spam,עברית: Work from home: Earn $3912/hour! Start today: bit....,hebrew,rule_based,65
עברית : Debt relief program : Get out of debt fast ! צור קשר 74 . . .,spam,עברית: Debt relief program: Get out of debt fast! Call 74...,hebrew,rule_based,66
עברית : Terpilih dapat cek 27jt . KODE TRIPLE CEK ANDA ( 025 . . .,spam,עברית: Terpilih dapat cek 27jt. KODE TRIPLE CEK ANDA (025...,hebrew,rule_based,67
"עברית : Yo chad , quelle classe de gymnastique aimerais - tu . . .",ham,"עברית: Yo chad, quelle classe de gymnastique aimerais-tu ...",hebrew,rule_based,68
עברית : Your חשבון בנק balance is $ 1030 . . .,ham,עברית: Your account balance is $1030...,hebrew,rule_based,69
עברית : Package being held at the terminal : http : / / ffnst . c . . .,phishing,עברית: Package being held at the terminal: http://ffnst.c...,hebrew,rule_based,70
"עברית : Aiyar , tu es tellement pauvre chose . . . Je te donne . . .",ham,"עברית: Aiyar, tu es tellement pauvre chose... Je te donne...",hebrew,rule_based,71
עברית : Paquete retenido en la terminal : http : / / ffnst . com / . . .,phishing,עברית: Paquete retenido en la terminal: http://ffnst.com/...,hebrew,rule_based,72
עברית : L ' India sta per pareggiare la serie dopo molti ann . . .,ham,עברית: L'India sta per pareggiare la serie dopo molti ann...,hebrew,rule_based,73
עברית : Earn $ 4148 per week working from home ! . . .,spam,עברית: Earn $4148 per week working from home!...,hebrew,rule_based,74
עברית : Paket ditahan di terminal : http : / / ffnst . com / 7DH376 . . .,phishing,עברית: Paket ditahan di terminal: http://ffnst.com/7DH376...,hebrew,rule_based,75
עברית : Valentines Day מיוחד ! ניצח over £ 1000 in our quiz . . .,spam,עברית: Valentines Day Special! Win over £1000 in our quiz...,hebrew,rule_based,76
עברית : Kirim Uang Sekarang http / / bit . ly / 1421 . . .,phishing,עברית: Kirim Uang Sekarang http//bit.ly/1421...,hebrew,rule_based,77
עברית : WhatsApp : New הגנה code : 4709 . Don ' t share it . . . .,phishing,עברית: WhatsApp: New security code: 4709. Don't share it....,hebrew,rule_based,78
עברית : Debt relief program : Get out of debt fast ! חייג 56 . . .,spam,עברית: Debt relief program: Get out of debt fast! Call 56...,hebrew,rule_based,79
עברית : Paquet retenu dans le terminal : http : / / ffnst . com / 7 . . .,phishing,עברית: Paquet retenu dans le terminal: http://ffnst.com/7...,hebrew,rule_based,80
עברית : מיידי : Your זכייה is waiting ! חייג 4020 . . .,spam,עברית: URGENT: Your prize is waiting! Call 4020...,hebrew,rule_based,81
עברית : אין lo sé . Estoy sentado aquí en el estacionamiento . . .,ham,עברית: No lo sé. Estoy sentado aquí en el estacionamiento...,hebrew,rule_based,82
"עברית : Sì , a casa di Derek ora , ci vediamo domenica & lt ; 3 . . .",ham,"עברית: Sì, a casa di Derek ora, ci vediamo domenica &lt;3...",hebrew,rule_based,83
"עברית : מצטער , I cannot provide a translation for that tex . . .",spam,"עברית: Sorry, I cannot provide a translation for that tex...",hebrew,rule_based,84
עברית : Enviar dinero ahora http / / bit . ly / 2546 . . .,phishing,עברית: Enviar dinero ahora http//bit.ly/2546...,hebrew,rule_based,85
עברית : Kostenlose Videokamera - Handys mit halbierten Grund . . .,spam,עברית: Kostenlose Videokamera-Handys mit halbierten Grund...,hebrew,rule_based,86
"עברית : Schmerzhafte Worte - \ Ich dachte , glücklich zu sei . . .",ham,"עברית: Schmerzhafte Worte - \Ich dachte, glücklich zu sei...",hebrew,rule_based,87
עברית : Sende jetzt Geld http / / bit . ly / 2851 . . .,phishing,עברית: Sende jetzt Geld http//bit.ly/2851...,hebrew,rule_based,88
עברית : 🎉 CONGRATS ! את זכית ב $ 4825 Amazon gift card ! Redeem . . .,spam,עברית: 🎉 CONGRATS! You won $4825 Amazon gift card! Redeem...,hebrew,rule_based,89
"עברית : Estimado Faik Grbovic , Echa un vistazo a tu correo . . .",ham,"עברית: Estimado Faik Grbovic,
Echa un vistazo a tu correo...",hebrew,rule_based,90
"עברית : Das größte Online - Casino , www . jayabet4 . com , Regist . . .",spam,"עברית: Das größte Online-Casino, www.jayabet4.com, Regist...",hebrew,rule_based,91
עברית : 🎉 CONGRATS ! את זכית ב $ 3294 Amazon gift card ! Redeem . . .,spam,עברית: 🎉 CONGRATS! You won $3294 Amazon gift card! Redeem...,hebrew,rule_based,92
עברית : Debt relief program : Get out of debt fast ! התקשר 23 . . .,spam,עברית: Debt relief program: Get out of debt fast! Call 23...,hebrew,rule_based,93
עברית : Kirim Uang Sekarang http : / / bit . ly / 2434 . . .,phishing,עברית: Kirim Uang Sekarang http://bit.ly/2434...,hebrew,rule_based,94
עברית : In qualsiasi momento . . . . . .,ham,עברית: In qualsiasi momento......,hebrew,rule_based,95
עברית : ( aytd2773838383 https : / / goo . gl / 783243 ) . . .,spam,עברית: (aytd2773838383 https://goo.gl/783243)...,hebrew,rule_based,96
עברית : ZEPETO : 6277 . Si prega di inserire entro 10 minuti . . . .,ham,עברית: ZEPETO:6277. Si prega di inserire entro 10 minuti....,hebrew,rule_based,97
עברית : Work from home : Earn $ 2459 / hour ! Start היום : bit . . . .,spam,עברית: Work from home: Earn $2459/hour! Start today: bit....,hebrew,rule_based,98
"עברית : Bonjour , votre solde de compte Voicespin ZohoDemo . . .",ham,"עברית: Bonjour, votre solde de compte Voicespin ZohoDemo ...",hebrew,rule_based,99
עברית : Job הצעה : Earn $ 2168 / month . Apply at tinyurl . com / . . .,phishing,עברית: Job offer: Earn $2168/month. Apply at tinyurl.com/...,hebrew,rule_based,100
"עברית : Urgente , per favore chiamare il 09066612661 da tel . . .",spam,"עברית: Urgente, per favore chiamare il 09066612661 da tel...",hebrew,rule_based,101
עברית : There bold 2 & lt ; # & gt ; . Is that yours . . .,ham,עברית: There bold 2  &lt;#&gt; . Is that yours...,hebrew,rule_based,102
עברית : Necesitas enviar dinero al IRS AHORA en https : / / ti . . .,spam,עברית: Necesitas enviar dinero al IRS AHORA en https://ti...,hebrew,rule_based,103
עברית : MESSAGE OFFICIEL de Tri לא . XV / 15 VOTRE CODE GAGNA . . .,spam,עברית: MESSAGE OFFICIEL de Tri No. XV/15 VOTRE CODE GAGNA...,hebrew,rule_based,104
עברית : Kirim Uang Sekarang http : / / bit . ly / 1237 . . .,phishing,עברית: Kirim Uang Sekarang http://bit.ly/1237...,hebrew,rule_based,105
עברית : Was macht mein Liebling ? Schläft er / sie ? . . .,ham,עברית: Was macht mein Liebling? Schläft er/sie?...,hebrew,rule_based,106
עברית : Job הצעה : Earn $ 4514 / month . Apply at bit . ly / 123 . . .,phishing,עברית: Job offer: Earn $4514/month. Apply at bit.ly/123...,hebrew,rule_based,107
עברית : aytd2773838383 https : / / goo . gl / 782930 . . .,spam,עברית: aytd2773838383 https://goo.gl/782930...,hebrew,rule_based,108
עברית : LOL . . . Hast du schon Pläne für Silvester gemacht ? . . .,ham,עברית: LOL ... Hast du schon Pläne für Silvester gemacht?...,hebrew,rule_based,109
"עברית : Concernant la maison et le terrain d ' hier , j ' ai dé . . .",spam,"עברית: Concernant la maison et le terrain d'hier, j'ai dé...",hebrew,rule_based,110
עברית : 🎉 CONGRATS ! אתה ניצחת $ 2369 Amazon gift card ! Redeem . . .,spam,עברית: 🎉 CONGRATS! You won $2369 Amazon gift card! Redeem...,hebrew,rule_based,111
"עברית : Estaba en Bugis justo ahora , ¿ qué pasa ? Pero ahora . . .",ham,"עברית: Estaba en Bugis justo ahora, ¿qué pasa? Pero ahora...",hebrew,rule_based,112
עברית : Pemberitahuan EmailDari : Jeri StewartUkuran : 2KBJu . . .,spam,עברית: Pemberitahuan EmailDari: Jeri StewartUkuran: 2KBJu...,hebrew,rule_based,113
עברית : Pakai handphone XL Axiata mu langsung bisa interne . . .,spam,עברית: Pakai handphone XL Axiata mu langsung bisa interne...,hebrew,rule_based,114
"עברית : Hola , ¿ todavía estás en el gimnasio ? . . .",ham,"עברית: Hola, ¿todavía estás en el gimnasio?...",hebrew,rule_based,115
עברית : Eso debe ser un dolor de cabeza para atrapar . . .,ham,עברית: Eso debe ser un dolor de cabeza para atrapar...,hebrew,rule_based,116
עברית : Votre colis n ' a pas pu être livré en raison de fra . . .,phishing,עברית: Votre colis n'a pas pu être livré en raison de fra...,hebrew,rule_based,117
עברית : Envoyez de l ' argent maintenant http / / bit . ly / 1441 . . .,phishing,עברית: Envoyez de l'argent maintenant http//bit.ly/1441...,hebrew,rule_based,118
עברית : Debt relief program : Get out of debt fast ! חייג 16 . . .,spam,עברית: Debt relief program: Get out of debt fast! Call 16...,hebrew,rule_based,119
עברית : Sende jetzt Geld http / / bit . ly / 1253 . . .,phishing,עברית: Sende jetzt Geld http//bit.ly/1253...,hebrew,rule_based,120
עברית : Su paquete אין pudo ser entregado debido a la tarif . . .,phishing,עברית: Su paquete no pudo ser entregado debido a la tarif...,hebrew,rule_based,121
עברית : Votre code de vérification Discord est : 579229 . . .,ham,עברית: Votre code de vérification Discord est: 579229...,hebrew,rule_based,122
עברית : ¡ Venta de verano caliente ! Compra uno y llévate ot . . .,spam,עברית: ¡Venta de verano caliente! Compra uno y llévate ot...,hebrew,rule_based,123
עברית : Your verification code is 7162 . . .,ham,עברית: Your verification code is 7162...,hebrew,rule_based,124
עברית : Paque a été retenu dans le terminal : http : / / ffnst . . . .,phishing,עברית: Paque a été retenu dans le terminal: http://ffnst....,hebrew,rule_based,125
עברית : Paket im Terminal festgehalten : http : / / ffnst . com / 7 . . .,phishing,עברית: Paket im Terminal festgehalten: http://ffnst.com/7...,hebrew,rule_based,126
"עברית : Hey elaine , is היום ' s פגישה still on ? . . .",ham,"עברית: Hey elaine, is today's meeting still on?...",hebrew,rule_based,127
עברית : Aku ingin mengucapkan selamat tahun baru dan aku i . . .,ham,עברית: Aku ingin mengucapkan selamat tahun baru dan aku i...,hebrew,rule_based,128
עברית : Pesan ini gratis . Selamat datang di klub Sex & Dog . . .,spam,עברית: Pesan ini gratis. Selamat datang di klub Sex & Dog...,hebrew,rule_based,129
עברית : YA ! Satu - satunya tempat di kota untuk bertemu deng . . .,spam,עברית: YA! Satu-satunya tempat di kota untuk bertemu deng...,hebrew,rule_based,130
עברית : זכית 1133 עכשיו ! Click goo . gl / xyz to קבל ! . . .,spam,עברית: WIN 1133 NOW! Click goo.gl/xyz to claim!...,hebrew,rule_based,131
עברית : Your tax refund of $ 835 is ready . דרוש at tinyurl . . .,phishing,עברית: Your tax refund of $835 is ready. Claim at tinyurl...,hebrew,rule_based,132
"עברית : GRATIS Internetan hg 1000 MB , Nelpon 1000 Menit & . . .",spam,"עברית: GRATIS Internetan hg 1000 MB, Nelpon 1000 Menit & ...",hebrew,rule_based,133
"עברית : INTERFLORA - Es ist noch nicht zu spät , um Interfl . . .",spam,"עברית: INTERFLORA - Es ist noch nicht zu spät, um Interfl...",hebrew,rule_based,134
עברית : מענק Rp . 5 . 000 per te ! Basta inviare SMS 2 volte . . .,spam,עברית: BONUS Rp. 5.000 per te! Basta inviare SMS 2 volte ...,hebrew,rule_based,135
עברית : Necesitas enviar dinero al IRS AHORA en https : / / ti . . .,spam,עברית: Necesitas enviar dinero al IRS AHORA en https://ti...,hebrew,rule_based,136
עברית : Debt relief program : Get out of debt fast ! חייג 88 . . .,spam,עברית: Debt relief program: Get out of debt fast! Call 88...,hebrew,rule_based,137
"עברית : Entschuldigung Chikku , mein Handy hatte ein Proble . . .",ham,"עברית: Entschuldigung Chikku, mein Handy hatte ein Proble...",hebrew,rule_based,138
"עברית : Hallo , Ihr Voicespin Becerra_Ltd Kontostand beträg . . .",ham,"עברית: Hallo, Ihr Voicespin Becerra_Ltd Kontostand beträg...",hebrew,rule_based,139
עברית : Debt relief program : Get out of debt fast ! חייג 57 . . .,spam,עברית: Debt relief program: Get out of debt fast! Call 57...,hebrew,rule_based,140
עברית : SHOPEE : Il y a une tentative de connexion à votre . . .,ham,עברית: SHOPEE : Il y a une tentative de connexion à votre...,hebrew,rule_based,141
עברית : חשבון בנק of America : מוזר charge of $ 1029 . Revie . . .,phishing,עברית: Bank of America: Suspicious charge of $1029. Revie...,hebrew,rule_based,142
עברית : Invia denaro ora http / / bit . ly / 2064 . . .,phishing,עברית: Invia denaro ora http//bit.ly/2064...,hebrew,rule_based,143
עברית : Tidak ada teka - teki manajemen . . . .,ham,עברית: Tidak ada teka-teki manajemen....,hebrew,rule_based,144
עברית : Ein £ 400 - WEIHNACHTSGESCHENK WARTET AUF SIE ! Unser . . .,spam,עברית: Ein £400-WEIHNACHTSGESCHENK WARTET AUF SIE! Unser ...,hebrew,rule_based,145
עברית : Invia denaro ora http / / bit . ly / 1539 . . .,phishing,עברית: Invia denaro ora http//bit.ly/1539...,hebrew,rule_based,146
עברית : זכית 3643 עכשיו ! Click tinyurl . com / abc to תבע ! . . .,spam,עברית: WIN 3643 NOW! Click tinyurl.com/abc to claim!...,hebrew,rule_based,147
עברית : Ricevi un potenziatore di dati mobile gratuito con . . .,phishing,עברית: Ricevi un potenziatore di dati mobile gratuito con...,hebrew,rule_based,148
עברית : Sende jetzt Geld http / / bit . ly / 2386 . . .,phishing,עברית: Sende jetzt Geld http//bit.ly/2386...,hebrew,rule_based,149
עברית : חינם iPhone 15 ! Enter code 7971 at tinyurl . com / abc . . .,spam,עברית: FREE iPhone 15! Enter code 7971 at tinyurl.com/abc...,hebrew,rule_based,150
עברית : Work from home : Earn $ 4049 / hour ! Start היום : bit . . . .,spam,עברית: Work from home: Earn $4049/hour! Start today: bit....,hebrew,rule_based,151
עברית : \ Keep ur problems in ur heart . . .,ham,עברית: \Keep ur problems in ur heart...,hebrew,rule_based,152
עברית : Send Money מייד http / / bit . ly / 2851 . . .,phishing,עברית: Send Money Now http//bit.ly/2851...,hebrew,rule_based,153
עברית : Debt relief program : Get out of debt fast ! התקשר 41 . . .,spam,עברית: Debt relief program: Get out of debt fast! Call 41...,hebrew,rule_based,154
עברית : Invia denaro ora http : / / bit . ly / 2284 . . .,phishing,עברית: Invia denaro ora http://bit.ly/2284...,hebrew,rule_based,155
עברית : Debt relief program : Get out of debt fast ! חייג 53 . . .,spam,עברית: Debt relief program: Get out of debt fast! Call 53...,hebrew,rule_based,156
עברית : The evo . I just had to download flash . Jealous ? . . .,ham,עברית: The evo. I just had to download flash. Jealous?...,hebrew,rule_based,157
עברית : Dia hanya akan khawatir untuk hal yang sia - sia . Da . . .,ham,עברית: Dia hanya akan khawatir untuk hal yang sia-sia. Da...,hebrew,rule_based,158
עברית : Pacchetto trattenuto in terminal : http : / / ffnst . com . . .,phishing,עברית: Pacchetto trattenuto in terminal: http://ffnst.com...,hebrew,rule_based,159
עברית : לא estamos viendo una película aún . Xy quiere ir d . . .,ham,עברית: No estamos viendo una película aún. Xy quiere ir d...,hebrew,rule_based,160
עברית : Your order # 1502 has been shipped . . . .,ham,עברית: Your order #1502 has been shipped....,hebrew,rule_based,161
עברית : Suoneria Top gratuita - iscriviti alla suoneria se . . .,spam,עברית: Suoneria Top gratuita - iscriviti alla suoneria se...,hebrew,rule_based,162
עברית : Work from home : Earn $ 1463 / hour ! Start היום : bit . . . .,spam,עברית: Work from home: Earn $1463/hour! Start today: bit....,hebrew,rule_based,163
עברית : 🎉 CONGRATS ! אתה ניצחת $ 2099 Amazon gift card ! Redeem . . .,spam,עברית: 🎉 CONGRATS! You won $2099 Amazon gift card! Redeem...,hebrew,rule_based,164
"עברית : Du hast einen heimlichen Bewunderer , der Kontakt m . . .",spam,"עברית: Du hast einen heimlichen Bewunderer, der Kontakt m...",hebrew,rule_based,165
עברית : Per coloro che hanno un contratto di programmazion . . .,ham,עברית: Per coloro che hanno un contratto di programmazion...,hebrew,rule_based,166
עברית : Your order # 1646 has been shipped . . . .,ham,עברית: Your order #1646 has been shipped....,hebrew,rule_based,167
עברית : Pacchetto bloccato nel terminale : http : / / ffnst . com . . .,phishing,עברית: Pacchetto bloccato nel terminale: http://ffnst.com...,hebrew,rule_based,168
"עברית : Oke , selamat menikmati . Apakah kamu ada di rumah ? . . .",ham,"עברית: Oke, selamat menikmati. Apakah kamu ada di rumah?...",hebrew,rule_based,169
עברית : Sende jetzt Geld http / / bit . ly / 2742 . . .,phishing,עברית: Sende jetzt Geld http//bit.ly/2742...,hebrew,rule_based,170
"עברית : J ' ai & lt ; # & gt ; , y a - t - il un moyen que je puisse ve . . .",ham,"עברית: J'ai &lt;#&gt;, y a-t-il un moyen que je puisse ve...",hebrew,rule_based,171
"עברית : "" Rindu akan apapun demi ' Hidup Terbaik ' mu , tapi ja . . .",ham,"עברית: ""Rindu akan apapun demi 'Hidup Terbaik'mu, tapi ja...",hebrew,rule_based,172
עברית : Paquete detenido en la terminal : http : / / ffnst . com / . . .,phishing,עברית: Paquete detenido en la terminal: http://ffnst.com/...,hebrew,rule_based,173
עברית : K : ) k : ) מצוין : ) study well . . . .,ham,עברית: K:)k:)good:)study well....,hebrew,rule_based,174
עברית : ניצח 4374 מייד ! Click goo . gl / xyz to דרוש ! . . .,spam,עברית: WIN 4374 NOW! Click goo.gl/xyz to claim!...,hebrew,rule_based,175
עברית : Pasa por nuestra habitación en algún momento para . . .,ham,עברית: Pasa por nuestra habitación en algún momento para ...,hebrew,rule_based,176
עברית : Anda perlu segera mengirim uang kepada IRS SEKARAN . . .,spam,עברית: Anda perlu segera mengirim uang kepada IRS SEKARAN...,hebrew,rule_based,177
עברית : Pacchetto trattenuto in deposito terminale : http : / . . .,phishing,עברית: Pacchetto trattenuto in deposito terminale: http:/...,hebrew,rule_based,178
עברית : Send Money מיד http / / bit . ly / 2540 . . .,phishing,עברית: Send Money Now http//bit.ly/2540...,hebrew,rule_based,179
