text,label,augmentation_type
У вас есть мобильный телефон 11 месяцев или более? Вы имеете право на обновление до последних цветных мобильных телефонов с камерой бесплатно! Позвоните в The Mobile Update Co бесплатно по номеру 08002986030.,spam,
"C'è chi si sposa giovane ma sembra felice, ma credo di essere una su un milione se guardo ai miei amici hmm.",ham,
තරඟයේ නාලිකාව ගැනේ: http://ffnst.com/7DH122,phishing,
"Hey, sie schauen heute Abend keinen Film, also werde ich wahrscheinlich früh zu Hause sein...",ham,
ඔහු විනාශයේ විසින් carly quick මගේ bffs සහතික කල හැකියි,ham,
URGENT: Your prize is waiting! Call 5977,spam,
"Hervorragender Gedanke: ""Sei dankbar, dass du nicht alles hast, was du willst. Das bedeutet, dass du morgen glücklicher sein kannst als heute. :-)""",ham,
WIN 4916 NOW! Click bit.ly/123 to claim!,spam,
"Oops, ich glaube, ich habe nicht genug… Ich werde nachsehen und dir dann Bescheid geben.",ham,
Ich bat Sen nach Chennai zu kommen und nach einer Arbeitsstelle zu suchen.,ham,
احصل على مكبر بيانات مجاني للهواتف المحمولة مع كل خط جديد في شركة MobileNet. اتصل بنا على 800-555-0199 أو قم بزيارة www.mobilenet.com/70,phishing,
Wichtig: Ihr Apple ID wurde aus Sicherheitsgründen gesperrt. Bestätigen Sie Ihre Daten unter http://secure-appleid-unlock.com.,phishing,
குறுக்கு மூலம் பொது: http://ffnst.com/7DH90,phishing,
Sie müssen dem IRS JETZT Geld senden unter https://tinyurl.com/8906,spam,
"Hallo, Mitra! Bitte überprüfen Sie Ihre Punkte und tauschen Sie diese gegen Gutschriften bei unserem Administrator ein. Senden Sie Ihr Anfrageformat PO.PIN an +62xxxxxxxxxx.",spam,
(aytd2773838383 https://goo.gl/783175,spam,
¿A qué hora termino?,ham,
Your entry won! Claim $2004 cash prize at bit.ly/123,spam,
Arun මට මුදල් සම්පූර්ණ කරනවාද?,ham,
Jaja sí. Nuestra amistad está en un hilo porque no quieres comprar cosas.,ham,
أرسل المال الآن http//bit.ly/1663,phishing,
"Я тебя люблю. Ты разжигаешь мою душу. Это не просто искра. Но это пламя. Большое, ревущее пламя. XoXo",ham,
"Je vais partir dans quelques minutes, on se voit là-bas",ham,
Enviar dinero ahora http//bit.ly/2067,phishing,
Vous devez envoyer de l'argent à l'IRS MAINTENANT sur https://tinyurl.com/8856,spam,
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam,
Debt relief program: Get out of debt fast! Call 1761,spam,
https://bit.ly/10404,spam,
எங்கே சந்திக்கிறீர்கள்?,ham,
"Halo, saldo akun Voicespin Test_Keylock_05 Anda saat ini sebesar 9.25. Jika tidak segera diisi, saldo akan mencapai batas kredit dan akun akan diblokir secara otomatis.",ham,
Sende jetzt Geld http//bit.ly/1326,phishing,
Kirim Uang Sekarang http//bit.ly/2389,phishing,
Earn $1112 per week working from home!,spam,
https://goo.gl/783649,spam,
انتظر للحظة، إذا كنت ترغب في التحويل، قم بالاتصال أولاً على رقم هاتفي الجديد هذا. 085624347737 لأن هناك تغيير في الحساب المصرفي. شكرًا لك.,spam,
Work from home: Earn $2541/hour! Start today: bit.ly/123,spam,
Urgent! Your acount has been hacked. Click hear to fix: http://bank-fix.com,phishing,
Your order #9427 has been shipped.,ham,
"tddnewsletter@emc1.co.uk (TheDailyDraw இலிருந்து கூறும் பேரில் இடம்) அன்பும், பிரியா ஹெலன், பல் இலவச விளக்கங்கள் - மிகவும் பெரும் வெயில்களுடன்...",spam,
"Yo, ich bin bei meinen Eltern und hole etwas Bargeld. Gute Nachricht: Wir haben einen Downstem abgeholt.",ham,
"También te amo, pero intenta administrar mejor tu dinero, cariño. Gary se enfadaría conmigo si supiera.",ham,
Отправьте деньги сейчас http//bit.ly/2691,phishing,
"Carlos sedang meluangkan waktu dengan santai seperti biasa, jadi beri tahu saya ketika kamu dan Patty selesai/ingin merokok, dan saya akan memberitahunya untuk buru-buru.",ham,
"Per favore, segnalami qualsiasi errore da parte mia. Scusami. Per favore, vai dal dottore.",ham,
Obtén un potenciador de datos móviles gratis con cada nuevo plan de teléfono en MobileNet. Llámanos al 800-555-0199 o visita www.mobilenet.com/32,phishing,
Tienes un admirador secreto que está buscando contactarte-descubre quién es* revela quien piensa que eres tan especial-llama al 09058094599,spam,
Во сколько ты придешь позже?,ham,
I think its far more than that but find out. Check google maps for a place from your dorm.,ham,
"Nein Mann, mein Auto ist dafür gedacht, randvoll mit Leuten zu sein.",ham,
https://goo.gl/782978,spam,
Bank of America: Suspicious charge of $1688. Review at bit.ly/123,phishing,
Text BANNEDUK au 89555 pour voir! coût 150p textoperator g696ga 18+ XXX,spam,
"සම්බන්ධ හා එසේ එකවරයෙන් හෝ සහ එකෙක් නොව, ඉතාමත්!",ham,
Bank of America: Suspicious charge of $1940. Review at tinyurl.com/abc,phishing,
Hai ragione però. Non posso darti lo spazio che desideri e di cui hai bisogno. Questo sta diventando davvero un problema. Stavo per suggerire di fissare una data certa per trasferirmi - se sono ancora lì - dopo la Grecia. Ma forse sei pronto e dovresti farlo ora.,ham,
"Bagi yang sudah diuji, segera serahkan dengan dijilid. Bagi yang sedang menunggu diuji, bersabarlah untuk menyesuaikan waktu penguji.",ham,
Invia denaro ora http//bit.ly/2428,phishing,
أرسل الأموال الآن http://bit.ly/2437,phishing,
Work from home: Earn $3912/hour! Start today: bit.ly/123,spam,
ජවිකත් රඟපාත් හෝනිෂ අරිබි. දෛ සලකුවූ සදහන් 1 රුපියලි ජවිකත් රඟපාත් ගෙවේවොත් ඔබට ඔීෂමක් නොව ඔීශ ඔය Rs5390 පසුන ලලු හැක. යැම් බසුනන rml.lu/KQgkgv30 සමාඔභ්्ෂගතලඔන්වගොග.,spam,
Debt relief program: Get out of debt fast! Call 7468,spam,
Terpilih dapat cek 27jt. KODE TRIPLE CEK ANDA (02599875) U/Info Klik Website www.undianbri.co.vu,spam,
"Yo chad, quelle classe de gymnastique aimerais-tu prendre ? Le site indique que la classe de Christian est pleine.",ham,
Your account balance is $1030,ham,
Package being held at the terminal: http://ffnst.com/7DH414,phishing,
"Aiyar, tu es tellement pauvre chose... Je te donne mon soutien, d'accord... Jia you ! Je penserai à toi...",ham,
Paquete retenido en la terminal: http://ffnst.com/7DH582,phishing,
"Не пинайте Коко, когда он внизу",ham,
ඔබට UK ගමනට යන්න වැලෝ කාඩය අවශ්යන්ට නොලබා ඇත. කොටස් එකක් හෝ වහාම ගභාන කරයිද දැයි ඇත්දැයි සිදු නැත.,ham,
L'India sta per pareggiare la serie dopo molti anni su suolo sudafricano...,ham,
Earn $4148 per week working from home!,spam,
"Простите, я позвоню позже, на встрече",ham,
Paket ditahan di terminal: http://ffnst.com/7DH376,phishing,
"Нет проблем, дорогая. Это хорошее время поговорить? Я звонил и оставил сообщение.",ham,
"lly. пожалуйста, не отвечайте на этот SMS",ham,
Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201,spam,
Kirim Uang Sekarang http//bit.ly/1421,phishing,
WhatsApp: New security code: 4709. Don't share it.,phishing,
ما هو الوقت الذي تعتقد أنه ستحصل عليه؟ أحتاج إلى معرفة متى يجب علي أن أكون قرب الحرم الجامعي,ham,
Debt relief program: Get out of debt fast! Call 5614,spam,
Paquet retenu dans le terminal: http://ffnst.com/7DH742,phishing,
URGENT: Your prize is waiting! Call 4020,spam,
No lo sé. Estoy sentado aquí en el estacionamiento de stop and shop ahora mismo sollozando porque siento que soy un fracaso en todo. Nadie me quiere y ahora siento que te estoy fallando.,ham,
"Sì, a casa di Derek ora, ci vediamo domenica &lt;3",ham,
Enviar dinero ahora http//bit.ly/2546,phishing,
"WELL DONE! உங்களது 4* கோஸ்டா டெல் சால் வாகன அல்லது ¬£5000 கிடைக்கும். அட்டவணையை பெற அழையவும்: 09050090044. SAE, பில்லட்டு விதிமுறைகள், POBox334, ஸ்டாக்போர்ட், SK38xh, செலக்கு ¬£1.50/pm, அதிகபட்சம் 10 நிமிடங்கள்.",spam,
Kostenlose Videokamera-Handys mit halbierten Grundgebühren für 12 Monate und 500 Minuten sowie 100 SMS in alle Netze. Rufen Sie MobileUpd8 unter 08001950382 an oder Call2OptOut/674&.,spam,
"Schmerzhafte Worte - \Ich dachte, glücklich zu sein sei das Schwierigste auf der Erde... Aber",ham,
نعم، أراك لاحقًا ليس في الوقت المحدد,ham,
أرسل المال الآن http//bit.ly/1258,phishing,
வெற்றி!! உலாவியம் வாடிக்கையராக நீங்கள் மதிப்பிலுள்ள உச்சம் தொகை வெகுமதி பெற வாய்ப்புக்கு தேர்ந்தெடுக்கப்பட்டீர்கள்! கோரிக்கை செய்ய 09061701461 எண்களை அழைக்கவும். கோரிக்கை குறியீடு KL341. எந்த நாளிலேயே 12 மணி நேரத்திற்கு மட்டுமே செயல்படுகிறது.,spam,
Sende jetzt Geld http//bit.ly/2851,phishing,
🎉 CONGRATS! You won $4825 Amazon gift card! Redeem at goo.gl/xyz 🎉,spam,
https://bit.ly/10473,spam,
"После того, как я закончу обед, я пойду прямо. Около 3 часов что-то. Ты уже закончил обед?",ham,
"ஹாய், நான் உங்களுடன் இன்று இருந்த முன்னசை, இது சாதாரண வழி மற்றும் இது என்னும் உண்மையான நான். உங்கள் உனிக்கிடையோராக இருக்கிறேன் மறைந்த என்ன கண்டால் வரவேற்க.",ham,
"வாழ்க்கை காப்பீடு வயது உள்ளடக்கம் மூலம் உயருகின்றது. 1 கோடி வாழ்க்கை காப்பீடு இப்போது வாங்கவும், உங்கள் பிறந்தநாள் பிறக்கு Rs5603 ஆக்காத Rs5390 செலுத்துங்கள். விண்ணப்பிக்க rml.lu/KQgkgv10",spam,
نعم، لا ترد على هذه الرسالة القصيرة.,ham,
Посылка удерживается в терминале: http://ffnst.com/7DH936,phishing,
டெர்மினலில் பேக்கேஜ் கட்டுப்படுத்தப்பட்டுள்ளது: http://ffnst.com/7DH105,phishing,
"Estimado Faik Grbovic,Echa un vistazo a tu correo electrónico para ver nuestra oferta de Navidad para nuestros productos de salud. ¡No te la pierdas!¡Feliz Navidad!Atentamente, Suppline, central@csdep.net",ham,
"Das größte Online-Casino, www.jayabet4.com, Registrieren Sie sich + Holen Sie sich einen Empfehlungsbonus + 0,25% Cashback-Bonus für Sportwetten pro Woche. Spielen Sie auf Ihrem Smartphone und PC.",spam,
🎉 CONGRATS! You won $3294 Amazon gift card! Redeem at bit.ly/123 🎉,spam,
Думать о ком-то - это все хорошо. Нет наркотиков для этого.,ham,
Debt relief program: Get out of debt fast! Call 2363,spam,
Kirim Uang Sekarang http://bit.ly/2434,phishing,
In qualsiasi momento...,ham,
"Нет. С тех пор, как Айо уехал, он забыл своего парня",ham,
(aytd2773838383 https://goo.gl/783243),spam,
ZEPETO:6277. Si prega di inserire entro 10 minuti.,ham,
ටර්මිනල්වල එදාකීමේ පැකට්: http://ffnst.com/7DH69,phishing,
Work from home: Earn $2459/hour! Start today: bit.ly/123,spam,
"Bonjour, votre solde de compte Voicespin ZohoDemo est de -100,07. À moins que vous ne le rechargiez dès que possible, il atteindra la limite de crédit et sera automatiquement bloqué.",ham,
කටුලු ගැඹුරු පිහිටා ඇති දෝෂයේ පිවිසුමක් හෝ ඔබ කරන්න යුතු දෙකයක් ඇතුළු දෙයියෙන් කවුද කියනවායිද?,ham,
Job offer: Earn $2168/month. Apply at tinyurl.com/abc,phishing,
"Urgente, per favore chiamare il 09066612661 da telefono fisso. £5000 in contanti o una lussuosa vacanza alle Canarie 4* vi aspettano per il ritiro. Condizioni e regolamento inviate per posta. 20M12AQ. 150 centesimi al minuto. 16+",spam,
There bold 2 &lt;#&gt; . Is that yours,ham,
7981 هو رمز التحقق الخاص بـ FashionForth الخاص بك. سينتهي صلاحيته في 45 ثانية. لا تشاركه مع أي شخص.,ham,
Necesitas enviar dinero al IRS AHORA en https://tinyurl.com/8980,spam,
"MESSAGE OFFICIEL de Tri No. XV/15 VOTRE CODE GAGNANT 67YTG44 CHOISI COMME LE DEUXIÈME GAGNANT DU PRIX EN ESPÈCES DE 45 JT INFO COMPLÈTE. TRI CLIQUEZ WWW.3-INFO.WEBNODE.COM À PARTIR DU NUMÉRO. 089655264130 ENSUITE, UN SMS EST ENVOYÉ. DÉSOLÉ, JE VEUX APPORTER UN APPEL DEPUIS LE N° 085104894998",spam,
Kirim Uang Sekarang http://bit.ly/1237,phishing,
Was macht mein Liebling? Schläft er/sie?,ham,
Посылка удерживается в терминале: http://ffnst.com/7DH1070,phishing,
කොරාන්නේ ඔබට හොද ජීව සහ නිශ්වන්යතාවම අනතුරු සන්නද්ධ mobile සමාගමේ දැන්වීම් වෙත එක්වන්න ගන්න. (100p/SMS),spam,
ටර්මිනලේ පැකටඑය කැමැත්ත්: http://ffnst.com/7DH611,phishing,
"У вас уже есть ненадежный родитель. Ребенку не следует поддерживать родителя...по крайней мере, пока они не достигнут возраста, когда им можно стать опорой. Я должен быть здесь, чтобы поддержать вас. И теперь я причинил вамболь. Несмышленно. Но боль всё равно есть.",ham,
Job offer: Earn $4514/month. Apply at bit.ly/123,phishing,
aytd2773838383 https://goo.gl/782930,spam,
LOL ... Hast du schon Pläne für Silvester gemacht?,ham,
"Concernant la maison et le terrain d'hier, j'ai déjà fait une enquête, je me sens d'accord, pour négocier le prix, veuillez contacter ou envoyer un SMS à mon mari, M. haji. généreux; 085796022225.",spam,
🎉 CONGRATS! You won $2369 Amazon gift card! Redeem at goo.gl/xyz 🎉,spam,
டெர்மினலில் பொருள் நீட்டிக்கப்பட்டுள்ளது: http://ffnst.com/7DH1074,phishing,
"Estaba en Bugis justo ahora, ¿qué pasa? Pero ahora estoy caminando a casa ya... ¿Tan tarde para responder... También vi una blusa que me gustó pero no la compré... ¿Dónde estás ahora?",ham,
"Pemberitahuan EmailDari: Jeri StewartUkuran: 2KBJudul: Obat resep murahUntuk mendengarkan email, hubungi 123",spam,
Pakai handphone XL Axiata mu langsung bisa internetan pakai XL,spam,
"Hola, ¿todavía estás en el gimnasio?",ham,
Eso debe ser un dolor de cabeza para atrapar,ham,
உங்கள் டிஸ்கார்ட் பாதுகாப்பு குறியீடு: 548235 \ tzD9jY28Wrn,ham,
எஸ்பிளனேட் உண்டு என உறுதிப்படுத்தியுள்ளோம்?,ham,
Votre colis n'a pas pu être livré en raison de frais de douane impayés. Payez maintenant sur www.postal-service.com/fees/4,phishing,
Envoyez de l'argent maintenant http//bit.ly/1441,phishing,
Debt relief program: Get out of debt fast! Call 1610,spam,
Sende jetzt Geld http//bit.ly/1253,phishing,
Su paquete no pudo ser entregado debido a la tarifa de aduana impaga. Pague ahora en www.postal-service.com/fees/9,phishing,
"Ваш аккаунт пополнен на 500 БЕСПЛАТНЫХ текстовых сообщений. Чтобы активировать, просто отправьте слово: КРЕДИТ на номер: 80488 Условия и положения www.80488.biz",spam,
Votre code de vérification Discord est: 579229,ham,
¡Venta de verano caliente! Compra uno y llévate otro gratis en toda la ropa de playa en TrendyStyles. Compra ahora en www.trendystyles.com/sale49.,spam,
ஒருதரமாக ஏதாவதை முயலுங்கள். நீங்கள் தேர்வுகளுக்காக ஏதாவதை அவாமைக்கவேண்டும்,ham,
Your verification code is 7162,ham,
Paque a été retenu dans le terminal: http://ffnst.com/7DH826,phishing,
Paket im Terminal festgehalten: http://ffnst.com/7DH989,phishing,
"Hey elaine, is today's meeting still on?",ham,
Aku ingin mengucapkan selamat tahun baru dan aku ingin membicarakan beberapa saran hukum terkait ketika aku dan Gary putus tetapi secara langsung. Aku akan pergi ke Ptbo untuk itu. Semoga semuanya baik-baik saja denganmu sayang dan aku mencintaimu :),ham,
"Pesan ini gratis. Selamat datang di klub Sex & Dogging yang baru & ditingkatkan! Untuk berhenti berlangganan layanan ini, balas STOP. pesan@150p hanya untuk usia 18 tahun ke atas",spam,
YA! Satu-satunya tempat di kota untuk bertemu dengan lajang dewasa yang menarik sekarang ada di Inggris. Ketik CHAT ke 86688 sekarang! 150p/Pesan.,spam,
WIN 1133 NOW! Click goo.gl/xyz to claim!,spam,
Your tax refund of $835 is ready. Claim at tinyurl.com/abc,phishing,
"GRATIS Internetan hg 1000 MB, Nelpon 1000 Menit & 1000 SMS ke Sesama Indosat dg IsiUlang mulai 10Rb.Utk daftar ketik GRATIS kirim ke 123 (GRATIS) lalu isi Ulang",spam,
الحزمة محجوزة في الموقع: http://ffnst.com/7DH447,phishing,
Отправьте деньги сейчас http://bit.ly/2813,phishing,
"INTERFLORA - Es ist noch nicht zu spät, um Interflora-Blumen für Weihnachten zu bestellen. Rufen Sie 0800 505060 an, um Ihre Bestellung vor Mitternacht morgen aufzugeben.",spam,
"BONUS Rp. 5.000 per te! Basta inviare SMS 2 volte oggi per ricevere il bonus, solo per oggi! T483",spam,
Necesitas enviar dinero al IRS AHORA en https://tinyurl.com/8844,spam,
Debt relief program: Get out of debt fast! Call 8872,spam,
அந்த திரைப்படத்தை நீ பார்த்தாயா? :),ham,
උදාම ආහාරයට යාමේ? පියවර මා කියනවා. මා ඔබ සමඟ තහවුරු කරමින් තිබේ...,ham,
"Entschuldigung Chikku, mein Handy hatte ein Problem, deshalb konnte ich dir nicht antworten oder eine Nachricht senden.",ham,
"Hallo, Ihr Voicespin Becerra_Ltd Kontostand beträgt 989,55. Wenn Sie es nicht umgehend aufladen, wird es das Kreditlimit erreichen und automatisch blockiert.",ham,
Debt relief program: Get out of debt fast! Call 5759,spam,
"хотите заниматься сексом? хотите получать настоящие места для секса на открытом воздухе прямо на свой мобильный телефон? присоединяйтесь к крупнейшей сети секса на открытом воздухе в Великобритании. отправьте сообщение с текстом ""dogs"" на номер 69696 прямо сейчас!вечер в городе лондон. ec2a. 3lp стоимость сообщения £1.50.",spam,
"SHOPEE : Il y a une tentative de connexion à votre compte. Si c'est vous, cliquez sur ce lien pour continuer : shopee.co.id/dlink/verify/link?q=7eoKeg8j&event_type=1",ham,
Bank of America: Suspicious charge of $1029. Review at goo.gl/xyz,phishing,
Invia denaro ora http//bit.ly/2064,phishing,
"வணக்கம், உங்கள் பிறந்தநாள் விரைவில் வருகின்றது. பிறந்தநாள் கடைசியில் Rs.5603 பணம் செலுத்துவோம் என்று அல்ல Rs.5390 மட்டும் செலுத்துவோம் என்பதை கொண்டுவிடும் 1 கோடிக்கு கம்பீரமான திட்டம் வாங்கவேண்டும். கிளிக் rml.lu/Cvs559Y32",spam,
Tidak ada teka-teki manajemen.,ham,
"Ein £400-WEIHNACHTSGESCHENK WARTET AUF SIE! Unser Computer hat Sie zufällig aus unseren loyalen Handykunden ausgewählt, um eine Belohnung von £400 zu erhalten. Rufen Sie einfach die 09066380611 an.",spam,
ටර්මිනල් ඊපස්ල් දිනවෙකාවට නව පැකේටයෙන් අත්හදා බැලීම: http://ffnst.com/7DH409,phishing,
Invia denaro ora http//bit.ly/1539,phishing,
WIN 3643 NOW! Click tinyurl.com/abc to claim!,spam,
أرسل الأموال الآن http//bit.ly/2831,phishing,
Ricevi un potenziatore di dati mobile gratuito con ogni nuovo piano telefonico su MobileNet. Chiamaci al 800-555-0199 o visita www.mobilenet.com/10,phishing,
எஸ்....எஸ்... இந்தியா ஏழு வருஷங்களுக்கு பின் தென் ஆப்ரிக்க மண்ணில் தொடரை வசைக்குவதுண்டு..,ham,
Отправьте деньги сейчас http//bit.ly/1798,phishing,
Sende jetzt Geld http//bit.ly/2386,phishing,
FREE iPhone 15! Enter code 7971 at tinyurl.com/abc,spam,
Work from home: Earn $4049/hour! Start today: bit.ly/123,spam,
"හායි, ඔබේ Voicespin Test_Keykloack_2 ගිණුමේ ලාංකීය අගය 212.9 වේ. ASAP සදහා එක් කරන්න නම්, එය ක්රෙඩිට් සීමා ලද වගකීමට පරිශීලකයෙන් සොයා ගත හැකිය.",ham,
\Keep ur problems in ur heart,ham,
Send Money Now http//bit.ly/2851,phishing,
Debt relief program: Get out of debt fast! Call 4120,spam,
Invia denaro ora http://bit.ly/2284,phishing,
Debt relief program: Get out of debt fast! Call 5375,spam,
The evo. I just had to download flash. Jealous?,ham,
لقد فزت! إجازتك في كوستا ديل سول الفاخرة بأربع نجوم أو مبلغ قدره 5000 جنيه إسترليني في انتظار استلامهم. اتصل الآن على الرقم 09050090044 للمطالبة بجائزتك. يُرجى إرسال ظرف مُتضمن عنوانك، شروط وأحكام، صندوق بريد 334، ستوكبورت، SK38xh. يكلف المكالمة 1.50 جنيه إسترليني في الدقيقة، والحد الأقصى لمدة المكالمة 10 دقائق.,spam,
"Dia hanya akan khawatir untuk hal yang sia-sia. Dan dia tidak akan memberimu uang, tidak ada gunanya.",ham,
Pacchetto trattenuto in terminal: http://ffnst.com/7DH881,phishing,
"No estamos viendo una película aún. Xy quiere ir de compras, así que estoy de compras con ella ahora.",ham,
உள்ளூர் மற்றும் வெளிநாட்டு விமானங்களுக்கான கட்டண இணைய மூலம் முக்கிய டிக்கெட் சேர்க்கையைப் பெறவும். தொடர்: 085285485509 கிளிக். www.mhegatravel.com,spam,
"தவறக்கிடக்கூ - என் தாயின் இல்லத்தில் உள்ளேன்... பிட் தூக்கேல்! நாளை உங்களைப் பார்த்து பின்னூலம், விட்டு வெளியிடாதிருக்கி xx",ham,
أرسل الأموال الآن http//bit.ly/1640,phishing,
Your order #1502 has been shipped.,ham,
"7 на эспланаде.. Тебе не сложно подвезти меня, потому что у меня сегодня нет машины..",ham,
عرض خاص بمناسبة عيد الحب! اربح أكثر من 1000 جنيه إسترليني في مسابقتنا واصطحب شريك حياتك في رحلة لا تُنسى! ارسل GO إلى 83600 الآن. تكلفة الرسالة 150 بنسا. خدمة العملاء: 08718720201.,spam,
"Suoneria Top gratuita - iscriviti alla suoneria settimanale - ottieni la prima settimana gratis - invia SUBPOLY a 81618 - ?3 a settimana - per interrompere gli SMS, chiama 08718727870.",spam,
"Вероятно, я буду здесь некоторое время, увидимся позже сегодня &lt;)",ham,
Work from home: Earn $1463/hour! Start today: bit.ly/123,spam,
🎉 CONGRATS! You won $2099 Amazon gift card! Redeem at goo.gl/xyz 🎉,spam,
أرسل الأموال الآن http//bit.ly/2691,phishing,
"Du hast einen heimlichen Bewunderer, der Kontakt mit dir aufnehmen möchte - finde heraus, wer es ist* Lass uns wissen, wer dich so besonders findet - Ruf an unter 09058094599.",spam,
Per coloro che hanno un contratto di programmazione di giochi (e anche DWM): stiamo pianificando di partecipare a Gemastik. Si tratta della competizione più grande tra i corsi di laurea in informatica/IF e abbiamo grandi opportunità in questo settore.,ham,
Your order #1646 has been shipped.,ham,
Pacchetto bloccato nel terminale: http://ffnst.com/7DH85,phishing,
"Oke, selamat menikmati. Apakah kamu ada di rumah?",ham,
Sende jetzt Geld http//bit.ly/2742,phishing,
"J'ai &lt;#&gt;, y a-t-il un moyen que je puisse venir chercher ?",ham,
"""Rindu akan apapun demi 'Hidup Terbaik'mu, tapi jangan lewatkan hidup terbaikmu demi apapun. Selamat malam...""",ham,
Paquete detenido en la terminal: http://ffnst.com/7DH427,phishing,
100 සේවා ක්රමය කෙල්; 09064012103 වෙනස්වීමේ 334sk38ch,spam,
நடுவரைக்கு 30 வினடிக்கு வேலை வேண்டுகிறதா? இப்போது 02073162414 எண்ணை அழைக்கவும்! நேரலை 20 பெ கொலை்கள்,spam,
K:)k:)good:)study well.,ham,
"ආයුබෝවන්, වෙස්ටුඓන්ඩින් එකට ආයුබෝවන්!",ham,
Отправьте деньги сейчас http//bit.ly/2830,phishing,
WIN 4374 NOW! Click goo.gl/xyz to claim!,spam,
Pasa por nuestra habitación en algún momento para que podamos concretar el plan para este fin de semana.,ham,
"නෑ, මම එයින් ඇති වේදිකාව වෙත මෙන්නේ නැහැ, නම් එය මස්වත්යයට පිවිසුදුන් හෝ ධාරාවටම තිබුනාවේ",ham,
Ой. 4 забыл этот момент.,ham,
