id,source,text,label
s00066,synthetic,Your electricity bill of $1.99 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00067,synthetic,Kode verifikasi Amazon Anda adalah 4027. Jangan berikan kepada siapa pun.,ham
s00068,synthetic,"Pos Indonesia: Paket Anda 492842014707 telah dikirim, tiba besok.",ham
s00069,synthetic,DHL: Je pakket 3217459427 is vandaag bezorgd.,ham
s00070,synthetic,"Bank of America: A new device signed in to your account. If this was you, no action needed.",ham
s00071,synthetic,您的Google验证码是070485，请勿告诉他人。,ham
s00072,synthetic,"בנק לאומי: A new device signed in to your account. If this was you, no action needed.",ham
s00073,synthetic,"みずほ銀行: Your card was used for ¥4,990 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00074,synthetic,"Su factura de luz de 8,450 MXN vence el 21 de junio. Pague en la app para evitar recargos.",ham
s00075,synthetic,"Halo, besok jadi ketemu jam 3 buat kopi? Bawain bukunya ya",ham
s00076,synthetic,Ваш код подтверждения Uber: 405542. Никому не сообщайте его.,ham
s00077,synthetic,Amazonの確認コードは5297です。誰にも教えないでください。,ham
s00078,synthetic,DHL: Sua encomenda 4754481053 foi entregue hoje às 14h.,ham
s00079,synthetic,"بنك الرياض: A new device signed in to your account. If this was you, no action needed.",ham
s00080,synthetic,"SiCepat: Paket Anda 3263496603 telah dikirim, tiba besok.",ham
s00081,synthetic,Amazonの確認コードは1729です。誰にも教えないでください。,ham
s00082,synthetic,Ваш код подтверждения Microsoft: 4417. Никому не сообщайте его.,ham
s00083,synthetic,GLS: Il tuo pacco 8266141236 è stato consegnato oggi.,ham
s00084,synthetic,Your electricity bill of £1.10 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00085,synthetic,Your electricity bill of 1.99 دولار is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00086,synthetic,"Crédit Agricole: Votre carte a été utilisée pour 499,99 €. Répondez OUI si c'est vous, NON sinon.",ham
s00087,synthetic,Can you send me the $40 for the concert tickets when you get a chance?,ham
s00088,synthetic,"Sparkasse: Ihre Karte wurde für 1,99 € verwendet. Antworten Sie JA wenn das Sie waren, sonst NEIN.",ham
s00089,synthetic,"Hey, are we still meeting for coffee at 3pm tomorrow?",ham
s00090,synthetic,Royal Mail: Your package 492126935181 was delivered to your mailbox at 2:14 PM.,ham
s00091,synthetic,"בנק לאומי: Your card was used for 9.90 ₪ at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00092,synthetic,Votre code de vérification Microsoft est 473422. Ne le partagez avec personne.,ham
s00093,synthetic,PostNL: Je pakket 702608103290 is vandaag bezorgd.,ham
s00094,synthetic,Amazon Logistics: Your order has shipped and arrives Thursday by 8 PM. Track at amazonlogistics.com,ham
s00095,synthetic,"Your electricity bill of ¥14,800 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
s00096,synthetic,Your electricity bill of ₹499 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00097,synthetic,Correios: Sua encomenda 5062108445 foi entregue hoje às 14h.,ham
s00098,synthetic,"Volksbank: Ihre Karte wurde für 1,99 € verwendet. Antworten Sie JA wenn das Sie waren, sonst NEIN.",ham
s00099,synthetic,【圆通速递】您的包裹6647337604已于今日送达。,ham
s00100,synthetic,您的Netflix验证码是1333，请勿告诉他人。,ham
s00101,synthetic,Ihr Netflix Bestätigungscode ist 413158. Geben Sie ihn niemandem weiter.,ham
s00102,synthetic,"Тинькофф: Your card was used for 14 500 ₽ at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00103,synthetic,קוד האימות שלך ל-Amazon הוא 1544. אל תשתף אותו עם אף אחד.,ham
s00104,synthetic,"La Banque Postale: Votre carte a été utilisée pour 184,50 €. Répondez OUI si c'est vous, NON sinon.",ham
s00105,synthetic,Votre code de vérification Uber est 3072. Ne le partagez avec personne.,ham
s00106,synthetic,"Bradesco: Seu cartão foi usado em R$ 49,90. Responda SIM se foi você, NÃO caso contrário.",ham
s00107,synthetic,SEUR: Su paquete 5286376416 fue entregado hoy a las 14:14.,ham
s00108,synthetic,"LCL: Votre carte a été utilisée pour 12,90 €. Répondez OUI si c'est vous, NON sinon.",ham
s00109,synthetic,DHL: Sua encomenda 032534091254 foi entregue hoje às 14h.,ham
s00110,synthetic,Google doğrulama kodunuz 6483. Kimseyle paylaşmayın.,ham
s00111,synthetic,Amazon Logistics: Out for delivery today. Your driver is Marcus in a grey van.,ham
s00112,synthetic,"Salut, on se voit toujours pour le café demain à 15h? Tu peux me passer les 20€ quand tu peux",ham
s00113,synthetic,DHL: Your order has shipped and arrives Thursday by 8 PM. Track at dhl.com,ham
s00114,synthetic,"BRI: A new device signed in to your account. If this was you, no action needed.",ham
s00115,synthetic,Your electricity bill of $499.99 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00116,synthetic,"Société Générale: Votre carte a été utilisée pour 184,50 €. Répondez OUI si c'est vous, NON sinon.",ham
s00117,synthetic,"三菱UFJ銀行: Your card was used for ¥4,990 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00118,synthetic,【佐川急便】お荷物8504759489を本日お届けしました。,ham
s00119,synthetic,"BRI: Your card was used for Rp 9.900 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00120,synthetic,FedEx: Out for delivery today. Your driver is Marcus in a grey van.,ham
s00121,synthetic,Your prescription is ready for pickup at the pharmacy on Oak St. Questions? Call the number on your bottle.,ham
s00122,synthetic,البريد السعودي: Your package 387265744967 was delivered to your mailbox at 2:14 PM.,ham
s00123,synthetic,Colissimo: Votre colis 8058876967 sera livré demain entre 9h et 12h.,ham
s00124,synthetic,Seu código de verificação Uber: 192873. Não compartilhe com ninguém.,ham
s00125,synthetic,"ING: A new device signed in to your account. If this was you, no action needed.",ham
s00126,synthetic,GLS: Ihr Paket 2752310678 wurde heute zugestellt.,ham
s00127,synthetic,"BNI: A new device signed in to your account. If this was you, no action needed.",ham
s00128,synthetic,DHL: Out for delivery today. Your driver is Marcus in a grey van.,ham
s00129,synthetic,"Your electricity bill of $1,482.00 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
s00130,synthetic,Votre code de vérification La Banque Postale est 8406. Ne le partagez avec personne.,ham
s00131,synthetic,【圆通速递】您的包裹062767745000已于今日送达。,ham
s00132,synthetic,رمز التحقق الخاص بـ Netflix هو 422488. لا تشاركه مع أي شخص.,ham
s00133,synthetic,Je Microsoft verificatiecode is 469563. Deel deze met niemand.,ham
s00134,synthetic,Mondial Relay: Votre colis 8316840241 sera livré demain entre 9h et 12h.,ham
s00135,synthetic,"ICICI: Aapke card se ₹1,482 ka transaction hua. Reply YES agar aapne kiya, NO agar nahi.",ham
s00136,synthetic,رمز التحقق الخاص بـ Google هو 884721. لا تشاركه مع أي شخص.,ham
s00137,synthetic,"CaixaBank: Se usó su tarjeta por 1,99 € en un comercio. Responda SÍ si fue usted, NO si no.",ham
s00138,synthetic,DHL: Je pakket 8281570110 is vandaag bezorgd.,ham
s00139,synthetic,"Ziraat Bankası: Your card was used for 19,90 TL at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00140,synthetic,【京东物流】您的包裹3980569803已于今日送达。,ham
s00141,synthetic,"Ihre Stromrechnung über 9,90 € ist am 21. Juni fällig. Zahlen Sie in der App.",ham
s00142,synthetic,"ゆうちょ銀行: A new device signed in to your account. If this was you, no action needed.",ham
s00143,synthetic,"Citibank: Your card was used for $499.99 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00144,synthetic,Seu código de verificação Uber: 6344. Não compartilhe com ninguém.,ham
s00145,synthetic,7743 is your Uber verification code.,ham
s00146,synthetic,Your electricity bill of 1.482 TL is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00147,synthetic,"מזרחי טפחות: A new device signed in to your account. If this was you, no action needed.",ham
s00148,synthetic,Il tuo codice di verifica Netflix è 8402. Non condividerlo con nessuno.,ham
s00149,synthetic,"Poste Italiane: A new device signed in to your account. If this was you, no action needed.",ham
s00150,synthetic,Your Microsoft verification code is 0030. Never share this code. We will never call you to ask for it.,ham
s00151,synthetic,"Sua conta de luz de R$ 1.482,00 vence em 21/06. Pague no aplicativo.",ham
s00152,synthetic,קוד האימות שלך ל-Microsoft הוא 683687. אל תשתף אותו עם אף אחד.,ham
s00153,synthetic,"Votre facture d'électricité de 1,99 € est due le 21 juin. Payez dans l'application.",ham
s00154,synthetic,"BPER: Your card was used for 184,50 € at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00155,synthetic,Tu código de verificación de Microsoft es 0930. No lo compartas con nadie.,ham
s00156,synthetic,Почта России: Ваша посылка 9325985909 доставлена сегодня.,ham
s00157,synthetic,البريد السعودي: Your order has shipped and arrives Thursday by 8 PM. Track at البريدالسعودي.com,ham
s00158,synthetic,Sequoia: Sua encomenda 098572723679 foi entregue hoje às 14h.,ham
s00159,synthetic,India Post: Aapka parcel 7219305227 aaj deliver ho gaya.,ham
s00160,synthetic,رمز التحقق الخاص بـ Uber هو 8133. لا تشاركه مع أي شخص.,ham
s00161,synthetic,דואר ישראל: Your package 358393839751 was delivered to your mailbox at 2:14 PM.,ham
s00162,synthetic,"Your electricity bill of ₹1,482 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
s00163,synthetic,"ゆうちょ銀行: Your card was used for ¥14,800 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00164,synthetic,【ヤマト運輸】お荷物5057784895を本日お届けしました。,ham
s00165,synthetic,"工商银行: Your card was used for ¥49.90 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00166,synthetic,Hermes: Ihr Paket 2740362833 wurde heute zugestellt.,ham
s00167,synthetic,"工商银行: A new device signed in to your account. If this was you, no action needed.",ham
s00168,synthetic,"מזרחי טפחות: Your card was used for 1,490 ₪ at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00169,synthetic,Je Google verificatiecode is 564880. Deel deze met niemand.,ham
s00170,synthetic,Aapka Netflix verification code hai 140561. Kisi ke saath share na karein.,ham
s00171,synthetic,Ваш код подтверждения Сбербанк: 209774. Никому не сообщайте его.,ham
s00172,synthetic,رمز التحقق الخاص بـ Uber هو 2390. لا تشاركه مع أي شخص.,ham
s00173,synthetic,"Your electricity bill of 19,90 TL is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
s00174,synthetic,【中国邮政】您的包裹4522238023已于今日送达。,ham
s00175,synthetic,DPD: Ihr Paket 2276885429 wurde heute zugestellt.,ham
s00176,synthetic,Amazon Logistics: Your package 793578506804 was delivered to your mailbox at 2:14 PM.,ham
s00177,synthetic,Tu código de verificación de Banorte es 0696. No lo compartas con nadie.,ham
s00178,synthetic,"בנק דיסקונט: A new device signed in to your account. If this was you, no action needed.",ham
s00179,synthetic,Your electricity bill of ₹99 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00180,synthetic,Tu código de verificación de Google es 800361. No lo compartas con nadie.,ham
s00181,synthetic,"Oi amor, cheguei bem, te ligo mais tarde. Não esquece de me mandar os 40 do show",ham
s00182,synthetic,Reminder: Kal aapka doctor appointment 9:30 baje hai. Confirm karne ke liye C reply karein.,ham
s00183,synthetic,"BNI: Your card was used for Rp 49.900 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00184,synthetic,Aapka ICICI verification code hai 856475. Kisi ke saath share na karein.,ham
s00185,synthetic,"Сбербанк: Your card was used for 499 ₽ at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00186,synthetic,"Itaú: Seu cartão foi usado em R$ 49,90. Responda SIM se foi você, NÃO caso contrário.",ham
s00187,synthetic,您的Netflix验证码是7451，请勿告诉他人。,ham
s00188,synthetic,رمز التحقق الخاص بـ Uber هو 0056. لا تشاركه مع أي شخص.,ham
s00189,synthetic,"SNS Bank: A new device signed in to your account. If this was you, no action needed.",ham
s00190,synthetic,Kode verifikasi WhatsApp Anda adalah 3769. Jangan berikan kepada siapa pun.,ham
s00191,synthetic,Kode verifikasi Microsoft Anda adalah 373621. Jangan berikan kepada siapa pun.,ham
s00192,synthetic,FedEx: Your order has shipped and arrives Thursday by 8 PM. Track at fedex.com,ham
s00193,synthetic,Il tuo codice di verifica Amazon è 6027. Non condividerlo con nessuno.,ham
s00194,synthetic,"Your electricity bill of 184,50 € is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
s00195,synthetic,Your electricity bill of 499 ₽ is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00196,synthetic,Your Google verification code is 0512. Never share this code. We will never call you to ask for it.,ham
s00197,synthetic,Ваш код подтверждения Netflix: 3100. Никому не сообщайте его.,ham
s00198,synthetic,WhatsApp doğrulama kodunuz 286465. Kimseyle paylaşmayın.,ham
s00199,synthetic,MRW: Su paquete 2397975957 fue entregado hoy a las 14:14.,ham
s00200,synthetic,"中国银行: Your card was used for ¥1,482 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00201,synthetic,PTT Kargo: Kargonuz 372125616462 bugün teslim edildi.,ham
s00202,synthetic,"Ziraat Bankası: A new device signed in to your account. If this was you, no action needed.",ham
s00203,synthetic,PTT Kargo: Kargonuz 9559892994 bugün teslim edildi.,ham
s00204,synthetic,"Your electricity bill of ¥4,990 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
s00205,synthetic,Poste Italiane: Il tuo pacco 6080047863 è stato consegnato oggi.,ham
s00206,synthetic,Votre code de vérification Google est 6423. Ne le partagez avec personne.,ham
s00207,synthetic,SDA: Il tuo pacco 1525421387 è stato consegnato oggi.,ham
s00208,synthetic,"אמא, אני מאחר בעשר דקות, תתחילו לאכול בלעדיי",ham
s00209,synthetic,PostNL: Je pakket 772949389943 is vandaag bezorgd.,ham
s00210,synthetic,Erinnerung: Ihr Termin beim Bürgeramt ist morgen um 10:15 Uhr. Bitte Ausweis mitbringen.,ham
s00211,synthetic,Ваш код подтверждения Amazon: 3433. Никому не сообщайте его.,ham
s00212,synthetic,"Your electricity bill of 1,99 € is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
s00213,synthetic,Your electricity bill of Rp 9.900 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00214,synthetic,Blue Dart: Aapka parcel 2188679601 aaj deliver ho gaya.,ham
s00215,synthetic,"CaixaBank: Se usó su tarjeta por 184,50 € en un comercio. Responda SÍ si fue usted, NO si no.",ham
s00216,synthetic,"Ihre Stromrechnung über 1,99 € ist am 21. Juni fällig. Zahlen Sie in der App.",ham
s00217,synthetic,"J&T: Paket Anda 3909348128 telah dikirim, tiba besok.",ham
s00218,synthetic,"Your electricity bill of 1,490 ₪ is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
s00219,synthetic,Mondial Relay: Votre colis 662460748727 sera livré demain entre 9h et 12h.,ham
s00220,synthetic,"Mamá ya llegué a casa, te llamo después de cenar, besos",ham
s00221,synthetic,Ваш код подтверждения WhatsApp: 8079. Никому не сообщайте его.,ham
s00222,synthetic,USPS: Your order has shipped and arrives Thursday by 8 PM. Track at usps.com,ham
s00223,synthetic,"BNP Paribas: Votre carte a été utilisée pour 1,99 €. Répondez OUI si c'est vous, NON sinon.",ham
s00224,synthetic,Your electricity bill of 500 ريال is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00225,synthetic,Your table for 4 is confirmed for 7:30 PM tonight. Reply CANCEL to release the reservation.,ham
s00226,synthetic,"Mandiri: Your card was used for Rp 49.900 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00227,synthetic,"Your electricity bill of € 1,99 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
s00228,synthetic,Kode verifikasi Amazon Anda adalah 613053. Jangan berikan kepada siapa pun.,ham
s00229,synthetic,קוד האימות שלך ל-Microsoft הוא 728325. אל תשתף אותו עם אף אחד.,ham
s00230,synthetic,"Bank of America: Your card was used for $1.99 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00231,synthetic,"Your electricity bill of ¥1,482 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
s00232,synthetic,DHL: Your package 0158157040 was delivered to your mailbox at 2:14 PM.,ham
s00233,synthetic,"ICICI: Aapke card se ₹499 ka transaction hua. Reply YES agar aapne kiya, NO agar nahi.",ham
s00234,synthetic,Aapka Google verification code hai 027974. Kisi ke saath share na karein.,ham
s00235,synthetic,"Oye, ¿seguimos para el café mañana a las 3?",ham
s00236,synthetic,Your electricity bill of 10 ريال is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00237,synthetic,"JNE: Paket Anda 5207487662 telah dikirim, tiba besok.",ham
s00238,synthetic,"مصرف الراجحي: A new device signed in to your account. If this was you, no action needed.",ham
s00239,synthetic,Ihr Google Bestätigungscode ist 2626. Geben Sie ihn niemandem weiter.,ham
s00240,synthetic,Microsoft doğrulama kodunuz 4648. Kimseyle paylaşmayın.,ham
s00241,synthetic,Netflix doğrulama kodunuz 7595. Kimseyle paylaşmayın.,ham
s00242,synthetic,Lembrete: Sua consulta é amanhã às 9h30. Responda C para confirmar.,ham
s00243,synthetic,【佐川急便】お荷物035958566529を本日お届けしました。,ham
s00244,synthetic,DPD: Votre colis 483535033724 sera livré demain entre 9h et 12h.,ham
s00245,synthetic,Tu código de verificación de WhatsApp es 2352. No lo compartas con nadie.,ham
s00246,synthetic,"Альфа-Банк: A new device signed in to your account. If this was you, no action needed.",ham
s00247,synthetic,Почта России: Ваша посылка 181849619557 доставлена сегодня.,ham
s00248,synthetic,"BRI: Your card was used for Rp 1.482.000 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00249,synthetic,PTT Kargo: Kargonuz 949759298348 bugün teslim edildi.,ham
s00250,synthetic,お母さん、今駅に着いたよ。夕飯までには帰る。,ham
s00251,synthetic,Blue Dart: Aapka parcel 7814052044 aaj deliver ho gaya.,ham
s00252,synthetic,Aras Kargo: Kargonuz 688319956070 bugün teslim edildi.,ham
s00253,synthetic,Je Amazon verificatiecode is 1449. Deel deze met niemand.,ham
s00254,synthetic,Yurtiçi Kargo: Kargonuz 0389488946 bugün teslim edildi.,ham
s00255,synthetic,DHL: Sua encomenda 0242348745 foi entregue hoje às 14h.,ham
s00256,synthetic,Mondial Relay: Votre colis 920853371098 sera livré demain entre 9h et 12h.,ham
s00257,synthetic,"Barclays: A new device signed in to your account. If this was you, no action needed.",ham
s00258,synthetic,Seu código de verificação Netflix: 786371. Não compartilhe com ninguém.,ham
s00259,synthetic,"Привет! Встретимся завтра в 18:00 у метро, как договаривались?",ham
s00260,synthetic,UPS: Your order has shipped and arrives Thursday by 8 PM. Track at ups.com,ham
s00261,synthetic,Tu código de verificación de Bancomer es 093418. No lo compartas con nadie.,ham
s00262,synthetic,رمز التحقق الخاص بـ Amazon هو 485837. لا تشاركه مع أي شخص.,ham
s00263,synthetic,Ihr Google Bestätigungscode ist 500517. Geben Sie ihn niemandem weiter.,ham
s00264,synthetic,"BPER: A new device signed in to your account. If this was you, no action needed.",ham
s00265,synthetic,"Your electricity bill of 499,99 € is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
s00266,synthetic,"Rabobank: Your card was used for € 12,90 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00267,synthetic,"SiCepat: Paket Anda 210861013209 telah dikirim, tiba besok.",ham
s00268,synthetic,"UniCredit: A new device signed in to your account. If this was you, no action needed.",ham
s00269,synthetic,Correos: Su paquete 9241140787 fue entregado hoy a las 14:14.,ham
s00270,synthetic,Aras Kargo: Kargonuz 3809771153 bugün teslim edildi.,ham
s00271,synthetic,"Votre facture d'électricité de 12,90 € est due le 21 juin. Payez dans l'application.",ham
s00272,synthetic,Il tuo codice di verifica WhatsApp è 2317. Non condividerlo con nessuno.,ham
s00273,synthetic,"بنك مصر: Your card was used for 500 ريال at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00274,synthetic,FedEx: Your package 6869026421 was delivered to your mailbox at 2:14 PM.,ham
s00275,synthetic,"Paytm: Aapke card se ₹499 ka transaction hua. Reply YES agar aapne kiya, NO agar nahi.",ham
s00276,synthetic,Sequoia: Sua encomenda 114932219345 foi entregue hoje às 14h.,ham
s00277,synthetic,"SiCepat: Paket Anda 056285765169 telah dikirim, tiba besok.",ham
s00278,synthetic,"Su factura de luz de 499,99 € vence el 21 de junio. Pague en la app para evitar recargos.",ham
s00279,synthetic,Correos: Su paquete 224825782955 fue entregado hoy a las 14:14.,ham
s00280,synthetic,Kode verifikasi Uber Anda adalah 5843. Jangan berikan kepada siapa pun.,ham
s00281,synthetic,Your electricity bill of Rp 49.900 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00282,synthetic,"ABN AMRO: Your card was used for € 184,50 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00283,synthetic,Boxberry: Ваша посылка 6232226810 доставлена сегодня.,ham
s00284,synthetic,Blue Dart: Aapka parcel 598710086545 aaj deliver ho gaya.,ham
s00285,synthetic,Ваш код подтверждения Uber: 8889. Никому не сообщайте его.,ham
s00286,synthetic,Microsoftの確認コードは7383です。誰にも教えないでください。,ham
s00287,synthetic,Delhivery: Aapka parcel 8263219440 aaj deliver ho gaya.,ham
s00288,synthetic,Rappel: Votre rendez-vous chez le médecin est demain à 9h30. Répondez C pour confirmer.,ham
