id,source,text,dataset_label,rule_label,rule,typesafe_label,typesafe_confidence,decision,decision_source
r01894,rehearsal,عزيزتي نيرينغا غيليوفييني، يُرجى التحقق من بريدك الإلكتروني للحصول على عرض خاص بمناسبة عيد الميلاد على بعض المنتجات! مع تحياتي، سُبلاين central@csdep.net,ham,ham,,spam,0.98,,
r03467,rehearsal,"Chère Renée Faeghi,
Consultez votre e-mail pour l'offre spéciale de Noël sur nos produits de santé !
Cordialement, Suppline central@csdep.net",ham,ham,,spam,0.98,,
r04199,rehearsal,"Позвоните мне, я - Сентил из HSBC.",ham,ham,,phishing,0.98,,
r04968,rehearsal,https://goo.gl/783441 Tamil,spam,spam,,remove,0.98,,
r05399,rehearsal,"2016-08-07 11:29:47. Estimado cliente, le quedan 7160KB de cuota Flash. Descargue la aplicación MyTelkomsel en http://tsel.me/tsel para verificar su cuota y comprar un paquete Flash o llame al *363#",spam,spam,,ham,0.98,,
r06028,rehearsal,Paket 1.5GB berhasil diaktifkan. Restart hape kamu utk dpt menikmati kuota internetan selama 90hari. Cek sisa kuota di *557*8#,spam,spam,,ham,0.98,,
r06347,rehearsal,Este mensaje es para su pedido de contenido móvil. Se ha vuelto a enviar ya que el intento anterior falló debido a un error de red. Consultas a customersqueries@netvision.uk.com,spam,spam,,ham,0.98,,
r06517,rehearsal,ننصح بعدم النقر على الروابط المرسلة عبر الهاتف المحمول لتجنب الوقوع في عمليات احتيالية.,spam,spam,,ham,0.98,,
r02087,rehearsal,БЕЛЫЕ ФУДЖ ОРЕО В ПРОДАЖЕ,ham,ham,,spam,0.97,,
r03513,rehearsal,"Chère Francesca! Nous avons actuellement une promotion de Noël en cours, vous pouvez vérifier votre e-mail et profiter de la meilleure offre! Lisa central@csdep.net",ham,ham,,spam,0.97,,
r05058,rehearsal,3. Sie haben Ihren mobilen Inhalt erhalten. Viel Spaß!,spam,spam,,ham,0.97,,
r05566,rehearsal,"Белла смущена, что бы ей написать, вместо того чтобы писать много текста, но все ошибочно, лучше просто поговорить по телефону, вот мой номер телефона 0809-100-xxxx :)",spam,spam,,ham,0.97,,
r05749,rehearsal,"Maaf, saya tidak bisa membalas pesan Anda sekarang. Terima kasih.",spam,spam,,ham,0.97,,
r06120,rehearsal,"3MOBILE A DEMANDÉ SI LES LIGNES DE CHAT 0870 ÉTAIENT INCLUSES DANS LES MINUTES GRATUITES. LE SERVICE CLIENT EN INDE A DIT OUI. PLUS TARD, J'AI REÇU UNE ÉNORME FACTURE. 3 S'EN FICHE. UN HUISSIER EST ATTENDU DANS QUELQUES JOURS. JE DOIS 250 LIVRES, 3 EN VEUT 800.",spam,spam,,ham,0.97,,
r04520,rehearsal,مرحبًا عزيزي، كيف حالك اليوم؟ أود أن أتحدث معك، لماذا لا تخبرني كيف تبدو وما الذي تحبه من الجمال؟,spam,spam,,ham,0.96,,
r05798,rehearsal,"Berita Terkini! Toilet kantor polisi dicuri, polisi tak memiliki petunjuk apa pun!",spam,spam,,ham,0.96,,
r05860,rehearsal,هذه الرسالة متعلقة بطلبك للمحتوى عبر الهاتف المحمول. تم إعادتها بعد فشل المحاولة السابقة بسبب خطأ في الشبكة. للاستفسارات، يُرجى التواصل عبر البريد الإلكتروني: customersqueries@netvision.uk.com.,spam,spam,,ham,0.96,,
r05091,rehearsal,The text is a link to a website (goo.gl) and does not provide any meaningful information.,spam,spam,,remove,0.95,,
r05677,rehearsal,"saуa minta maaf, tetapi saya tidаk daрat mεngakses atau mеmbuka tautаn yang disediakαn. aрakah ada sesυatu yаng daрat saya bantυ?",spam,spam,,ham,0.95,,
r09312,rehearsal,whatsapp: nеw sεcuritу code: 2616. don't share it.,phishing,phishing,,ham,0.95,,
r03512,rehearsal,"liebe wendy! wir haben jеtzt die wειhnachtsaktіon am laufеn, du kannst deіne e-mаils überрrüfеn und dаs bestе angebοt genіεßen! lisа сеntral@csdep.net",ham,ham,,spam,0.94,,
r05682,rehearsal,"2016-08-07 11:29:47. Cher client, il vous reste 7160 Ko dans votre forfait Flash. Téléchargez l'application MyTelkomsel sur http://tsel.me/tsel pour vérifier votre forfait et acheter un forfait Flash ou composez le *363#.",spam,spam,,ham,0.94,,
r04016,rehearsal,"Уважаемая Вики Тейлор, пожалуйста, проверьте свою электронную почту на наличие специального рождественского предложения для некоторых продуктов! Ваш, Suppline central@csdep.net",ham,ham,,spam,0.93,,
r04924,rehearsal,Ihr Internet-Kontingent ist aufgebraucht. Bitte füllen Sie Ihr Kontingent unter *123# oder über die BimaTRI App auf Ihrem Gerät auf. Info:123,spam,spam,,ham,0.93,,
r05574,rehearsal,(قم بزيارة https://goo.gl/783271),spam,spam,,remove,0.93,,
r05606,rehearsal,"Gentile Cliente, Apprezziamo la tua esperienza presso il Servizio Telkomsel, valuta da 1 (molto scarso) a 5 (eccellente), invia un SMS al 1166 (GRATUITO) (per carica internazionale)",spam,spam,,ham,0.93,,
r05745,rehearsal,انتهى استخدام الإنترنت الخاص بك. قم بشحن الباقة الخاصة بك على *123# أو قم بالوصول إلى تطبيق BimaTRI من هاتفك الذكي. لمزيد من المعلومات: 123,spam,spam,,ham,0.93,,
r05086,rehearsal,"Das Tsel Flash-Paket wird am 07/08/2016 ablaufen. Es wird um 10 MB für 1 Tag zu einem Preis von 2500 verlängert, je nach Ihrem Standort kann sich der Preis ändern. Stellen Sie sicher, dass Ihr Guthaben ausreicht. Um das Abonnement zu beenden, senden Sie FLASH OFF an die Nummer 3636. Weitere Angaben zu den Tarifen finden Sie unter Tsel.me/internet.",spam,spam,,ham,0.92,,
r05547,rehearsal,"Riceverai la tua suoneria entro le prossime 24 ore. Per i Termini e le condizioni, consulta il canale U Teletext Pg 750.",spam,spam,,ham,0.92,,
r05585,rehearsal,OFFER: تم إلغاء باقتك بناءً على طلبك. سيتم تطبيق أسعار الإنترنت القياسية وفقًا لخطتك. اتصل بـ *363# لتنشيط باقة إنترنت أخرى. لمزيد من المعلومات، يرجى زيارة www.telkomsel.com,spam,spam,,ham,0.92,,
r03733,rehearsal,"Lieber John Sneddon! Wir haben jetzt Weihnachtsaktionen, du kannst deine E-Mail überprüfen und das beste Angebot genießen! Lisa central@csdep.net",ham,ham,,spam,0.91,,
r07836,rehearsal,ටර්මිනල් එහි තියෙන නැවතුම්: http://ffnst.com/7DH448,phishing,phishing,,ham,0.91,,
r08692,rehearsal,Текст оставлен без изменений.,phishing,phishing,,remove,0.91,,
r04112,rehearsal,"Verdammt, Schatz ... Ich vermisse dich schon jetzt, weißt du? Kannst du mir nicht erlauben, dir etwas Geld für dein Netz zu schicken? Ich brauche dich ... Ich will dich ... Ich begehre dich ...",ham,ham,,phishing,0.9,,
r05416,rehearsal,Permintaan Anda akan segera kami proses untuk keyword REG GITA dari layanan PT. Hypermind,spam,spam,,ham,0.9,,
r06297,rehearsal,ඇයි අයියා රාත්‍රීය කවදාවෙ ඡයාරාපැඹලා වෙනවද දුන්නද මෙතනිවිලෝ අතරේ පතුලි කරලාත වෙනවද?,spam,spam,,ham,0.9,,
r02625,rehearsal,"මචා, මුව ප්‍රජුව හඳුනා නැහැ. මම ඔබගේ මතකය උදාහරණය කරන්න පුලුවන්. මම කියමු, අපවූවක් සතුටක් සතුන් ඇවිද්දිද ආයුබෝවන්. ජවිය නවතට ආරම්භ වෙයි. කැල් කටිනාට ආදරය කරනවේ කෙවුල් කරනවා.කාලය නවතා වෙන්නට පාර.කොටසේ සලකුණු රටේ වද.කාලය පැළවෙනවා.මාකාට එක්වූතන්ද කැල්.සිං හොද වතුරද්‍යා සහ සතුටද ජවිය සඳහාදයෙක් රටේ අදහස්.ඇවිත් වෙමො.අමිත් කොප්යටයිම්.අයිපත් කමූ වේයවී.",ham,ham,,remove,0.88,,
r06607,rehearsal,SMS. ac sun0819 posts HELLO:\You seem cool,spam,spam,,ham,0.88,,
r01929,rehearsal,"Извините, но я не могу предоставить перевод данного текста, так как он содержит запрос на покупку алкоголя, что противоречит правилам платформы.",ham,ham,,remove,0.87,,
r02488,rehearsal,"பரிந்துரையை பெறுங்கள்:
20% தள்ளுபடி
இருதம் போனஸ் குள்ளங்கள்
மக்கள்
மோனிகா ஹோஃமான்
தொலைபேசி +44 151 832 0580
மின்னஞ்சல் central@csdep.net",ham,ham,,spam,0.87,,
r04674,rehearsal,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",spam,spam,,ham,0.87,,
r05405,rehearsal,Estoy todo solo en la cama y siento que algo falta. http://bit.ly/3MaLwc8,spam,spam,,ham,0.87,,
r03618,rehearsal,යන්න...,ham,ham,,remove,0.86,,
r04499,rehearsal,سوف تتلقى نغمة رنين Triple Echo لهذا الأسبوع قريبًا. استمتع بها!,spam,spam,,ham,0.86,,
r05316,rehearsal,"Selamat siang, terkait dengan rumah dan tanah yang kemarin, saya sudah melakukan survei dan merasa cocok. Untuk negosiasi harga, silakan hubungi atau SMS suami saya, Pak Haji Dermawan, di nomor 085796022225.",spam,spam,,ham,0.86,,
r03157,rehearsal,"Arun, puoi trasferirmi l'importo?",ham,ham,,phishing,0.85,,
r05498,rehearsal,"ඉලක්කය! ආස්නල් 4 (හෙන්‍රි, 7) සහ ලිවර්පූල් 2 හෙන්‍රි 78 මිනියම්ට පස්වරුයි බර්ග්කැම්ප් වෙළදරු යටතේටවත් හිතට 6 කින් ප්‍රහාරයේ සියදර්යෝ එකක් සුදුසු ගලා දෙයියා අර්සනල්ටව 2 පොලූ උදා මිනියම්ටය.",spam,spam,,ham,0.84,,
r06802,rehearsal,إعلان خدمة العملاء. حاولنا مؤخرًا توصيل طلب لك ولكن لم نتمكن من فعل ذلك، الرجاء الاتصال على الرقم 07090298926 لإعادة جدولة التوصيل. مرجع: 9307622,spam,spam,,ham,0.83,,
s01477,synthetic,"Eine Abbuchung von 184,50 € wurde vorgenommen. Falls nicht autorisiert, rufen Sie 06 20 72 15 68 an.",phishing,phishing,,ham,0.82,,
r04420,rehearsal,"This is the BRI account. Acc: 0881-1010-3433-4506, Attn. RASTO MURDOYO.",spam,spam,,ham,0.82,,
r05647,rehearsal,El número de cuenta de BRI es A/n.A.SRI NARTI NO.rek.2219-01-001948-50-7.,spam,spam,,ham,0.82,,
r05429,rehearsal,"Hey! Hectic day on the horizon? Make sure to breathe. :) Btw, are you amenable to the idea of transferring ownership of 725 Southgate Dr?",spam,spam,,ham,0.81,,
r06433,rehearsal,"Ihre einzigartige Benutzer-ID lautet 1172. Um sie zu entfernen, senden Sie STOP an 87239 Kundendienst 08708034412.",spam,spam,,ham,0.81,,
r06461,rehearsal,Link yang Anda berikan tampaknya merupakan link singkat yang mengarahkan ke tujuan yang tidak jelas. Apakah ada informasi tambahan yang ingin Anda sampaikan?,spam,spam,,ham,0.81,,
r05380,rehearsal,நீங்கள் அடுத்த 24 மணி நேரத்தில் உங்கள் ஸ்டோன் பெறுவீர்கள். செய்திகளுக்கு விதிகளைக் காண மன்னை யு அச்சுக் பேஜ் 750 க்கு செல்லவும்.,spam,spam,,ham,0.8,,
r06165,rehearsal,08714712388 antara pukul 10 pagi hingga 7 malam. Biaya Panggilan 10p.,spam,spam,,ham,0.8,,
r02022,rehearsal,"Dio, TI AMO e TI HO BISOGNO, PURIFICA IL MIO CUORE CON IL TUO SANGUE. Invia questo a dieci persone speciali e vedrai un miracolo domani, fallo, per favore, per favore fallo...",ham,ham,,spam,0.79,,
r03846,rehearsal,ඔබට පහළ සහිතව් මුදල් සොරයිගේ ලබා ගැනීමටත් ස්ථාන හාදන්න,ham,ham,,phishing,0.79,,
r04432,rehearsal,"Vous êtes abonné à TEXTCOMP 250 par semaine. La première question de la semaine est gratuite, les semaines suivantes sont facturées à 150p/message. Pour vous désabonner, envoyez STOP au 84128, service clientèle au 08712405020.",spam,spam,,ham,0.79,,
r04457,rehearsal,thesmszone.com memungkinkan Anda mengirim pesan anonim dan tersembunyi secara gratis. Saya mengirim pesan ini dari sana. Apakah Anda melihat potensi untuk penyalahgunaan?,spam,spam,,ham,0.79,,
r04839,rehearsal,88066 DE 88066 PERDU 3 LIVRES AIDER,spam,spam,,ham,0.79,,
r06629,rehearsal,"**KOSTENLOSE NACHRICHT** Vielen Dank, dass Sie den Auktionsabonnementdienst nutzen. 18 . 150p / MSGRCVD 2 Zum Überspringen einer Auktion SMS ABBRECHEN. 2 Zum Abbestellen der Nachrichten SMS STOP Kundenservice 08718726270",spam,spam,,ham,0.79,,
r06837,rehearsal,"Я все один в постели и мне кажется, что что-то не хватает. http://bit.ly/3MaLwc7",spam,spam,,ham,0.79,,
r06307,rehearsal,مرحبًا! يوم مشغول على الطريق؟ تأكد من التنفس. :) بالمناسبة، هل أنت موافق على فكرة نقل ملكية 725 Southgate Dr؟,spam,spam,,ham,0.78,,
r04201,rehearsal,අපව කිසිදු ඉක්මණ්ජනය සඳහා කරුණක් විවෘත කිරීමට කරුණාකර කරුණාකර සිංගප්පූර් - චැන්ගි ගුවන්ගොඩගොඩ එරිස්පෝට් තැපැල් 22/ඩෙසෙ/19:45/SQ961. ඔබගේ DBS පුදෙනි ප්‍රිවේලි නලය: AT10112818 ත් තිබෙණිය හැවීමට සපයා ඇත,ham,ham,,phishing,0.77,,
r04891,rehearsal,Lottery #: 456789,spam,spam,,ham,0.77,,
r05047,rehearsal,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",spam,spam,,ham,0.77,,
r05280,rehearsal,Isi ulang Rp50000.0 berhasil. Kode transaksi 99100827288792. Cek *123*888# untuk promo RABU RAWIT & JUMAT BAIK buat semua Pelanggan AXIS!,spam,spam,,ham,0.77,,
r04615,rehearsal,එය ලංකාවේ දෙක.,spam,spam,,ham,0.76,,
r05026,rehearsal,HIDUP tidak pernah sehebat dan menyenangkan seperti ini sebelum kamu hadir. Kamu membuatnya benar-benar istimewa bagiku. Aku tidak akan melupakanmu! Selamat menikmati @ satu gbp/sms,spam,spam,,ham,0.76,,
r06741,rehearsal,Voici le compte BRI. Compte : 0881-1010-3433-4506 Au nom de RASTO MURDOYO.,spam,spam,,ham,0.76,,
r03336,rehearsal,කරුණාවූ. මෙම කොහී වාක්‍යයට පිළිතුර දැන් නොපිළිතුර අඳුරට ඉවසන්න.,ham,ham,,remove,0.75,,
r04793,rehearsal,(ايتد2773838383 https://goo.gl/782986),spam,spam,,remove,0.75,,
r05427,rehearsal,"Su ID de usuario único es 1172. Para eliminarlo, envíe STOP al servicio de atención al cliente 87239 al 08708034412.",spam,spam,,ham,0.75,,
r05787,rehearsal,"Nasabah YTH, rekening BTPN Wow! Anda sudah aktif. Lakukan transaksi melalui *247# menggunakan PIN rahasia Anda. Info hub 1500300.",spam,spam,,ham,0.75,,
r06615,rehearsal,"Спасибо за ваш заказ рингтона, номер заказа R836. С вашего мобильного будет списано £4.50. Если ваш рингтон не придет, пожалуйста, позвоните в службу поддержки по телефону 09065069154.",spam,spam,,ham,0.75,,
r01980,rehearsal,"email central@csdep.net""",ham,ham,,remove,0.73,,
r05315,rehearsal,"ශ්යා ඩී.රිම්බවන් (ඩිර්මාවා ඒආපීබී) කුමාරො, ජජංග් රොනි උනුල් කොලික් (නිම් : ඊ14090090) දි හරහින් ප්‍රෝෆ්.ඩී.ආර්.ඇය.වරුවෝ, මහා ඩී.ආර්.ඉර්. යොනි කොස්මාර්යෝනෝ, එම්.0819882923. ඩ් ටුංජුක් හා කරටර් මහිනාර් සෙමිනාර් පෙන්ගෙන් කාරටර් මහිෂා දි ඩිකාටි ටීජ්. 14/15 අප්‍රිල් පෙර දි හෝටාල් නුසා ඩුවා බාලී, ට්‍රිම්.",spam,spam,,ham,0.73,,
r05414,rehearsal,"Félicitations, vous avez reçu une allocation Tsel de 100SMS. Vérifiez l'allocation en composant le *889#. Informations : www.telkomsel.com",spam,spam,,ham,0.73,,
r07464,rehearsal,الحزمة محجوزة في المستودع: http://ffnst.com/7DH770,phishing,phishing,,ham,0.73,,
r03838,rehearsal,"கொள்கின்று அந்த அதியாயம்:
20% தள்ளுச்
இரட்டை போனச் சிறுநீரக்கடல்
MFG
மோனிகா ஹாஃப்மன்
தொலைபேசி +44 151 832 0580
மின்னஞ்சல் central@csdep.net",ham,ham,,spam,0.71,,
r04452,rehearsal,"Kostenlose Nachricht. Es tut uns leid, aber ein von Ihnen bestellter Dienst von der Nummer 81303 konnte nicht geliefert werden, da Ihr Guthaben nicht ausreicht. Bitte laden Sie Ihr Guthaben auf, um den Dienst zu erhalten.",spam,spam,,ham,0.71,,
r06462,rehearsal,أيها الأصدقاء، تحققوا من استخدام المنح المقدمة للوقود والتعويضات لمن يستحقها! للشكاوى، قوموا بكتابة كلمة الوقود (متبوعة بالمحتوى اللازم) وإرسالها إلى 1708.,spam,spam,,ham,0.71,,
s01351,synthetic,"Eine Abbuchung von 9,90 € wurde vorgenommen. Falls nicht autorisiert, rufen Sie +44 7595 823090 an.",phishing,phishing,,ham,0.7,,
r06809,rehearsal,"The link you provided appears to be shortened and does not provide any information on its content. If you are looking for assistance or information on something specific, please provide more details so I can help you better.",spam,spam,,ham,0.7,,
r04401,rehearsal,"SIE SIND AUSERWÄHLT, UM EINEN £350 AWARD ZU ERHALTEN! Bitte rufen Sie die Anspruchnummer 09066364311 an, um Ihren Award abzuholen, den Sie als geschätzter Mobilfunkkunde ausgewählt wurden zu erhalten.",spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04454,rehearsal,لقد ربحت! كزبون قيّم لفودافون ، اختارك حاسوبنا لتكون الفائز بجائزة بقيمة 150 جنيه إسترليني. لاستلام الجائزة بسهولة، كل ما عليك فعله هو الاتصال على الرقم 09061743386.,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04459,rehearsal,"¡pr1v4do! su 3stado de cuenta de 2004 para 07742676969 mu3$tra 786 punt0s de b0n1ficación no canjeados. par@ reclamar, llame a| 08719180248 código de identificación: 45239 expira",spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04462,rehearsal,PESAN RESMI DR TRI-CARE INDONESIA 2016 selamat No.anda mendptkn hadiah dgn No.PIN pemenang;47BL759 U/imfo silahkan kunjungi; www.bima3care2016.jimdo.com,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04469,rehearsal,DRINGEND! Deine Mobilnummer wurde mit einem garantierten Preis von £2000 ausgezeichnet. Rufe 09058094455 von einer Festnetzleitung aus an. Nenne den Code 3030. Nur 12 Stunden gültig.,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04472,rehearsal,"இது உங்களை தொடர்பு கொள்கிறது என்று 2 வது முயற்சி. நீங்கள் 750 பவுண்ட் பரிசு வெற்றி பெற்றுவிட்டீர்கள். கிளேம் எப்படி உள்ளது என்று கூறவும், 08718726970 எண்ணை இப்போது அழைக்கவும்! ஒன்பது பைசா நேரத்திற்கு. பி.டி-தேசிய விகித",spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04474,rehearsal,عزيزي ماثيو، الرجاء الاتصال على الرقم 09063440451 من خط أرضي، إجازتك في فندق 4 نجوم في تينيريفي أو مبلغ نقدي بقيمة 1000 جنيه إسترليني في انتظار جمعهم. تكلفة المكالمة هي 150 بنس في الدقيقة، تطبق الشروط والأحكام. الرجاء إرسال ظرف مخصص مع رمز البريد إلى الصندوق 334، SK38XH.,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04475,rehearsal,"Glückwunsch, Ihre 3Care-Nummer wurde ausgewählt, um einen Bargeldpreis in Höhe von Rp.45 Millionen vom 3Care-Gewinnspielprogramm zu erhalten. PIN: 7711CA88 Weitere Informationen unter: www.tricare2016.jimdo.com",spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04482,rehearsal,аnda рerlu segera mεngirim uang kepada irs di httрs://tinyurl.com/b942,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04508,rehearsal,Sie müssen nun das Geld an das IRS senden unter https://tinyurl.com/8866,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04539,rehearsal,"Это второй раз, когда мы пытаемся связаться с вами. Вы выиграли приз в размере 1450 фунтов стерлингов, чтобы его получить, просто позвоните по номеру 09053750005 до 310303. Условия и положения/для отказа от СМС используйте номер 08718725756. 140 пенсов в минуту.",spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04548,rehearsal,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04558,rehearsal,URGENT This is our 2nd attempt to contact U. Your Â£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04559,rehearsal,"ПОЗДРАВЛЯЕМ, Вы выиграли 1 МАШИНУ FREED от TELKOMSEL, выпуск 2013 года, которая была розыграна вчера вечером в 23:30 на канале RCTI. Информация: 082329676767 H. MULYADI Отправитель: +777",spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04563,rehearsal,நீங்கள் IRS-க்கு உங்கள் பணம் உள்ளது ரீயா இப்போது https://tinyurl.com/9006 உள்ளிடவேண்டும்,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04567,rehearsal,"Сегодня утром я тоже получил смс. PT.TRI.3SimCard ваш Официальный M-получил приз HONDA JAZZ Rs. Пин-код: 477BFG7S, Информация по телефону: 089606490199 ПЕРЕЙТИ: www.pusat-tri.blogspot.com",spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04585,rehearsal,"Sie sind ein Gewinner, Sie wurden speziell ausgewählt, um £1000 Bargeld oder eine £2000 Auszeichnung zu erhalten. Sprechen Sie mit einem Live-Operator, um Ihren Gewinn geltend zu machen, rufen Sie von 9 bis 19 Uhr unter 087147123779 an. Kosten 10 Pence.",spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04619,rehearsal,¡URGENTE! Estamos tratando de contactar con U. El sorteo de hoy muestra que has ganado un premio de £2000 GARANTIZADO. Llama al 09066358361 desde una línea fija. Reclame Y87. Válido solo por 12 horas.,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04621,rehearsal,OFFIZIELLE NACHRICHT Herzlichen Glückwunsch! Ihre Sim-Karte hat einen Preis von Rp.100 Millionen von TRI CARE gewonnen. PIN: 7Y7R8K9Z 089636298565 Weitere Informationen unter: www.bima3care78.blogspot.com,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04638,rehearsal,"449050000301 Вы выиграли приз в размере £2,000! Чтобы получить выигрыш, позвоните по номеру 09050000301.",spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04664,rehearsal,يجب عليك إرسال الأموال لمكتب الضرائب الآن على الرابط: https://tinyurl.com/8855,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04681,rehearsal,Vous devez envoyer de l'argent au service des impôts MAINTENANT sur https://tinyurl.com/9037,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04693,rehearsal,OFFIZIELLE INFORMATIONEN VON PT.TRI CARE PIN Gewinner (8jf2177) Sie haben den PREIS EINER TOYOTA YARIS Einheit gewonnen. Zur Überprüfung des Pins klicken Sie auf: www.tricare2015.blogspot.com.,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04707,rehearsal,"Los números Vodafone de hoy que terminan en 4882 han sido seleccionados para recibir un premio de £350. Si tu número coincide, llama al 09064019014 para recibir tu premio de £350.",spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04714,rehearsal,"Anda telah memenangkan tiket ke FINAL PIALA EURO2004 atau ¬£800 TUNAI, untuk mengambilnya TELEPON 09058099801 b4190604, POBOX 7876150ppm",spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
r04761,rehearsal,Cher monsieur / madame. BNI déclare que votre compte a été sélectionné comme gagnant d'un prix de 35 millions de roupies. votre code de vérification est 03299757 info cliquez sur www.bankbni2016.blogspot.com,spam,spam,,phishing,1.0,phishing,approved 2026-09-17 (bulk suggestion)
