text,label,category
Canada Post: we missed you Saturday. Reschedule delivery (€5.00) at https://tinyurl.com/u22702/id,phishing,delivery_fee
Home Depot Order Confirmation: a phone case - ₹797.78. Delivery Thursday. To cancel or report unauthorized use call 07 81 79 22 87.,phishing,fake_order_callback
"Hi, is this Ahmed? It's Emma from the PTA, Olivia gave me your number about Wednesday.",ham,friend_wrong_number
"Hi I sent a verification code to your number by accident, can you read it to me? Sorry!! please",phishing,code_relay
USPS: your parcel could not be delivered. Pay €3.20 handling fee within 2 days: https://is.gd/g36867,phishing,delivery_fee
PostNL: parcel H342382 has been collected from the sender and is on its way.,ham,real_delivery_notice
Netflix receipt: R$732.70 for your student plan. Thank you!,ham,real_subscription_notice
"Part-time job offer from TikTok: complete surveys for $787 per task, paid to your bank daily. Telegram @jobs606",phishing,job_scam
"Hallo, hier ist Zoe von Shein Recruiting. Sie wurden für eine Homeoffice-Stelle ausgewählt, R$125.59 pro Tag. Melden Sie sich per WhatsApp 07 86 11 77 71.",phishing,job_scam_i18n
DMV notice: a filing error of $39 found on your record. Pay by Tuesday at pay58.click or face prosecution.,phishing,gov_callback
Receipt: Nintendo Switch £690.51 via Jumia. Ref #51614345. Questions or cancellation: +1 791 997 8602 (24/7).,phishing,fake_order_callback
Job alert: remote assistant roles from £62/hr. Set up alerts at linkedin.com. Opt out anytime.,spam,real_job_ad
"Heyy hey it's Lucy, my account sent the code to your number, can you screenshot it? x",phishing,code_relay
Pizza Pronto is now open on Main St! Show this text for a free dessert with any entree.,spam,generic_ads
"Bonjour, Lucía du service RH de Temu. Votre profil a été retenu pour un poste à domicile, £633/jour. Contactez-moi sur WhatsApp 07 70 34 83 98.",phishing,job_scam_i18n
Chronopost notice: package #112-7758647-6323636 returns to sender unless address is confirmed: chronopost-dallas.cc,phishing,delivery_fee
"Yo can you send me the wifi password again, my phone forgot it x",ham,friend_favor
"Félicitations ! Vous avez gagné €250,000 au tirage national. Confirmez vos coordonnées : http://prix26.biz/secure",phishing,prize_win_i18n
"You've been chosen for a €1,861 refund from Nubank. Enter your card to receive it: http://my-refund.info/secure",phishing,prize_win
Target members: double points on everything this Friday. Show the app at checkout. STOP to opt out.,spam,giftcard_promo
Venmo: 380-250 is your one-time passcode. Do not share it. We will never call to ask for it.,ham,real_codes
Hi there Mum it's me Can you message me on WhatsApp on this number? pls,phishing,new_number_family
Your Spotify subscription renewed for AED 73. To cancel and get a refund call (446) 614-3524 within 24h.,phishing,fake_subscription_charge
Unlock 21k followers overnight! Grow your Instagram fast: instaboost.io,spam,generic_ads
"Hola Abuelo, se me rompió el móvil y este es mi nuevo número. ¿Puedes pasarme ₹2,008 hoy? Mañana te lo devuelvo.",phishing,new_number_family_i18n
"Namaste, main Ben Netflix HR se. Aap part-time online job ke liye select hue hain, $47/day. WhatsApp karein +34 673 643 659.",phishing,job_scam_i18n
Weather alert: severe thunderstorm warning for Berlin until 1pm. Avoid low-lying roads.,ham,real_hr_and_appointments
On se voit samedi ? Kenji vient aussi,ham,chat_i18n
"Correios: sorry we missed you. Your parcel is at the Sydney depot, collect it with photo ID or rebook in the Correios app.",ham,real_delivery_notice
"Hi, this is Wei from the garage. Is this still the best number for appointment reminders?",ham,friend_wrong_number
"Coucou Papa, c'est moi, j'ai cassé mon téléphone. J ai besoin d aide pour payer une facture urgente.",phishing,new_number_family_i18n
"Hey a code should have come to your phone, I typed your number instead of mine. What is it? xx",phishing,code_relay
"Debt consolidation from 7.9% APR, decision in minutes. Apply: loanhub.co.uk",spam,generic_ads
"Bin in 20 Minuten da, die Bahn hatte Verspätung",ham,chat_i18n
"Hi, ek 6 digit code aaya kya? Galti se tumhara number daal diya, please bhej do.",phishing,code_relay_i18n
Unclaimed prize! You were selected for a Ring doorbell from Walmart. Reply YES with your address to receive it.,phishing,prize_win
"Part-time job offer from Tesla: review hotels for €679 per task, paid to your bank instantly. WhatsApp me on (627) 267-9258",phishing,job_scam
"Correos: sorry we missed you. Your parcel is at the Dubai depot, collect it with photo ID or rebook in the Correos app.",ham,real_delivery_notice
"YouTube Premium receipt: $1,130 charged Tuesday. If you did not authorize this, cancel at http://cancel-claim.click/update",phishing,fake_subscription_charge
"Hey hey it's Olga, my account sent the code to your number, can you screenshot it? thanks",phishing,code_relay
Your Enel bill of £712 is due on tonight. Pay in the Enel app or at enel.com. Thank you.,ham,real_telco_util_notice
Heyy what time does the ceremony start Sunday?,ham,friend_favor
"Hello? happy birthday!!! hope you have an amazing day, drinks on me this weekend ok?",ham,friend_favor
Unclaimed prize! You were selected for a a phone case from Target. Reply YES with your address to receive it.,phishing,prize_win
Ramen Republic is now open on High Street! Show this text for a free appetizer with any entree.,spam,generic_ads
eBay: PlayStation 5 is out for delivery today. Someone should be available to sign.,ham,real_order_notice
"Bet R$42 get £406 in free bets at PlayMax. 18+, T&Cs apply, new customers only.",spam,generic_ads
Your Google One subscription renewed for R$70. To cancel and get a refund call +44 7853 837096 within 24h.,phishing,fake_subscription_charge
"Hey!!, long time no talk! How have you been? Not sure if this is still you.",phishing,wrong_number_opener
PlayStation Plus: payment of R$803.51 failed. Update your billing within 2 days or lose access: http://payment-claim.buzz,phishing,fake_subscription_charge
"iCloud receipt: €55 charged Tuesday. If you did not authorize this, cancel at https://cutt.ly/a26936/update",phishing,fake_subscription_charge
Your HBO Max subscription renewed for R$513.99. To cancel and get a refund call 06 98 48 52 85 within 24h.,phishing,fake_subscription_charge
Job alert: product reviewer roles from ₹789.70/hr. Set up alerts at linkedin.com. Opt out anytime.,spam,real_job_ad
"Glückwunsch! Sie wurden für einen £1,500 Aldi Gutschein ausgewählt. Jetzt einlösen: gewinn18.cc",phishing,prize_win_i18n
CAF: Your Social Security number has been flagged. Call +44 7777 408555 to avoid arrest.,phishing,gov_callback
Netflix receipt: $457.45 for your monthly plan. Thank you!,ham,real_subscription_notice
"Namaste, main Léa IKEA HR se. Aap part-time online job ke liye select hue hain, €15/day. WhatsApp karein +34 690 875 519.",phishing,job_scam_i18n
"Didi ye mera naya number hai, purana phone chori ho gaya. Urgent bill bharna hai, bank app nahi khul raha.",phishing,new_number_family_i18n
"a local warehouse is hiring seasonal staff. Open interviews this weekend 8:30pm-6pm, bring ID. Text STOP to end.",spam,real_job_ad
Walmart Order Confirmation: GoPro Hero 13 - €545.41. Delivery Friday. To cancel or report unauthorized use call 07 80 13 32 19.,phishing,fake_order_callback
"Grandpa it's me, Please reply here so I know you got this. Something's come up, are you free to help with a payment? ❤️",phishing,new_number_family
"Promo Orange : forfait 150Go à 12,99€/mois pendant 12 mois ! Souscrivez sur sfr-promo.fr",spam,ads_i18n
"Tesco: get a €2,551 gift card when you spend £879 today only. In store and online. Terms apply. Reply STOP to opt out.",spam,giftcard_promo
"Shein is hiring seasonal staff. Open interviews Friday 8:30pm-8:30pm, bring ID. Text STOP to end.",spam,real_job_ad
RBC: your statement is ready. View it in the RBC app or online banking.,ham,real_bank_notice
QNB: your account ending 7982 has a low balance of $754.61. This is the alert you set up.,ham,real_bank_notice
Chronopost notice: package #57922759 returns to sender unless address is confirmed: http://confirm-miami.click,phishing,delivery_fee
Unlock 27k followers overnight! Grow your Instagram fast: followerpro.pro,spam,generic_ads
Shell Loyalty: you have won €500! Claim your prize at claim16.top/login,phishing,prize_win
"Mom, this is my new number. Text me back on here. I need to sort out my rent before 5pm but my banking app is locked on the old phone, can you help? 🙏",phishing,new_number_family
Etisalat: a failed payment detected. Secure your account immediately: https://bit.ly/y66718,phishing,account_problem_link
"Grandpa it's me, This is my temporary number until I get the new phone. Something's come up, are you free to help with a payment? pls",phishing,new_number_family
Amazon Logistics notice: package #92866419 returns to sender unless address is confirmed: confirm-london.vip,phishing,delivery_fee
Vote Liam Omar for School Board on Friday! Better schools. Paid for by the campaign.,spam,generic_ads
"Félicitations ! Vous avez gagné £10,000 au tirage mobile. Confirmez vos coordonnées : https://t.co/n60055",phishing,prize_win_i18n
"Telstra: your bill of R$4,013 is now available. View or pay at the Telstra app. Autopay will process on 25/6.",ham,real_telco_util_notice
Amazon Logistics: parcel #233-3990828-5924595 has been collected from the sender and is on its way.,ham,real_delivery_notice
Uncle I my phone got stolen xx,phishing,new_number_family
Meesho Big Sale! Up to 42% off on electronics. Shop now ajio.com. Reply STOP to opt out.,spam,ads_i18n
"Chase will never ask for your PIN, password or full card number by text or phone. If in doubt, call the number on the back of your card.",ham,real_bank_notice
Hi there what's the code for the garage? I forgot it again ttyl,ham,friend_favor
"Hi, is this Omar? It's Sarah from the landlord, Neha gave me your number about Sunday.",ham,friend_wrong_number
"Grandpa it's me, Please reply here so I know you got this. I can't get into my bank, can you pay something for me quickly? 😊",phishing,new_number_family
"Olá, sou Emma do RH da Deloitte. Você foi selecionado para uma vaga home office, $426 por dia. Me chama no WhatsApp +44 7379 749350.",phishing,job_scam_i18n
"Hello a code should have come to your phone, I typed your number instead of mine. What is it? thanks",phishing,code_relay
"Nan it's me, Please reply here so I know you got this. I can't get into my bank, can you pay something for me quickly? 🙏",phishing,new_number_family
"Receipt: Ring doorbell £2,478 via Amazon. Ref A471736. Questions or cancellation: +34 683 948 314 (24/7).",phishing,fake_order_callback
Unclaimed prize! You were selected for a Ring doorbell from Amazon. Reply YES with your address to receive it.,phishing,prize_win
"Olá, sou Emma do RH da Zara. Você foi selecionado para uma vaga home office, €76 por dia. Me chama no WhatsApp +91 87783 60790.",phishing,job_scam_i18n
"Part-time job offer from Walmart: like videos for AED 4,646 per task, paid to your bank instantly. WhatsApp 1-873-858-1415",phishing,job_scam
"Google is hiring! Earn AED 98-£442.26 daily rate products. No experience, paid daily. Ages 22+. WhatsApp +34 618 557 289",phishing,job_scam
"Hi there, long time no talk! How have you been? Sorry if wrong number!",phishing,wrong_number_opener
"PlayStation Plus receipt: £283.74 charged Wednesday. If you did not authorize this, cancel at refund81.online/secure",phishing,fake_subscription_charge
عرض خاص! خصم 20% على جميع الملابس في متجر الرياض مول هذا الأسبوع فقط. تسوق الآن yasmin-shop.com,spam,ads_i18n
"Hi Camille, Rahul here from the removal company, confirming your viewing this weekend at 1pm.",ham,friend_wrong_number
"Hola Papá, se me rompió el móvil y este es mi nuevo número. Guárdalo y escríbeme por WhatsApp.",phishing,new_number_family_i18n
"Emma (Temu Hiring Team): we saw your CV on Glassdoor. Online position, 1-2 hrs a day, $39/day. Interested? text +34 640 151 897",phishing,job_scam
"YouTube Premium receipt: €2,479 for your student plan. Thank you!",ham,real_subscription_notice
Movistar Security: enter your 2FA code at auth-dubai.top/secure to confirm the pending withdrawal of ₹632.15.,phishing,account_problem_link
FedEx notice: package #446-6714954-5639163 returns to sender unless address is confirmed: confirm-jakarta.club,phishing,delivery_fee
Social Security Administration: Your National Insurance number has been suspended. Call 06 39 37 20 62 immediately.,phishing,gov_callback
"Now hiring: call center agents at our client, AED 2,850/hr. Apply at our careers page. Reply STOP to opt out.",spam,real_job_ad
"Your Walmart return for Samsung 65"" TV was received. Refund of £21 will appear on your card in 3-5 business days.",ham,real_order_notice
"Hey!! it's Kenji, got a new number, save it! Old one stops working Tuesday.",ham,friend_new_number
"Bhaiya ye mera naya number hai, purana phone chori ho gaya. Urgent bill bharna hai, bank app nahi khul raha.",phishing,new_number_family_i18n
عرض خاص! خصم 51% على جميع الأحذية في متجر نون هذا الأسبوع فقط. تسوق الآن riyadhmall.com,spam,ads_i18n
PostNL: we missed you Saturday. Reschedule delivery (€1.49) at https://tinyurl.com/q93736/verify,phishing,delivery_fee
"Namaste, main Kenji Marriott HR se. Aap part-time online job ke liye select hue hain, $83/day. WhatsApp karein 1-889-749-6910.",phishing,job_scam_i18n
"Your prescription is ready for pickup at Boots, 1325 Main St. Open 2:15pm-8:30pm.",ham,real_hr_and_appointments
"Sarah it's Sarah, I got your number from Yuki. Are you free to chat this weekend?",phishing,wrong_number_opener
Yodel: we missed you today. Reschedule delivery (£1.49) at http://yodel-dallas.click,phishing,delivery_fee
Monzo: suspicious activity detected. Secure your account within 24h: http://monzo-paris.site,phishing,account_problem_link
"Lena (Marriott Talent Acquisition): we saw your CV on Glassdoor. Online position, 1-2 hrs a day, R$151.91/day. Interested? WhatsApp me on 1-889-497-8647",phishing,job_scam
Heyy can you send me the code you just received? my phone is acting up. 😊,phishing,code_relay
"Thank you for your Jumia purchase of GoPro Hero 13, total £952.69. Card ending 3380 charged. Not you? Call our fraud line +971 58 122 2431.",phishing,fake_order_callback
Nubank Security: enter your 2FA code at http://auth49.vip/id to confirm the pending transfer of AED 511.07.,phishing,account_problem_link
"Hey!! Mama, it's Carlos, this is my work phone number in case you can't reach the other one. Everything's fine!",ham,friend_new_number
"Hello? a code should have come to your phone, it sent the code to your phone somehow. What is it? ttyl",phishing,code_relay
"Hi Rahul, this is Layla from Deloitte recruiting. Your interview is confirmed for Friday at 2:15pm. Reply if you need to reschedule.",ham,real_hr_and_appointments
"Solar panels with $0 down, cut your bill by 69%. Free quote: gosolar.com",spam,generic_ads
"Félicitations ! Vous avez gagné €1,000 au tirage mobile. Confirmez vos coordonnées : https://t.co/d2569/login",phishing,prize_win_i18n
Reminder: your appointment with Dr. Ava is this weekend at 8:30pm. Reply C to confirm or R to reschedule.,ham,real_hr_and_appointments
Your Medicare card must be replaced with a new secure card. Confirm your number here to keep coverage: http://card-madrid.site,phishing,gov_callback
"Kal 6pm baje milte hain, station pe aa jana",ham,chat_i18n
"Your Airbnb host Ahmed sent you a message: check-in is after 6pm, the lockbox code is in the app.",ham,real_hr_and_appointments
Canada Post: your parcel could not be delivered. Pay €2.99 redelivery fee within 2 days: https://tinyurl.com/m28519,phishing,delivery_fee
"Oi Mãe, sou eu, quebrei o celular, esse é meu número novo. Salva aí e me chama no WhatsApp.",phishing,new_number_family_i18n
QNB: your statement is ready. View it in the QNB app or online banking.,ham,real_bank_notice
"Extended car warranty: your coverage may be expiring. Protect your vehicle from repair bills, call +44 7196 782653 for a quote.",spam,generic_ads
Hermes: we delivered your parcel to your front porch.,ham,real_delivery_notice
"Extended car warranty: your coverage may be expiring. Protect your vehicle from repair bills, call (693) 985-5855 for a quote.",spam,generic_ads
"Hi Bro, it's me. Save this number and delete the old one.",phishing,new_number_family
"Olá, sou Mia do RH da Shein. Você foi selecionado para uma vaga home office, £579.29 por dia. Me chama no WhatsApp +91 83556 52504.",phishing,job_scam_i18n
"Hiya Rahul, did you get the package I sent? Sorry to bother you.",phishing,wrong_number_opener
"Deloitte is hiring! Earn $946-AED 786.05 daily share posts. No experience, instant withdrawal. Ages 22+. wa.me/18695254790",phishing,job_scam
"Hi Dr. Natasha, this is Beatriz. Can we move my appointment to Saturday? Apologies if I have the wrong number.",phishing,wrong_number_opener
"Best Buy Rewards: you have won $50,000! Verify your address at e-claim.biz",phishing,prize_win
"New number alert, this is Rahul :) same WhatsApp, just a new sim. See you tomorrow!",ham,friend_new_number
"Oi Vô, sou eu, quebrei o celular, esse é meu número novo. Consegue me mandar um Pix de $3,812 hoje? Amanhã devolvo.",phishing,new_number_family_i18n
BBVA Security: enter your 2FA code at https://bit.ly/y43263 to confirm the pending withdrawal of €925.,phishing,account_problem_link
Jetzt $861 Bonus sichern! Online Casino mit über 1651 Spielen. jackpotzone.de,spam,ads_i18n
Correos notice: package #420-9980978-4201543 returns to sender unless address is confirmed: confirm-verify.club,phishing,delivery_fee
DMV: Your tax file has been linked to fraud. Call +1 628 293 1725 immediately.,phishing,gov_callback
"Heyy hey it's Arjun, my account sent the code to your number, can you screenshot it?",phishing,code_relay
"Your Netflix subscription renewed for AED 4,282. To cancel and get a refund call (726) 512-4166 within 24h.",phishing,fake_subscription_charge
Bpost: your parcel #2386-33807 will be delivered Wednesday between 1pm and 3pm. No action needed.,ham,real_delivery_notice
DPD: your parcel #6935-59724 will be delivered today between 8:30pm and 8am. No action needed.,ham,real_delivery_notice
"Coucou Mamie, c'est moi, j'ai changé de numéro. Écris-moi sur WhatsApp à ce numéro.",phishing,new_number_family_i18n
"Now hiring: call center agents at Walmart, $22.02/hr. Apply at indeed.com. Reply STOP to opt out.",spam,real_job_ad
Dein Wells Fargo Bestätigungscode lautet 4133.,ham,real_codes
"Hello landed safely, will call you when I get to the hotel 🙏",ham,friend_favor
Noon Order Confirmation: Bose headphones - R$67. Delivery this weekend. To cancel or report unauthorized use call 07 24 27 35 99.,phishing,fake_order_callback
ConEd: your meter reading is due. Submit it in the app by this weekend to avoid an estimated bill.,ham,real_telco_util_notice
Chase Alert: your account will be locked in 24 hours. Update your details at chase21.club/update,phishing,account_problem_link
"Aldi: get a $1,719 gift card when you spend €46 today only. In store and online. Terms apply. Reply STOP to opt out.",spam,giftcard_promo
Hiya do you still have the book I left at yours? ❤️,ham,friend_favor
"Papa it's your youngest, new number Save this number and delete the old one. I need to cover a payment that bounced but my banking app is locked on the old phone, can you help? ttyl",phishing,new_number_family
Your table for 5 at The Ivy is confirmed for today 4:45pm. Reply CANCEL to cancel.,ham,real_hr_and_appointments
"Selected candidate: Google needs 10 people to test apps, €24/day. Start today, WhatsApp 1-855-374-3920.",phishing,job_scam
Tu código de verificación de Amazon es 6112. No lo compartas.,ham,real_codes
"Use 815 418 to sign in to Instagram. If you didn't request this, ignore this message.",ham,real_codes
Tu código de verificación de BCA es 752-776. No lo compartas.,ham,real_codes
"Hola, ¿a qué hora llegas mañana? Te espero en casa.",ham,chat_i18n
"Selected candidate: Google needs 50 people to follow accounts, $324/day. Start today, reply YES.",phishing,job_scam
DPD notice: package #90713156 returns to sender unless address is confirmed: http://dpd-jakarta.vip,phishing,delivery_fee
"Nani ye mera naya number hai, purana phone toot gaya. Isko save kar lo aur WhatsApp pe msg karo.",phishing,new_number_family_i18n
On se voit demain ? Yuki vient aussi,ham,chat_i18n
Movistar Security: enter your 2FA code at http://my-movistar.click/update to confirm the pending withdrawal of $856.,phishing,account_problem_link
"Hello it's Ana, got a new number, save it! Old one stops working Wednesday.",ham,friend_new_number
Hello can you pick up milk on your way home? ok?,ham,friend_favor
"Canva: your payment of ₹4,779 was processed. Next billing date today. Manage your plan in Account settings.",ham,real_subscription_notice
Looking for a new job? Browse 7481 hospitality openings near you on Totaljobs. Unsubscribe: reply STOP,spam,real_job_ad
Telstra: planned maintenance in your area Tuesday 3pm-6pm. You may lose signal briefly. Sorry for the inconvenience.,ham,real_telco_util_notice
Your iCloud subscription renewed for £359.96. To cancel and get a refund call +91 72936 63911 within 24h.,phishing,fake_subscription_charge
Spotify receipt: R$185 for your annual plan. Thank you!,ham,real_subscription_notice
"Hola, soy Layla de RRHH de Google. Has sido seleccionado para un trabajo remoto, AED 58 al día. Escríbeme por WhatsApp +34 611 823 978.",phishing,job_scam_i18n
"Hallo, hier ist Liam von Costco Recruiting. Sie wurden für eine Homeoffice-Stelle ausgewählt, $2,016 pro Tag. Melden Sie sich per WhatsApp 07 49 66 91 37.",phishing,job_scam_i18n
وين انتو؟ أنا وصلت المطعم,ham,chat_i18n
Amazon Logistics: parcel #71371069 has been collected from the sender and is on its way.,ham,real_delivery_notice
"Uncle I my number got cut off Text me back on here. Can you lend me $3,038 today? I'll pay you back Monday. love you",phishing,new_number_family
FLASH SALE 66% off at FashionNova this week only. Shop now: fnova.co/sale,spam,generic_ads
"Hey!! Papa, it's me. Text me back on here. Can you lend me $263 today? I'll pay you back tonight. please",phishing,new_number_family
Costco Order Confirmation: Bose headphones - ₹834.74. Delivery Friday. To cancel or report unauthorized use call 06 46 94 48 42.,phishing,fake_order_callback
"Hey!! can you transfer me the €2,345 for the gift when you get a sec? sorted it with Layla already thank you!",ham,friend_favor
National Grid: your meter reading is due. Submit it in the app by today to avoid an estimated bill.,ham,real_telco_util_notice
Santander: a payment of £335 to Arjun Pedro was sent from your account. Ref #408-7690043-2890440.,ham,real_bank_notice
TIM: your recharge of $616.48 was successful. Validity 65 days.,ham,real_telco_util_notice
PostNL notice: package #784-4277731-7884049 returns to sender unless address is confirmed: http://postnl-lisbon.info,phishing,delivery_fee
"Hello? landed safely, will call you when I get to the hotel 😊",ham,friend_favor
"Google One: a new device signed in to your account from Mumbai. If this wasn't you, change your password in the Google One app.",ham,real_subscription_notice
Nubank Alert: your account will be closed in 24 hours. Update your details at nubank-chicago.online/claim,phishing,account_problem_link
"Hallo Opa, ich bin's, mein Handy ist ins Wasser gefallen. Das ist meine neue Nummer. Kannst du mir schnell $47 überweisen? Ich kann nicht in mein Banking.",phishing,new_number_family_i18n
"Commerzbank: your card was used abroad in Lagos for $397. If you don't recognise this, call the number on your card.",ham,real_bank_notice
"Selected candidate: Walmart needs 12 people to watch ads, $451/day. Start today, text 07 37 30 61 31.",phishing,job_scam
"Your reward points of £1,840 expire Friday! Redeem now: https://tinyurl.com/c18346/confirm",phishing,prize_win
Refinance your mortgage at 3.4% APR! Lock your rate today at ratelock.us,spam,generic_ads
"Is this Yuki? It's Lena, we met at the conference last month.",phishing,wrong_number_opener
Your Google One free trial ends Thursday. You'll be charged $99/month unless you cancel in the app.,ham,real_subscription_notice
"Apple Loyalty: you have won $250,000! Verify your address at reward-mumbai.info",phishing,prize_win
"Extended car warranty: your coverage may be expiring. Protect your vehicle from repair bills, call +91 99236 90256 for a quote.",spam,generic_ads
School: early pickup on tonight. See the newsletter for details.,ham,real_hr_and_appointments
PostNL: your driver Natasha is 9 stops away.,ham,real_delivery_notice
Delta: flight AA3725 to Madrid now departs from gate C8. Boarding at 8am.,ham,real_hr_and_appointments
"Hi Dmitri, Lucía here from the letting agency, confirming your viewing this weekend at 1pm.",ham,friend_wrong_number
Canada Post: we delivered your parcel to a neighbour at No. 60.,ham,real_delivery_notice
Your health card card must be replaced with a new chip card. Confirm your number here to keep coverage: medicare-pay.top/update,phishing,gov_callback
SFR: your bill of AED 83 is now available. View or pay at sfr.com. Autopay will process on 3/12.,ham,real_telco_util_notice
¡Gana dinero desde casa! Hasta £898.66 al mes sin experiencia. Regístrate: trabajofacil.es,spam,ads_i18n
"Hallo, hier ist Liam von Deloitte Recruiting. Sie wurden für eine Homeoffice-Stelle ausgewählt, £36 pro Tag. Melden Sie sich per WhatsApp +91 87262 58138.",phishing,job_scam_i18n
"Uncle it's me, Can you send me your card details so I can order a replacement phone? asap",phishing,new_number_family
"Hi, this is Lucy from the dentist. Is this still the best number for appointment reminders?",ham,friend_wrong_number
"Solar panels with $0 down, cut your bill by 48%. Free quote: sunpower-deals.com",spam,generic_ads
Canada Post notice: package D417122 returns to sender unless address is confirmed: http://canada-sydney.win/verify,phishing,delivery_fee
Job alert: package handler roles from $934.81/hr. Set up alerts at indeed.com. Opt out anytime.,spam,real_job_ad
"Sorry, wrong number!",ham,friend_wrong_number
"Hola, ¿te llegó un código de 6 dígitos? Puse tu número por error, ¿me lo pasas?",phishing,code_relay_i18n
"Hi, this is Ivan from Dr. Wei's office. Is this still the best number for appointment reminders?",ham,friend_wrong_number
"Badhai ho! Aapko €850,000 ka Starbucks gift card mila hai. Abhi claim karein: gift-pay.click/confirm",phishing,prize_win_i18n
"Beatriz here, new phone same number, lost all my contacts though. Who's this? 😅",ham,friend_new_number
"Hi there a code should have come to your phone, I typed your number instead of mine. What is it?",phishing,code_relay
"Hi, can you send me the wifi password again, my phone forgot it",ham,friend_favor
"Badhai ho! Aapko €1,000 ka Apple gift card mila hai. Abhi claim karein: https://is.gd/a35179",phishing,prize_win_i18n
PlayStation Plus: your payment of ₹70 was processed. Next billing date tomorrow. Manage your plan in Account settings.,ham,real_subscription_notice
