text,label,corpus_label,source,confidence,p_ham,p_spam,p_phishing,p_no_message
Paquete retenido en la terminal: http://ffnst.com/7DH789,phishing,phishing,corpus,0.87,0.09,0.0,0.91,0.0
Paket di Terminal ditahan: http://ffnst.com/7DH696,phishing,phishing,corpus,0.76,0.18,0.0,0.82,0.0
Prize winner! Claim your $2652 gift card at tinyurl.com/abc,phishing,phishing,corpus,1.0,0.0,0.0,1.0,0.0
Jangan pernah mencoba untuk memikul beban air mata yang keluar dari hatimu dan jatuh melalui matamu... Selalu ingat bahwa seorang TEMAN BODOH selalu ada di sini untuk berbagi... BSLVYL,ham,ham,corpus,0.99,1.0,0.0,0.0,0.0
Bank of America: Suspicious charge of $2939. Review at goo.gl/xyz,phishing,phishing,corpus,0.94,0.04,0.0,0.96,0.0
أرسل رقمه وأعطني الرد غدًا في الصباح عن سبب قولك ذلك له بهذه الطريقة، حسناً؟,ham,ham,corpus,0.93,0.95,0.0,0.05,0.0
لا تنظر إلى البناية لأنك لا تملك معطفًا ولا أريدك أن تصبح أكثر مرضًا. فقط اسرع إلى المنزل وارتدي معطفًا ثم اذهب إلى النادي الرياضي!!!,ham,ham,corpus,0.93,0.95,0.04,0.01,0.0
Oke lah. Tapi aku rasa kita nggak bisa dapat tiket sekarang karena sudah agak terlambat. Kamu mau pergi cari temanmu atau tidak? Darren sudah bersama mereka sekarang...,ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
நீங்கள் இப்போது கிடைக்கின்றீர்களா? நான் இருந்தும் மடியில் உள்ளேன் ஹில்ஸ்பிரோ & பிளஸ் # து,ham,ham,corpus,0.7,0.9167,0.0595,0.0238,0.16
"Ok, ich bin auf dem Weg nach Hause hi hi",ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
Devi inviare denaro all'IRS ADESSO su https://tinyurl.com/8926,phishing,spam,corpus,1.0,0.0,0.0,1.0,0.0
"ВЫ ИДЕТЕ В БАГАМЫ! Позвоните по бесплатному телефону 08081560665 и поговорите с оператором, чтобы получить либо круиз на Багамы, либо £2000 наличными только для лиц старше 18 лет. Чтобы отказаться, отправьте текст X на 07786200117",phishing,spam,corpus,0.8,0.0,0.15,0.85,0.0
දැන් මුදල් යොමු කරන්න http//bit.ly/2473,phishing,phishing,corpus,0.99,0.0,0.01,0.99,0.0
Saya di rumah sakit. Saya akan pulang ke rumah sore nanti.,ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
بلومبرغ - مركز الرسائل +447797706009 لماذا تنتظر؟ قدّم طلب لمستقبلك http://careers.bloomberg.com,spam,spam,corpus,0.84,0.03,0.88,0.09,0.0
Ich kenne dich nicht und du kennst mich nicht. Sende jetzt CHAT an 86688 und lass uns uns finden! Nur 150p/Nachricht empfangen. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 Jahre oder älter.,spam,spam,corpus,0.95,0.0,0.97,0.03,0.0
أرسل الأموال الآن http//bit.ly/1630,phishing,phishing,corpus,0.98,0.0,0.01,0.99,0.0
"ඔබගේ මුදල්-ශීඝ් දැක්ක වලින් 500 රුපියන් සිටිනු බව දණ්ඩ කිරීමට භාවිතා කරන්න. CASH යළුම SMS එකට ක්රියාත්මයක් යොමු කිරීමට 86688 ට යවන්න, එක් පණිවුඩයකට 150 පෙනවන්. ලිපින හා සම්පූර්ණ තොගය: 08708800282 HG/Suite342/2Lands Row/W1J6HL",phishing,spam,corpus,0.89,0.01,0.07,0.92,0.0
"But! Arsenal 4 (Henry, 7 v Liverpool 2 Henry marque avec un tir simple de 6 yards d'une passe de Bergkamp pour donner à Arsenal une avance de 2 buts après 78 minutes.",ham,spam,corpus,0.99,1.0,0.0,0.0,0.01
Oh great. Je vais le déranger encore plus pour que nous puissions discuter.,ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
Confirmation code: 5292. Valid for 10 minutes,ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
"Klar, ich gehe zum Motor? Denn meine Schwester ist heute bei Kunst...",ham,ham,corpus,0.99,1.0,0.0,0.0,0.0
URGENTE! Stiamo cercando di contattarti. L'estrazione di oggi mostra che hai vinto un premio garantito di £800. Chiama il 09050000460 da una linea fissa. Richiedi J89. PO Box245c2150pm,phishing,spam,corpus,1.0,0.0,0.0,1.0,0.0
Отправить деньги сейчас http//bit.ly/2842,phishing,phishing,corpus,0.99,0.0,0.0,1.0,0.0
Work from home: Earn $2988/hour! Start today: goo.gl/xyz,spam,spam,corpus,0.85,0.0,0.89,0.11,0.0
"Да, только что закончил смотреть ""Дни нашей жизни"". Я обожаю это.",ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
Package held at the terminal: http://ffnst.com/7DH468,phishing,phishing,corpus,0.66,0.25,0.0,0.75,0.0
Colis retenu au terminal : http://ffnst.com/7DH1104,phishing,phishing,corpus,0.6,0.3,0.0,0.7,0.0
"Tout a de la valeur uniquement dans deux situations : premièrement, avant de l'obtenir... deuxièmement, après l'avoir perdu...",ham,ham,corpus,0.99,1.0,0.0,0.0,0.01
"Préparez votre jardin pour l'été avec une sélection GRATUITE de bulbes et de graines d'été d'une valeur de 33,50 £ uniquement avec The Scotsman ce samedi. Pour arrêter, allez sur notxt.co.uk",spam,spam,corpus,0.98,0.0,0.99,0.01,0.0
Your payment of $3625 was processed,ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
"Hmm, trop de them malheureusement... Les photos ne sont évidemment pas des hot cakes. C'est un peu amusant tho",ham,ham,corpus,0.99,1.0,0.0,0.0,0.0
அதில் யானை மட்டிய அளவுக்குக்கு உணுக்கி உங்கள் பின்னணியில் சுடுகிடாது!!,ham,ham,corpus,0.63,0.8902,0.0488,0.061,0.18
Prize winner! Claim your $4303 gift card at tinyurl.com/abc,phishing,phishing,corpus,1.0,0.0,0.0,1.0,0.0
Earn $1586 per week working from home!,spam,spam,corpus,0.99,0.0,0.99,0.01,0.0
"Surveillez l'utilisation des subventions pour le carburant et les compensations pour ceux qui y ont droit! Pour les réclamations, tapez BBM (espace) le message. Envoyez au 1708",ham,spam,corpus,0.62,0.72,0.01,0.27,0.0
Package detained at the terminal: http://ffnst.com/7DH814,phishing,phishing,corpus,0.92,0.06,0.0,0.94,0.0
Как там? Ты не хочешь спать?,ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
"Ау, вы должно быть почти мертвы! Ну, Джез придет, чтобы сделать работу, и это займет вечность!",ham,ham,corpus,0.98,0.99,0.0,0.01,0.0
Prize winner! Claim your $3429 gift card at bit.ly/123,phishing,phishing,corpus,1.0,0.0,0.0,1.0,0.0
Envoyer de l'argent maintenant http//bit.ly/1900,phishing,phishing,corpus,0.99,0.0,0.01,0.99,0.0
URGENT: Your prize is waiting! Call 1766,phishing,spam,corpus,1.0,0.0,0.0,1.0,0.0
Invia denaro adesso http//bit.ly/1976,phishing,phishing,corpus,0.99,0.0,0.0,1.0,0.0
WhatsApp: New security code: 6439. Don't share it.,ham,phishing,corpus,0.99,1.0,0.0,0.0,0.0
Exklusives Angebot: Erhalten Sie 50% Rabatt bei Ihrem nächsten Einkauf bei SuperShoes. Besuchen Sie www.supershoes.com/offers. Abmelden unter bit.ly/com37387.,spam,spam,corpus,1.0,0.0,1.0,0.0,0.0
"Лучше поздно, чем никогда, могу я зайти?",ham,ham,corpus,0.99,0.99,0.0,0.01,0.0
"Offiziell von Indosat: Ihre Nummer 0815XXXXXXX wurde als Gewinner des Plus-Plus-Punkte-PINs ausgewählt. Ihr Gewinner-PIN (b89c7h9) für Informationen klicken Sie auf www.semarak-poinplusplus-2013.webs.com"" (Diese Nachricht wurde von der Nummer 085798428715 gesendet).",phishing,spam,corpus,1.0,0.0,0.0,1.0,0.0
Invia denaro adesso http://bit.ly/1634,phishing,phishing,corpus,0.99,0.0,0.01,0.99,0.0
"Hhahhaahahah ரொஃப் என்ன டப்பா, உங்கள் அறுவடையில் லியோனார்டோ இருந்தாரா ஏன் அல்லது ஏன்",ham,ham,corpus,0.97,1.0,0.0,0.0,0.02
WhatsApp: New security code: 8054. Don't share it.,ham,phishing,corpus,0.99,1.0,0.0,0.0,0.0
"SHOPEE: உடன் கணக்கை பதிவு செய்வதற்கு OTP குறியீடு 368480 ஐப் பயன்படுத்தவும். 15 நிமிடங்கள் மட்டுமே காலில் எழுவது. குறியை ஷோபே உடன் யாருக்கும் கொடுக்க வேண்டாம், ஷோபே கூட சேர்க்கையில் கூட. jKPmMcdNAgI",ham,ham,corpus,0.76,0.82,0.0,0.18,0.0
Earn $2675 per week working from home!,spam,spam,corpus,0.99,0.0,1.0,0.0,0.0
Kirim Uang Sekarang http//bit.ly/2406,phishing,phishing,corpus,0.98,0.0,0.01,0.99,0.0
Confirmation code: 6818. Valid for 10 minutes,ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
🎉 CONGRATS! You won $2052 Amazon gift card! Redeem at goo.gl/xyz 🎉,phishing,spam,corpus,1.0,0.0,0.0,1.0,0.0
දැන්ම මුදල් යැවීම http//bit.ly/1148,phishing,phishing,corpus,0.99,0.0,0.0,1.0,0.0
Package held at the terminal: http://ffnst.com/7DH238,phishing,phishing,corpus,0.66,0.25,0.0,0.75,0.0
Debt relief program: Get out of debt fast! Call 3102,spam,spam,corpus,0.87,0.0,0.91,0.09,0.0
"GENTLEMAN! Wir versuchen, Sie zu kontaktieren. Das Ergebnis der letzten Wochenendziehung zeigt, dass Sie einen garantierten Preis von £1000 gewonnen haben. Rufen Sie 09064012160 an. Anspruchscode K52. Nur 12 Stunden gültig. 150 Cent pro Minute.",phishing,spam,corpus,1.0,0.0,0.0,1.0,0.0
"Ya, beri saya telepon jika Anda punya waktu sebentar.",ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
"Diese Nachricht betrifft Ihre Bestellung für mobilen Inhalt. Sie wurde erneut gesendet, da der vorherige Versuch aufgrund eines Netzwerkfehlers fehlgeschlagen ist. Anfragen können an customersqueries@netvision.uk.com gerichtet werden.",ham,spam,corpus,0.98,0.99,0.0,0.01,0.0
"Kesempatan LANGKA! Cuma buat kamu saja loh, Dapatkan 1 GB Cuma dengan RP 5000. Balas SMS ini dengan ketik Y10 s.d 15 November. Bonus berlaku 3 hari/ TL050D",spam,spam,corpus,0.86,0.0,0.9,0.1,0.0
تحتاج إلى إرسال الأموال إلى السلطة الضريبية الآن على الرابط التالي: https://tinyurl.com/9028,phishing,spam,corpus,1.0,0.0,0.0,1.0,0.0
"இதை நம்ப கடினம். அனைத்தும் பொய் சொன்னாலும், எனக்கு ஏதேனும் சொல்லுவதற்கு முன்னோராகச் சிந்திக்கவும்.",ham,ham,corpus,0.96,0.9798,0.0,0.0202,0.01
Kirim Uang Sekarang http//bit.ly/2277,phishing,phishing,corpus,0.98,0.0,0.01,0.99,0.0
Отправить деньги сейчас http//bit.ly/1195,phishing,phishing,corpus,0.99,0.0,0.0,1.0,0.0
මම වෙනස් කරන්නේ දැයි දුරකථනය තෝරා ගන්නේ නැත. කරුණාකර පණිවිඩයක් යවන්න.,ham,ham,corpus,0.73,0.8421,0.0,0.1579,0.05
تعارف: لقد حدث معي اثنان من هذه الظواهر. بدأت بعدما أرسلت نصًا إلى راديو توك سبورت الأسبوع الماضي. هل تعتقد أن هناك صلة أم مجرد صدفة؟,ham,spam,corpus,0.99,0.99,0.0,0.01,0.0
Vous devez envoyer de l'argent à l'IRS MAINTENANT sur https://tinyurl.com/8897,phishing,spam,corpus,1.0,0.0,0.0,1.0,0.0
සියන්... සුඵූරෝ ඇයට දැන් වැඩට පැන්වතෙන් සිටිනවා... ඔබ සේවයට සැරසෙලාවක්ද?,ham,ham,corpus,0.64,0.7374,0.0606,0.202,0.01
Посылка удерживается в терминале: http://ffnst.com/7DH499,phishing,phishing,corpus,0.89,0.08,0.0,0.92,0.0
Qualsiasi cosa lor. Siamo solo noi due lor.,ham,ham,corpus,0.78,1.0,0.0,0.0,0.17
Apo tous les autres ne sont que des joueurs de mokka,ham,ham,corpus,0.88,0.9479,0.0521,0.0,0.04
WhatsApp: New security code: 2877. Don't share it.,ham,phishing,corpus,0.99,1.0,0.0,0.0,0.0
Je vais bien. Ça va bientôt passer. Bonne chance,ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
Sende jetzt Geld http//bit.ly/1527,phishing,phishing,corpus,1.0,0.0,0.0,1.0,0.0
1 கோவையில். 2 சென்னையில்.,ham,ham,corpus,0.75,0.9878,0.0122,0.0,0.18
Le colis est retenu au terminal: http://ffnst.com/7DH418,phishing,phishing,corpus,0.88,0.09,0.0,0.91,0.0
أرسل المال الآن http//bit.ly/1272,phishing,phishing,corpus,0.99,0.0,0.0,1.0,0.0
Ваш проверочный код для входа в Binance: 529345. Не делятесь этим кодом с кем-либо. Посетите свой аккаунт Binance сейчас.,ham,ham,corpus,0.88,0.91,0.0,0.09,0.0
Your order #1871 has been shipped.,ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
Non ha un compleanno? Wkwk,ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
🎉 CONGRATS! You won $3724 Amazon gift card! Redeem at bit.ly/123 🎉,phishing,spam,corpus,1.0,0.0,0.0,1.0,0.0
"Простите, только объявление предложения кредита наличными без залога KTA 5млн до 200млн с личным документом и кредитной картой, Фиксированная процентная ставка, сохраните это сообщение или свяжитесь. 085717559229; 02199001886.",spam,spam,corpus,0.99,0.0,0.99,0.01,0.0
WhatsApp: New security code: 2345. Don't share it.,ham,phishing,corpus,0.99,1.0,0.0,0.0,0.0
Enviar dinero ahora http//bit.ly/1137,phishing,phishing,corpus,0.99,0.0,0.01,0.99,0.0
Exclusive Offer: Get 50% off on your next purchase at SuperShoes. Visit www.supershoes.com/offers. Unsubscribe at bit.ly/com37395,spam,spam,corpus,1.0,0.0,1.0,0.0,0.0
Ada ribuan gadis lokal yang masih perawan dan siap memenuhi setiap kebutuhan seksualmu. Bisakah kamu memenuhi kebutuhan mereka? Kirim SMS dengan kata CUTE ke 69911 (Biaya ¬£1.50 per pesan),spam,spam,corpus,0.98,0.0,0.99,0.01,0.0
Hast du einen Babysitter für Kaitlyn gefunden? Ich war krank und habe den ganzen Tag gestern geschlafen.,ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
"FreeMSG Вам присуждена БЕСПЛАТНАЯ мини ЦИФРОВАЯ КАМЕРА, просто ответьте SNAP, чтобы получить свой приз! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",phishing,spam,corpus,0.95,0.0,0.04,0.96,0.0
Debt relief program: Get out of debt fast! Call 8824,spam,spam,corpus,0.89,0.0,0.92,0.08,0.0
استيقظيني في الساعة &lt;#&gt; صباحًا :),ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
"Das Geld kann einfach auf dieses Konto überwiesen werden: BankBNI, Kontoinhaber SAFITRI, Kontonummer 0282566132.",phishing,spam,corpus,0.88,0.09,0.0,0.91,0.0
Il premio dell'assicurazione sulla vita aumenta con l'età che avanza. Acquista ora un'assicurazione sulla vita di 1 Cr e paga Rs5390 anziché Rs5603 dopo il tuo compleanno. Applica su rml.lu/KQgkgv6,spam,spam,corpus,0.98,0.0,0.99,0.01,0.0
Your package could not be delivered due to unpaid customs fee. Pay now at www.postal-service.com/fees/18,phishing,phishing,corpus,1.0,0.0,0.0,1.0,0.0
"Netflix - Еще три шага, и мы сделаем остальное. Завершите регистрацию здесь: m.netflix.com/kXiEbsWlWNN",phishing,ham,corpus,0.77,0.14,0.04,0.82,0.0
"Désolé, je viens de voir ton message... Yar, c'est tellement triste... Mais ce n'est que pour une nuit... Demain, tu auras une toute nouvelle chambre où dormir...",ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
Send Money Now http//bit.ly/1266,phishing,phishing,corpus,0.99,0.0,0.01,0.99,0.0
Pinjaman untuk tujuan apa pun ¬£500 - ¬£75.000. Pemilik rumah + penyewa dipersilakan. Pernah ditolak sebelumnya? Kami masih bisa membantu. Hubungi Gratis 0800 1956669 atau balas teks dengan 'bantuan',spam,spam,corpus,0.98,0.0,0.99,0.01,0.0
Enviar dinero ahora http//bit.ly/1705,phishing,phishing,corpus,0.98,0.0,0.01,0.99,0.0
"Paquete de Internet BRONET 24 HORAS 2GB, 60hr Ya está activo y se renovará automáticamente el 27-10-2016 a las 23:59. Info838",ham,spam,corpus,1.0,1.0,0.0,0.0,0.0
மைக்ரோசாஃப்டு உறுதிப்பாடுகளுக்கு 811632 சரிபார்ப்பு குறியீடை பயன்படுத்தவும்.,ham,ham,corpus,0.94,0.96,0.0,0.04,0.0
Kirim Uang Sekarang http//bit.ly/1740,phishing,phishing,corpus,0.98,0.0,0.01,0.99,0.0
Envoyez de l'argent maintenant http//bit.ly/2133,phishing,phishing,corpus,0.99,0.0,0.01,0.99,0.0
Aufgeregt &lt;#&gt; :),ham,ham,corpus,0.98,1.0,0.0,0.0,0.02
Necesitas enviar dinero al IRS AHORA en https://tinyurl.com/8888,phishing,spam,corpus,1.0,0.0,0.0,1.0,0.0
"சூடான விளம்பரம்! எக்ஸ்ட்ரா புல்சா TSEL 50rb ஐ மீட்டமைத்து, 25 ஆகஸ்டு - 25 செப்டம்பர் வரை எனக்கு முதல் இணையத் திட்டத்தை My Telkomsel App உபயோகித்து பார்க்கலாம். தகவல் திட்டத்தை tsel.me/mytsel1 இல் சோதிக்கவும்.",spam,spam,corpus,0.86,0.05,0.89,0.06,0.0
Enviar dinero ahora http//bit.ly/2313,phishing,phishing,corpus,0.99,0.0,0.01,0.99,0.0
அவசரம்! லேண்ட்லைன் மூலம் 09061743811 எண்ணை அழையவும். உங்கள் ABTA இலவசமாக இருந்து 4* டெனெரிஃபே ஹாலிடே அல்லது £5000 பணம் சம்பாதிக்கக்கூடியது SAE டி&சி Box 326 CW25WX 150ppm,phishing,spam,corpus,0.79,0.0,0.15,0.85,0.0
СРОЧНО! Ваш мобильный номер был награжден призом от звонящего на сумму £2000. Позвоните с фиксированного телефона по номеру 09058095201. Действительно 12 часов.,phishing,spam,corpus,1.0,0.0,0.0,1.0,0.0
URGENT: Your prize is waiting! Call 3357,phishing,spam,corpus,1.0,0.0,0.0,1.0,0.0
أرسل الأموال الآن http//bit.ly/2288,phishing,phishing,corpus,0.98,0.0,0.01,0.99,0.0
Riceverai a breve la suoneria Triple Echo di questa settimana. Goditela!,ham,spam,corpus,0.94,0.96,0.04,0.0,0.0
"ஹலோ, உங்கள் Voicespin DotBig_Limited கணக்கில் மீதம் 428.43 உள்ளது. உங்கள் கணக்கை விரைவில் நிரூபிக்கவும், இல்லாமல் அது கடன் வரியை அடைக்கும் முடியும் மற்றும் அது தானியங்கி முடக்கப்படும்.",phishing,ham,corpus,0.61,0.27,0.02,0.71,0.0
தயவுசெய்து படிக்கவேண்டும்,ham,ham,corpus,0.64,0.9867,0.0,0.0133,0.25
Está bien lar. Tú también duerme temprano... Noche...,ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
Pour ceux qui signent un contrat pour le programme de jeu (et aussi DWM) : nous prévoyons de participer à Gemastik. Il s'agit de la plus grande compétition entre les départements d'informatique et nous avons de grandes chances dans ce domaine.,ham,ham,corpus,0.97,0.98,0.02,0.0,0.0
🎉 CONGRATS! You won $4634 Amazon gift card! Redeem at tinyurl.com/abc 🎉,phishing,spam,corpus,1.0,0.0,0.0,1.0,0.0
Ihr Paket konnte aufgrund einer nicht bezahlten Zollgebühr nicht zugestellt werden. Zahlen Sie jetzt auf www.postal-service.com/fees/18,phishing,phishing,corpus,1.0,0.0,0.0,1.0,0.0
Invia denaro ora http//bit.ly/1879,phishing,phishing,corpus,0.98,0.0,0.01,0.99,0.0
Invia denaro ora http://bit.ly/2416,phishing,phishing,corpus,0.98,0.0,0.01,0.99,0.0
"Correo de Serbia: Debido a la falta de dirección y número postal incorrecto, su paquete no puede ser entregado y los gastos de reenvío corren por su cuenta. Haga clic en el enlace de abajo para cambiar la dirección y solicitar un nuevo envío: https://tinyurl.com/0892898922?fwf=LL2WOgiZM1 Haga el cambio dentro de las próximas 12 horas para evitar pérdidas innecesarias. ¡Que tengas un buen día, Correo de Serbia! phishing",phishing,phishing,corpus,1.0,0.0,0.0,1.0,0.0
Earn $3631 per week working from home!,spam,spam,corpus,0.99,0.0,0.99,0.01,0.0
هل يمكنك أن تخبر شولا بالذهاب إلى كلية الطب وزيارة قسم الأكاديميات، وتخبر أمين الأكاديميات بالوضع الحالي وتطلب منها نقلها هناك. يجب عليها أن تطلب من شخص ما التحقق من ساجامو لنفس الشيء، ومن جامعة لاوتيك. من الضروري أن تكمل تعليمها الطبي في نيجيريا؛ إنه أقل تكلفة بكثير. ما لم تحصل على أسعار المواطن في نيوزيلندا.,ham,ham,corpus,0.99,1.0,0.0,0.0,0.0
Hot Summer Sale! Buy one get one free on all beachwear at TrendyStyles. Shop now at www.trendystyles.com/sale46,spam,spam,corpus,1.0,0.0,1.0,0.0,0.0
"நீங்கள் செய்த சேவையிலிருந்து அதிகவல்ல, நீங்களுக்கு எந்த செய்தி வராது. இலவச Hardcore சேவைகளுக்கான செய்தி பெற குறு GO என்று எழுதி 69988 க்கு அனுப்பவும். நீங்கள் ஏதேனும் இல்லையானால், உங்கள் நெட்வொர்க்கில் வயது சரிபார்க்கவும் மீண்டும் முயற்சிக்கவும்.",spam,spam,corpus,0.8,0.07,0.86,0.07,0.0
