id,pool,text,label
n00049,notice_pair_legit,OCBC NISP: internet banking dalam pemeliharaan Minggu pukul 02.00-05.00. Tidak ada tindakan yang diperlukan.,ham
n00050,notice_pair_lure,Strava : votre abonnement se renouvelle aujourd'hui pour 129.9 € sauf annulation. Arrêtez le prélèvement : strava-id-confirm.site,phishing
n00051,notice_pair_legit,Strava : votre abonnement se renouvelle le 28 pour 129.9 €. Gérez-le dans l'application ou sur strava.fr.,ham
n00052,notice_pair_lure,زاجل: الطرد 0888027044 محتجز بسبب رسوم جمركية 1.99 ريال. ادفع للإفراج عنه: shorturl.at/te4kkc,phishing
n00053,notice_pair_legit,زاجل: سيتم تسليم طردك 0888027044 اليوم بين الساعة 14:00 و18:00.,ham
n00054,notice_pair_lure,Spotify : votre abonnement se renouvelle aujourd'hui pour 3.5 € sauf annulation. Arrêtez le prélèvement : rb.gy/gzm8uz,phishing
n00055,notice_pair_legit,Spotify : votre abonnement se renouvelle le 28 pour 3.5 €. Gérez-le dans l'application ou sur spotify.fr.,ham
n00056,notice_pair_lure,E.ON : votre électricité sera coupée aujourd'hui pour une facture impayée de 3.5 €. Régularisez : eon-portal-login.cc,phishing
n00057,notice_pair_legit,E.ON : votre facture d'électricité de 3.5 € est due le 28. Payez dans l'application ou sur eon.fr.,ham
n00058,notice_pair_lure,"Halifax: to stop the transfer we just blocked, reply with the 278209 code we sent you.",phishing
n00059,notice_pair_legit,Halifax: 278209 is your login code. We will never ask you to share it.,ham
n00060,notice_pair_lure,"SDA: il pacco 051431290777 è fermo, tassa doganale di 9.9 € non pagata. Paga per liberarlo: sda-id-confirm.site",phishing
n00061,notice_pair_legit,SDA: il pacco 051431290777 è in consegna oggi tra le 14:00 e le 18:00.,ham
n00062,notice_pair_lure,Etsy: pengembalian dana Rp39200 menunggu Anda. Masukkan data kartu untuk menerimanya: shorturl.at/869z6n,phishing
n00063,notice_pair_legit,Etsy: dana Rp39200 telah dikembalikan ke kartu 9617. Proses hingga 5 hari kerja.,ham
n00064,notice_pair_lure,AliExpress: un rimborso di 24.5 € ti aspetta. Inserisci i dati della carta per riceverlo: aliexpress-id-confirm.site,phishing
n00065,notice_pair_legit,AliExpress: il rimborso di 24.5 € è stato inviato sulla carta 3009. Possono servire 5 giorni lavorativi.,ham
n00066,notice_pair_lure,"GLS : colis 834189261801 non livré, adresse incomplète. Confirmez-la ici : t.ly/dyjzsk",phishing
n00067,notice_pair_legit,GLS : colis 834189261801 non livré. Il reste 7 jours à votre point relais.,ham
n00068,notice_pair_lure,"Duolingo: Ihr Abo verlängert sich heute für 129.9 €, wenn Sie nicht kündigen. Abbuchung stoppen: duolingo-secure-id.info",phishing
n00069,notice_pair_legit,Duolingo: Ihr Abo verlängert sich am 28. für 129.9 €. Verwalten Sie es in der App oder auf duolingo.de.,ham
n00070,notice_pair_lure,"Bank Permata: data Anda tidak dapat diverifikasi, internet banking diblokir. Pulihkan akses dalam 24 jam: bankpermata-secure-id.info",phishing
n00071,notice_pair_legit,Bank Permata: internet banking dalam pemeliharaan Minggu pukul 02.00-05.00. Tidak ada tindakan yang diperlukan.,ham
n00072,notice_pair_lure,Duolingo : votre abonnement se renouvelle aujourd'hui pour 249.0 € sauf annulation. Arrêtez le prélèvement : t.ly/4z32sx,phishing
n00073,notice_pair_legit,Duolingo : votre abonnement se renouvelle le 28 pour 249.0 €. Gérez-le dans l'application ou sur duolingo.fr.,ham
n00074,notice_pair_lure,"Боксберри: посылка 3467917617 задержана, таможенный сбор 4320 ₽ не оплачен. Оплатите для выдачи: service-customer-verify.live",phishing
n00075,notice_pair_legit,Боксберри: посылка 3467917617 будет доставлена сегодня с 14:00 до 18:00.,ham
n00076,notice_pair_lure,"Banca Sella: per bloccare il bonifico appena fermato, rispondi con il codice 928380.",phishing
n00077,notice_pair_legit,Banca Sella: 928380 è il tuo codice di accesso. Non te lo chiederemo mai.,ham
n00078,notice_pair_lure,Trans-o-flex: Paket 0296575562 konnte wegen unvollständiger Adresse nicht zugestellt werden. Hier bestätigen: transoflex-billing-update.online,phishing
n00079,notice_pair_legit,Trans-o-flex: Paket 0296575562 konnte nicht zugestellt werden und liegt 7 Tage in Ihrer Filiale bereit.,ham
n00080,notice_pair_lure,Vakıfbank: 5951 ile biten kartınızdan yeni bir üye iş yerine 67 TL ödeme onaylandı. Buradan iptal edin: t.ly/ve52ra,phishing
n00081,notice_pair_legit,Vakıfbank: 5951 ile biten kartınızdan 67 TL tutarında işlem yapıldı. Tanımıyorsanız kartınızın arkasındaki numarayı arayın.,ham
n00082,notice_pair_lure,"Spotify: подписка продлится сегодня за 1799 ₽, если не отменить. Остановить списание: spotify-account-check.xyz",phishing
n00083,notice_pair_legit,Spotify: подписка продлится 28-го за 1799 ₽. Управление в приложении или на spotify.ru.,ham
n00084,notice_pair_lure,"Vakıfbank: bilgileriniz doğrulanamadı, internet bankacılığınız askıya alındı. 24 saat içinde erişimi açın: is.gd/ppj46n",phishing
n00085,notice_pair_legit,Vakıfbank: Pazar günü 02:00-05:00 arası internet bankacılığı bakımda olacaktır. İşlem yapmanıza gerek yok.,ham
n00086,notice_pair_lure,AliExpress: a refund of £12.4 is waiting for you. Enter your card details to receive it: aliexpress-secure-id.info,phishing
n00087,notice_pair_legit,AliExpress: your refund of £12.4 was sent back to the card ending 9110. It can take 5 working days.,ham
n00088,notice_pair_lure,AliExpress: вам положен возврат 315 ₽. Введите данные карты для получения: aliexpress-account-check.xyz,phishing
n00089,notice_pair_legit,AliExpress: возврат 315 ₽ отправлен на карту 6456. Зачисление занимает до 5 рабочих дней.,ham
n00090,notice_pair_lure,Duolingo : votre abonnement se renouvelle aujourd'hui pour 12.4 € sauf annulation. Arrêtez le prélèvement : duolingo-customer-verify.live,phishing
n00091,notice_pair_legit,Duolingo : votre abonnement se renouvelle le 28 pour 12.4 €. Gérez-le dans l'application ou sur duolingo.fr.,ham
n00092,notice_pair_lure,AliExpress : un remboursement de 2.45 € vous attend. Saisissez vos coordonnées bancaires : aliexpress-billing-update.online,phishing
n00093,notice_pair_legit,AliExpress : votre remboursement de 2.45 € a été envoyé sur la carte 1694. Comptez 5 jours ouvrés.,ham
n00094,notice_pair_lure,Nacex: el paquete 825243025510 está retenido por una tasa aduanera de 2.45€. Pague para liberarlo: is.gd/pbuxwj,phishing
n00095,notice_pair_legit,Nacex: su paquete 825243025510 sale hoy a reparto entre las 14:00 y las 18:00.,ham
n00096,notice_pair_lure,Disney+: paket Anda diperpanjang hari ini seharga Rp31840 kecuali dibatalkan. Hentikan tagihan: disney-id-confirm.site,phishing
n00097,notice_pair_legit,Disney+: paket Anda diperpanjang tanggal 28 seharga Rp31840. Kelola di aplikasi atau disney.co.id.,ham
n00098,notice_pair_lure,OCBC NISP: pembayaran Rp198400 ke merchant baru dari kartu 1384 disetujui. Batalkan di sini: rb.gy/emqasp,phishing
n00099,notice_pair_legit,"OCBC NISP: transaksi Rp198400 pada kartu 1384 berhasil. Jika bukan Anda, hubungi nomor di belakang kartu.",ham
n00100,notice_pair_lure,EDF: 679 TL tutarındaki ödenmemiş fatura nedeniyle elektriğiniz bugün kesilecek. Şimdi ödeyin: edf-account-check.xyz,phishing
n00101,notice_pair_legit,EDF: 679 TL tutarındaki elektrik faturanızın son ödeme günü ayın 28'i. Uygulamadan ödeyebilirsiniz.,ham
n00102,notice_pair_lure,"Боксберри: посылку 643265506455 не доставили, адрес неполный. Подтвердите его здесь: service-secure-id.info",phishing
n00103,notice_pair_legit,Боксберри: посылку 643265506455 не доставили. Она ждёт вас в отделении 7 дней.,ham
n00104,notice_pair_lure,GLS: no pudimos entregar el paquete 5908728458 porque la dirección está incompleta. Confírmela aquí: gls-id-confirm.site,phishing
n00105,notice_pair_legit,GLS: no pudimos entregar el paquete 5908728458. Queda 7 días en su oficina local.,ham
n00106,notice_pair_lure,Targobank: Zahlung über 19.99 € an einen neuen Händler mit Karte 1602 freigegeben. Hier stornieren: rb.gy/fdyred,phishing
n00107,notice_pair_legit,Targobank: 19.99 € wurden heute von Karte 1602 abgebucht. Bei Fragen nutzen Sie die Nummer auf Ihrer Karte.,ham
n00108,notice_pair_lure,PLN: 336 TL tutarındaki ödenmemiş fatura nedeniyle elektriğiniz bugün kesilecek. Şimdi ödeyin: cutt.ly/xr7p2v,phishing
n00109,notice_pair_legit,PLN: 336 TL tutarındaki elektrik faturanızın son ödeme günü ayın 28'i. Uygulamadan ödeyebilirsiniz.,ham
n00110,notice_pair_lure,Nacex: no pudimos entregar el paquete 266241824388 porque la dirección está incompleta. Confírmela aquí: cutt.ly/xecfsr,phishing
n00111,notice_pair_legit,Nacex: no pudimos entregar el paquete 266241824388. Queda 7 días en su oficina local.,ham
n00112,notice_pair_lure,"Caisse d'Epargne : vos informations n'ont pas pu être vérifiées, votre banque en ligne est suspendue. Rétablissez l'accès sous 24h : caissedeparg-id-confirm.site",phishing
n00113,notice_pair_legit,Caisse d'Epargne : maintenance de la banque en ligne dimanche de 02h00 à 05h00. Aucune action de votre part.,ham
n00114,notice_pair_lure,Denizbank: 6999 ile biten kartınızdan yeni bir üye iş yerine 679 TL ödeme onaylandı. Buradan iptal edin: cutt.ly/r5d5e9,phishing
n00115,notice_pair_legit,Denizbank: 6999 ile biten kartınızdan 679 TL tutarında işlem yapıldı. Tanımıyorsanız kartınızın arkasındaki numarayı arayın.,ham
n00116,notice_pair_lure,"Почта: посылка 2717326449 задержана, таможенный сбор 220 ₽ не оплачен. Оплатите для выдачи: service-portal-login.cc",phishing
n00117,notice_pair_legit,Почта: посылка 2717326449 будет доставлена сегодня с 14:00 до 18:00.,ham
n00118,notice_pair_lure,سمسا: الطرد 207363135133 محتجز بسبب رسوم جمركية 12.4 ريال. ادفع للإفراج عنه: is.gd/8av8nv,phishing
n00119,notice_pair_legit,سمسا: سيتم تسليم طردك 207363135133 اليوم بين الساعة 14:00 و18:00.,ham
n00120,notice_pair_lure,Enel: سيتم قطع الكهرباء اليوم بسبب فاتورة غير مدفوعة بقيمة 249.0 ريال. سدد الآن: shorturl.at/bwu7wa,phishing
n00121,notice_pair_legit,Enel: فاتورة الكهرباء بقيمة 249.0 ريال تستحق في الـ28. ادفع عبر التطبيق أو enel.com.,ham
n00122,notice_pair_lure,"Citizens Bank: to stop the transfer we just blocked, reply with the 875530 code we sent you.",phishing
n00123,notice_pair_legit,Citizens Bank: 875530 is your login code. We will never ask you to share it.,ham
n00124,notice_pair_lure,AliExpress : un remboursement de 24.5 € vous attend. Saisissez vos coordonnées bancaires : aliexpress-portal-login.cc,phishing
n00125,notice_pair_legit,AliExpress : votre remboursement de 24.5 € a été envoyé sur la carte 7356. Comptez 5 jours ouvrés.,ham
n00126,notice_pair_lure,"BPER: non siamo riusciti a verificare i tuoi dati, l'home banking è sospeso. Ripristina l'accesso entro 24h: bper-secure-id.info",phishing
n00127,notice_pair_legit,BPER: domenica dalle 02:00 alle 05:00 l'home banking sarà in manutenzione. Nessuna azione richiesta.,ham
n00128,notice_pair_lure,"Уралсиб: чтобы отменить заблокированный перевод, отправьте в ответ код 308271.",phishing
n00129,notice_pair_legit,Уралсиб: 308271 — ваш код для входа. Мы никогда не просим его сообщить.,ham
n00130,notice_pair_lure,"Spotify: Ihr Abo verlängert sich heute für 129.9 €, wenn Sie nicht kündigen. Abbuchung stoppen: spotify-verify-now.top",phishing
n00131,notice_pair_legit,Spotify: Ihr Abo verlängert sich am 28. für 129.9 €. Verwalten Sie es in der App oder auf spotify.de.,ham
n00132,notice_pair_lure,"Evri: parcel 4606698111 is held, a customs fee of £129.9 is unpaid. Pay to release: is.gd/8757as",phishing
n00133,notice_pair_legit,Evri: parcel 4606698111 is out for delivery today between 14:00 and 18:00.,ham
n00134,notice_pair_lure,Iberdrola: hoy se cortará la luz por una factura impagada de 2.45€. Regularice ahora: iberdrola-portal-login.cc,phishing
n00135,notice_pair_legit,Iberdrola: su factura de luz de 2.45€ vence el día 28. Pague en la app o en iberdrola.es.,ham
n00136,notice_pair_lure,Enel: 336 TL tutarındaki ödenmemiş fatura nedeniyle elektriğiniz bugün kesilecek. Şimdi ödeyin: is.gd/hgp9nn,phishing
n00137,notice_pair_legit,Enel: 336 TL tutarındaki elektrik faturanızın son ödeme günü ayın 28'i. Uygulamadan ödeyebilirsiniz.,ham
n00138,notice_pair_lure,Vakıfbank: 6540 ile biten kartınızdan yeni bir üye iş yerine 336 TL ödeme onaylandı. Buradan iptal edin: vakfbank-verify-now.top,phishing
n00139,notice_pair_legit,Vakıfbank: 6540 ile biten kartınızdan 336 TL tutarında işlem yapıldı. Tanımıyorsanız kartınızın arkasındaki numarayı arayın.,ham
n00140,notice_pair_lure,"Banque Populaire : pour annuler le virement que nous avons bloqué, répondez avec le code 856733.",phishing
n00141,notice_pair_legit,Banque Populaire : 856733 est votre code de connexion. Nous ne vous le demanderons jamais.,ham
n00142,notice_pair_lure,"Hermes: Paket 684199074011 wird zurückgehalten, Zollgebühr von 48.0 € offen. Zum Freigeben zahlen: cutt.ly/m5uyh2",phishing
n00143,notice_pair_legit,Hermes: Paket 684199074011 wird heute zwischen 14:00 und 18:00 Uhr zugestellt.,ham
n00144,notice_pair_lure,"DPD: pakket 543929881592 is vastgehouden, douanekosten van €249.0 openstaand. Betaal om vrij te geven: dpd-billing-update.online",phishing
n00145,notice_pair_legit,DPD: uw pakket 543929881592 wordt vandaag tussen 14:00 en 18:00 bezorgd.,ham
n00146,notice_pair_lure,Zalando: вам положен возврат 2205 ₽. Введите данные карты для получения: zalando-billing-update.online,phishing
n00147,notice_pair_legit,Zalando: возврат 2205 ₽ отправлен на карту 5408. Зачисление занимает до 5 рабочих дней.,ham
n00148,notice_pair_lure,"SDA: il pacco 996778818329 è fermo, tassa doganale di 9.9 € non pagata. Paga per liberarlo: t.ly/96kfy2",phishing
n00149,notice_pair_legit,SDA: il pacco 996778818329 è in consegna oggi tra le 14:00 e le 18:00.,ham
n00150,notice_pair_lure,"Yodel: parcel 643301726765 is held, a customs fee of £1.99 is unpaid. Pay to release: is.gd/w82mjt",phishing
n00151,notice_pair_legit,Yodel: parcel 643301726765 is out for delivery today between 14:00 and 18:00.,ham
n00152,notice_pair_lure,GLS: no pudimos entregar el paquete 752934339288 porque la dirección está incompleta. Confírmela aquí: gls-id-confirm.site,phishing
n00153,notice_pair_legit,GLS: no pudimos entregar el paquete 752934339288. Queda 7 días en su oficina local.,ham
n00154,notice_pair_lure,Duolingo: il tuo piano si rinnova oggi a 129.9 € se non lo annulli. Blocca l'addebito: is.gd/qdqu2p,phishing
n00155,notice_pair_legit,Duolingo: il tuo piano si rinnova il 28 a 129.9 €. Gestiscilo nell'app o su duolingo.it.,ham
n00156,notice_pair_lure,"Bank Mega: untuk membatalkan transfer yang kami blokir, balas dengan kode 617335.",phishing
n00157,notice_pair_legit,Bank Mega: 617335 adalah kode masuk Anda. Kami tidak pernah meminta kode ini.,ham
n00158,notice_pair_lure,Spotify: your plan renews today for £9.9 unless you cancel. Stop the charge: t.ly/h2t9mz,phishing
n00159,notice_pair_legit,Spotify: your plan renews on the 28th for £9.9. Manage it in the app or at spotify.com.,ham
n00160,notice_pair_lure,"Banco Desio: non siamo riusciti a verificare i tuoi dati, l'home banking è sospeso. Ripristina l'accesso entro 24h: t.ly/pp3w4v",phishing
n00161,notice_pair_legit,Banco Desio: domenica dalle 02:00 alle 05:00 l'home banking sarà in manutenzione. Nessuna azione richiesta.,ham
n00162,notice_pair_lure,"Volksbank: um die soeben gestoppte Überweisung zu stornieren, antworten Sie mit dem Code 736344.",phishing
n00163,notice_pair_legit,Volksbank: 736344 ist Ihr Anmeldecode. Wir fragen Sie nie nach diesem Code.,ham
n00164,notice_pair_lure,GLS: pacco 046877690357 non consegnato per indirizzo incompleto. Confermalo qui: t.ly/b3gaha,phishing
n00165,notice_pair_legit,GLS: pacco 046877690357 non consegnato. Resta 7 giorni presso il punto di ritiro.,ham
n00166,notice_pair_lure,"Audible: Ihr Abo verlängert sich heute für 19.99 €, wenn Sie nicht kündigen. Abbuchung stoppen: cutt.ly/kpxbrt",phishing
n00167,notice_pair_legit,Audible: Ihr Abo verlängert sich am 28. für 19.99 €. Verwalten Sie es in der App oder auf audible.de.,ham
n00168,notice_pair_lure,PLN: سيتم قطع الكهرباء اليوم بسبب فاتورة غير مدفوعة بقيمة 19.99 ريال. سدد الآن: cutt.ly/q96vtb,phishing
n00169,notice_pair_legit,PLN: فاتورة الكهرباء بقيمة 19.99 ريال تستحق في الـ28. ادفع عبر التطبيق أو pln.com.,ham
n00170,notice_pair_lure,GLS: el paquete 689960796231 está retenido por una tasa aduanera de 48.0€. Pague para liberarlo: gls-customer-verify.live,phishing
n00171,notice_pair_legit,GLS: su paquete 689960796231 sale hoy a reparto entre las 14:00 y las 18:00.,ham
n00172,notice_pair_lure,"Mondial Relay : le colis 3106838636 est bloqué, frais de douane de 19.99 € impayés. Payez pour le libérer : cutt.ly/9xwnzs",phishing
n00173,notice_pair_legit,Mondial Relay : votre colis 3106838636 sera livré aujourd'hui entre 14h00 et 18h00.,ham
n00174,notice_pair_lure,"GLS: pakket 100830086901 is vastgehouden, douanekosten van €2.45 openstaand. Betaal om vrij te geven: is.gd/2cak9a",phishing
n00175,notice_pair_legit,GLS: uw pakket 100830086901 wordt vandaag tussen 14:00 en 18:00 bezorgd.,ham
n00176,notice_pair_lure,E.ON: your electricity will be cut off today over an unpaid bill of £12.4. Settle now: eon-customer-verify.live,phishing
n00177,notice_pair_legit,E.ON: your electricity bill of £12.4 is due on the 28th. Pay in the app or at eon.com.,ham
n00178,notice_pair_lure,Strava: su plan se renueva hoy por 3.5€ si no lo cancela. Detenga el cobro: cutt.ly/wwrsaq,phishing
n00179,notice_pair_legit,Strava: su plan se renovará el día 28 por 3.5€. Gestiónelo en la app o en strava.es.,ham
n00180,notice_pair_lure,بنك دبي: لإيقاف التحويل الذي حجبناه، أرسل الرمز 38042 الذي وصلك.,phishing
n00181,notice_pair_legit,بنك دبي: 38042 هو رمز الدخول الخاص بك. لن نطلب منك مشاركته أبدًا.,ham
n00182,notice_pair_lure,"TSB: we could not verify your details, so online banking is suspended. Restore access within 24h: tsb-id-confirm.site",phishing
n00183,notice_pair_legit,TSB: online banking will be unavailable on Sunday 02:00-05:00 for maintenance. No action needed.,ham
n00184,notice_pair_lure,زاجل: الطرد 633970111187 محتجز بسبب رسوم جمركية 9.9 ريال. ادفع للإفراج عنه: cutt.ly/9mp724,phishing
n00185,notice_pair_legit,زاجل: سيتم تسليم طردك 633970111187 اليوم بين الساعة 14:00 و18:00.,ham
n00186,notice_pair_lure,"MNG Kargo: 4141049982 numaralı kargo gümrükte, 833 TL tutarında ödeme bekleniyor. Serbest bırakmak için ödeyin: shorturl.at/58gbsh",phishing
n00187,notice_pair_legit,MNG Kargo: 4141049982 numaralı kargonuz bugün 14:00-18:00 arasında teslim edilecek.,ham
n00188,notice_pair_lure,"OCBC NISP: untuk membatalkan transfer yang kami blokir, balas dengan kode 248838.",phishing
n00189,notice_pair_legit,OCBC NISP: 248838 adalah kode masuk Anda. Kami tidak pernah meminta kode ini.,ham
n00190,notice_pair_lure,Strava: il tuo piano si rinnova oggi a 3.5 € se non lo annulli. Blocca l'addebito: strava-verify-now.top,phishing
n00191,notice_pair_legit,Strava: il tuo piano si rinnova il 28 a 3.5 €. Gestiscilo nell'app o su strava.it.,ham
n00192,notice_pair_lure,بنك دبي: لإيقاف التحويل الذي حجبناه، أرسل الرمز 185820 الذي وصلك.,phishing
n00193,notice_pair_legit,بنك دبي: 185820 هو رمز الدخول الخاص بك. لن نطلب منك مشاركته أبدًا.,ham
n00194,notice_pair_lure,Shein: pengembalian dana Rp3984000 menunggu Anda. Masukkan data kartu untuk menerimanya: shein-customer-verify.live,phishing
n00195,notice_pair_legit,Shein: dana Rp3984000 telah dikembalikan ke kartu 8288. Proses hingga 5 hari kerja.,ham
n00196,notice_pair_lure,"Почта: посылка 004555549266 задержана, таможенный сбор 891 ₽ не оплачен. Оплатите для выдачи: service-verify-now.top",phishing
n00197,notice_pair_legit,Почта: посылка 004555549266 будет доставлена сегодня с 14:00 до 18:00.,ham
n00198,notice_pair_lure,GLS: Paket 444346735103 konnte wegen unvollständiger Adresse nicht zugestellt werden. Hier bestätigen: gls-verify-now.top,phishing
n00199,notice_pair_legit,GLS: Paket 444346735103 konnte nicht zugestellt werden und liegt 7 Tage in Ihrer Filiale bereit.,ham
n00200,notice_pair_lure,AliExpress: eine Rückerstattung von 19.99 € wartet auf Sie. Kartendaten eingeben zum Erhalt: aliexpress-secure-id.info,phishing
n00201,notice_pair_legit,AliExpress: Ihre Rückerstattung über 19.99 € ging an die Karte 1248. Die Gutschrift dauert bis zu 5 Werktage.,ham
n00202,notice_pair_lure,"Unicaja: para detener la transferencia que hemos bloqueado, responda con el código 436809 que le enviamos.",phishing
n00203,notice_pair_legit,Unicaja: 436809 es su código de acceso. Nunca le pediremos que lo comparta.,ham
