text,label,category,language,ots_label,ots_prob,note,day
National Lottery: Check your ticket numbers at national-lottery.org.uk - Play responsibly,ham,service_reminder,en,phishing,0.9952,Lottery-branded message on the official national-lottery.org.uk domain that makes no win claim is ham; 'lottery' keyword alone should not trigger phishing.,2026-09-21
Hola! Es tu tía María. Cambié de número. ¿Puedo contar contigo? Mi teléfono se rompió y necesito urgente.,phishing,family_impersonation,es,ham,0.8159,"Family-impersonation 'new number / phone broke / urgent help' scripts, including non-English variants, must be phishing even without links.",2026-09-21
Amazon Prime: Your free trial ends on 28 January. Manage at: amazon.com/primesettings to continue or cancel.,ham,subscription_renewal,en,phishing,0.7738,Trial-ending reminder on genuine amazon.com with a neutral 'manage' call to action is ham; model reacts to brand+deadline pattern rather than domain and absence of coercion.,2026-09-21
AT&T: Your prepaid balance is $12.43. Recharge at: att.com/recharge or dial *611 for assistance.,ham,utility_account,en,phishing,0.994,Prepaid balance notice on att.com with the real *611 helpline is ham; needs official-domain recognition for carrier account notices.,2026-09-21
FREE iPhone 15 Pro Max! 100 winners announced daily. Claim yours: giveaway.site/apple99,spam,gadget_giveaway,en,phishing,0.8996,"Giveaway ads that announce future winners ('100 winners announced daily') do not claim the reader already won, so they stay spam under decision 1.",2026-09-21
Tinder match alert: Maria liked you! See who else swiped right: tinder.com/app/likes,ham,dating_app_notification,en,phishing,0.9277,"App engagement notifications on the genuine first-party domain (tinder.com) are real service notices, not lures; treat legitimate brand domains as a strong ham signal.",2026-09-21
"Netflix: Your password was changed on Jan 26. If this wasn't you, reset it at netflix.com/security immediately.",ham,password_change_alert,en,phishing,0.9674,Security notices pointing to the real netflix.com domain with no requested credentials are ham; the model over-weights words like 'password changed' and 'immediately'.,2026-09-21
"Earn $$$ CRYPTO FAST!! B i g gains, n o risk. Z e r o fees f o r new members. Join: tg.me/cryptogang",spam,crypto_recruitment,en,phishing,0.9062,Generic crypto-group recruitment ads with no impersonation and no 'you were selected/won' claim are spam; letter-spacing obfuscation should not by itself push to phishing.,2026-09-21
Your subscription to Premium will renew on Feb 15 for $9.99. Manage at: spotify.com/account/subscription,ham,subscription_renewal,en,phishing,0.9762,"Subscription renewal notices on the brand's own domain (spotify.com) with no urgency or credential request are legitimate service notices, not phishing.",2026-09-21
"நீங்கள் மொபைல் பாக்கி கட்டும் நேரம் வந்துவிட்டது. தொகை: ₹1,250. பணம் செலுத்துக: airtel.com/pay",ham,mobile_bill_tamil,ta,phishing,0.9957,Tamil-language billing reminders pointing to the carrier's genuine domain (airtel.com) are ham; the model treats any non-English payment request as phishing.,2026-09-21
Bumble date match: Jason wants to chat! See profile: bumble.com/matches/jason_22,ham,dating_match,en,spam,0.8632,"Dating-app match notifications on the app's own domain are real service notices, not advertising.",2026-09-21
"Бухгалтер Гугл, полностью удалённо! 150,000 рублей в месяц. Заявку отправьте на google-jobs-russia.org",phishing,russian_job_offer_lure,ru,spam,0.8636,"Job ads that impersonate a real brand (Google) via a lookalike domain are phishing, not generic work-from-home spam, including in Russian.",2026-09-21
"ВЫИГРЫВАЙ! 500,000 рублей и iPhone 15! Перейди: bit.ly/winning2024russia",spam,russian_prize_lure,ru,phishing,0.9042,"Imperative 'win X' prize-draw ads with no claim/already-won wording are spam, not phishing; distinguish 'ВЫИГРЫВАЙ' (invitation) from 'вы выиграли/заберите приз'.",2026-09-21
"Wells Fargo: We detected a sign-in attempt from a new device. If this was you, no action needed. If not, change your password at wellsfargo.com/security",ham,bank_login_notice,en,phishing,0.9678,"Legitimate bank sign-in notices on the real first-party domain (wellsfargo.com) with 'no action needed' must be ham; key on domain legitimacy and absence of urgency, not on bank+login keywords.",2026-09-21
SEND THIS CODE TO CUSTOMER SERVICE TO UNLOCK YOUR ACCOUNT: 384762,phishing,otp_phishing_variant,en,ham,0.9606,"Messages instructing the user to forward/send an OTP code to anyone are phishing, even when they contain no link or brand name.",2026-09-21
"Marriott Rewards: You've earned 1,250 points from your stay at our Los Angeles property. Check balance at marriott.com/rewards",ham,loyalty_points_update,en,phishing,0.971,Loyalty-points earned notices on the real brand domain are routine ham; 'points/rewards' tokens should not alone trigger phishing.,2026-09-21
Google Play: Your payment method was declined for order #GPA87934. Update here: play.google.com/account/paymentmethods,ham,google_payment_failed,en,phishing,0.9931,Billing/payment-declined notices pointing to the genuine play.google.com path are real service notices; treat first-party domains plus order references as ham.,2026-09-21
DHL delivery arriving today between 9am-5pm. Track here: dhl.com/track?ref=9847382,ham,delivery_update,en,phishing,0.7468,Plain delivery-window notices with a legitimate dhl.com tracking link and no fee/action demand are ham; require a payment or credential ask before flagging parcel texts.,2026-09-21
